Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BI	Genome_Wide_SNP_6	n/a	selected_samples	N/A	broad.mit.edu_LGG.Genome_Wide_SNP_6.idf.txt
METADATA	BI	Genome_Wide_SNP_6	n/a	selected_samples	N/A	broad.mit.edu_LGG.Genome_Wide_SNP_6.sdrf.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-01	TCGA-CS-4938-01B-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-01B-11D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-01	TCGA-CS-4938-01B-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-01B-11D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-01	TCGA-CS-4938-01B-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-01B-11D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-01	TCGA-CS-4938-01B-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-01B-11D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-10	TCGA-CS-4938-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-10A-01D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-10	TCGA-CS-4938-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-10A-01D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-10	TCGA-CS-4938-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-10A-01D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4938-10	TCGA-CS-4938-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4938-10A-01D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-01	TCGA-CS-4941-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-01A-01D-1466-01__snp_analysis.hg18.seg.txt
