barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-IK-8125-10A-01D-2252-01	1	61735	228729	19	-0.2343
TCGA-IK-8125-10A-01D-2252-01	1	229075	404171	11	0.4772
TCGA-IK-8125-10A-01D-2252-01	1	534551	72763370	43029	0.0042
TCGA-IK-8125-10A-01D-2252-01	1	72768418	72811148	48	-1.6648
TCGA-IK-8125-10A-01D-2252-01	1	72811904	110224384	23717	-0.001
TCGA-IK-8125-10A-01D-2252-01	1	110224427	110226970	10	-0.5246
TCGA-IK-8125-10A-01D-2252-01	1	110227317	110227515	4	-0.1879
TCGA-IK-8125-10A-01D-2252-01	1	110232974	110240178	17	-1.3979
TCGA-IK-8125-10A-01D-2252-01	1	110242953	112690326	1959	0.0083
TCGA-IK-8125-10A-01D-2252-01	1	112695965	112697012	18	0.3878
TCGA-IK-8125-10A-01D-2252-01	1	112697174	114914187	1395	0.0052
TCGA-IK-8125-10A-01D-2252-01	1	114917139	114923102	2	1.3336
TCGA-IK-8125-10A-01D-2252-01	1	114923636	120148427	3394	-0.0028
TCGA-IK-8125-10A-01D-2252-01	1	120149517	120150683	2	-1.1808
TCGA-IK-8125-10A-01D-2252-01	1	120150949	144842558	460	0.0045
TCGA-IK-8125-10A-01D-2252-01	1	144849539	144849552	3	1.5975
TCGA-IK-8125-10A-01D-2252-01	1	144865627	152555527	2794	0.0223
TCGA-IK-8125-10A-01D-2252-01	1	152555706	152586238	31	1.2212
TCGA-IK-8125-10A-01D-2252-01	1	152586278	174796405	15088	-0.001
TCGA-IK-8125-10A-01D-2252-01	1	174796556	174801872	18	0.4382
TCGA-IK-8125-10A-01D-2252-01	1	174801920	210071062	23580	0.0028
TCGA-IK-8125-10A-01D-2252-01	1	210081613	210086552	4	1.2257
TCGA-IK-8125-10A-01D-2252-01	1	210093494	221932500	8269	-6e-04
TCGA-IK-8125-10A-01D-2252-01	1	221932962	221934718	2	-1.255
TCGA-IK-8125-10A-01D-2252-01	1	221934792	225324850	2115	-0.003
TCGA-IK-8125-10A-01D-2252-01	1	225327462	225327612	4	1.0161
TCGA-IK-8125-10A-01D-2252-01	1	225327702	226004162	410	0.037
TCGA-IK-8125-10A-01D-2252-01	1	226004562	226014464	13	0.4795
TCGA-IK-8125-10A-01D-2252-01	1	226015017	231912893	3765	0.0039
TCGA-IK-8125-10A-01D-2252-01	1	231915608	231966847	35	0.3662
TCGA-IK-8125-10A-01D-2252-01	1	231966862	243303166	8778	-4e-04
TCGA-IK-8125-10A-01D-2252-01	1	243306924	243336760	9	0.7106
TCGA-IK-8125-10A-01D-2252-01	1	243338216	249224388	3736	0.0227
TCGA-IK-8125-10A-01D-2252-01	10	72759	2783056	2164	0.0322
TCGA-IK-8125-10A-01D-2252-01	10	2783069	2784930	5	0.8779
TCGA-IK-8125-10A-01D-2252-01	10	2784947	15020417	10567	0.0096
TCGA-IK-8125-10A-01D-2252-01	10	15026047	15033110	5	-0.9453
TCGA-IK-8125-10A-01D-2252-01	10	15034944	20840874	4299	-0.0022
TCGA-IK-8125-10A-01D-2252-01	10	20850112	20853534	6	-0.8304
TCGA-IK-8125-10A-01D-2252-01	10	20862427	24375263	2200	0.0039
TCGA-IK-8125-10A-01D-2252-01	10	24377674	24377675	2	-1.1445
TCGA-IK-8125-10A-01D-2252-01	10	24377676	24378054	9	-2.6717
TCGA-IK-8125-10A-01D-2252-01	10	24378908	26598282	1553	0.0133
TCGA-IK-8125-10A-01D-2252-01	10	26599244	26604155	2	-1.2652
TCGA-IK-8125-10A-01D-2252-01	10	26604275	27223903	437	-0.0133
TCGA-IK-8125-10A-01D-2252-01	10	27225904	27228473	13	-0.6587
TCGA-IK-8125-10A-01D-2252-01	10	27229993	31246510	3038	-0.0035
TCGA-IK-8125-10A-01D-2252-01	10	31251334	31251779	11	-0.6374
TCGA-IK-8125-10A-01D-2252-01	10	31251822	51197138	9314	0.002
TCGA-IK-8125-10A-01D-2252-01	10	51231576	51397071	3	-1.1553
