barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-IK-7675-10A-01D-2085-01	1	3218610	74648408	40392	0.0064
TCGA-IK-7675-10A-01D-2085-01	1	74648483	74660466	9	1.1359
TCGA-IK-7675-10A-01D-2085-01	1	74664177	165526793	36617	0.001
TCGA-IK-7675-10A-01D-2085-01	1	165531339	165531727	3	-3.2665
TCGA-IK-7675-10A-01D-2085-01	1	165533005	247813706	52101	8e-04
TCGA-IK-7675-10A-01D-2085-01	10	415240	17522442	12464	-0.003
TCGA-IK-7675-10A-01D-2085-01	10	17522683	17522699	2	-1.3927
TCGA-IK-7675-10A-01D-2085-01	10	17523041	135225087	68387	0.0017
TCGA-IK-7675-10A-01D-2085-01	11	456120	134142530	77246	9e-04
TCGA-IK-7675-10A-01D-2085-01	12	889902	133161346	73935	0.0016
TCGA-IK-7675-10A-01D-2085-01	13	19450806	41256051	13917	0.0037
TCGA-IK-7675-10A-01D-2085-01	13	41263878	41272870	6	-0.9117
TCGA-IK-7675-10A-01D-2085-01	13	41274580	114987458	42718	-7e-04
TCGA-IK-7675-10A-01D-2085-01	14	20501368	27475415	3388	-0.0063
TCGA-IK-7675-10A-01D-2085-01	14	27480334	27492640	17	-1.2691
TCGA-IK-7675-10A-01D-2085-01	14	27493748	105988038	46034	0.0025
TCGA-IK-7675-10A-01D-2085-01	15	23687685	59390703	19239	0.0039
TCGA-IK-7675-10A-01D-2085-01	15	59391844	59393011	2	-2.192
TCGA-IK-7675-10A-01D-2085-01	15	59401220	101884307	25282	0.0013
TCGA-IK-7675-10A-01D-2085-01	16	653459	89379936	40791	0.0019
TCGA-IK-7675-10A-01D-2085-01	17	987221	80917016	36986	0.0038
TCGA-IK-7675-10A-01D-2085-01	18	329586	48137184	26330	0.0028
TCGA-IK-7675-10A-01D-2085-01	18	48137718	48140238	2	-1.2262
TCGA-IK-7675-10A-01D-2085-01	18	48140278	77109240	16333	0.0015
TCGA-IK-7675-10A-01D-2085-01	19	284018	58878226	23950	0.0039
TCGA-IK-7675-10A-01D-2085-01	2	484222	210265916	111777	3e-04
TCGA-IK-7675-10A-01D-2085-01	2	210267730	210268142	2	-1.642
TCGA-IK-7675-10A-01D-2085-01	2	210268184	214062197	2290	-0.0085
TCGA-IK-7675-10A-01D-2085-01	2	214065713	214069530	5	-1.2872
TCGA-IK-7675-10A-01D-2085-01	2	214069921	242476062	17206	-0.0018
TCGA-IK-7675-10A-01D-2085-01	20	455764	44247693	25258	0.0022
TCGA-IK-7675-10A-01D-2085-01	20	44248069	44250487	2	-1.3313
TCGA-IK-7675-10A-01D-2085-01	20	44255051	62219837	12019	0.0011
TCGA-IK-7675-10A-01D-2085-01	21	15347621	47678774	20584	-0.0015
TCGA-IK-7675-10A-01D-2085-01	22	17423930	27757077	3432	0.0026
TCGA-IK-7675-10A-01D-2085-01	22	27757114	27758706	2	-1.4365
TCGA-IK-7675-10A-01D-2085-01	22	27758743	49331012	13489	0.0057
TCGA-IK-7675-10A-01D-2085-01	3	2212571	197538677	106369	0.002
TCGA-IK-7675-10A-01D-2085-01	4	1053934	72911880	39062	6e-04
TCGA-IK-7675-10A-01D-2085-01	4	72915934	72942473	25	-0.4037
TCGA-IK-7675-10A-01D-2085-01	4	72943444	188763651	63647	6e-04
TCGA-IK-7675-10A-01D-2085-01	5	914233	26594036	15322	-0.002
TCGA-IK-7675-10A-01D-2085-01	5	26602203	26604369	9	-1.1487
TCGA-IK-7675-10A-01D-2085-01	5	26608429	177604679	83718	-7e-04
TCGA-IK-7675-10A-01D-2085-01	5	177607811	177608450	6	-1.0512
TCGA-IK-7675-10A-01D-2085-01	5	177609540	180360469	1438	-1e-04
TCGA-IK-7675-10A-01D-2085-01	6	1014281	12306311	8083	0.0014
TCGA-IK-7675-10A-01D-2085-01	6	12307854	12308082	2	-1.2218
TCGA-IK-7675-10A-01D-2085-01	6	12313395	15281714	2143	-0.0015
TCGA-IK-7675-10A-01D-2085-01	6	15283513	15283550	2	-1.5504
TCGA-IK-7675-10A-01D-2085-01	6	15288607	52169951	20571	0.0012
TCGA-IK-7675-10A-01D-2085-01	6	52170498	52170941	2	-1.4982
TCGA-IK-7675-10A-01D-2085-01	6	52172655	170903919	65684	0.0013
TCGA-IK-7675-10A-01D-2085-01	7	705284	158385118	81317	0.0016
TCGA-IK-7675-10A-01D-2085-01	8	617667	108485385	59201	0.001
TCGA-IK-7675-10A-01D-2085-01	8	108489996	108492283	4	-0.9991
TCGA-IK-7675-10A-01D-2085-01	8	108496461	145232496	22323	0.005
TCGA-IK-7675-10A-01D-2085-01	9	789932	140938752	68016	0.0038
TCGA-IK-7675-10A-01D-2085-01	X	3157107	30525511	12385	0.0068
TCGA-IK-7675-10A-01D-2085-01	X	30526305	30527274	3	-3.5927
TCGA-IK-7675-10A-01D-2085-01	X	30527738	37708685	2949	0.0027
TCGA-IK-7675-10A-01D-2085-01	X	37708923	37714857	7	-1.9237
TCGA-IK-7675-10A-01D-2085-01	X	37714959	154905589	48352	0.01
