barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-E1-5304-01A-01D-1466-01	1	61735	98588	16	-0.6794
TCGA-E1-5304-01A-01D-1466-01	1	98602	11761503	5929	0.1829
TCGA-E1-5304-01A-01D-1466-01	1	11762798	11763666	3	-0.8203
TCGA-E1-5304-01A-01D-1466-01	1	11763677	17190004	2886	0.1869
TCGA-E1-5304-01A-01D-1466-01	1	17190862	17261797	59	-0.2215
TCGA-E1-5304-01A-01D-1466-01	1	17261888	25583341	5274	0.187
TCGA-E1-5304-01A-01D-1466-01	1	25593128	25646946	27	-1.343
TCGA-E1-5304-01A-01D-1466-01	1	25646986	72763370	28869	0.2209
TCGA-E1-5304-01A-01D-1466-01	1	72768418	72811148	48	-0.8307
TCGA-E1-5304-01A-01D-1466-01	1	72811904	104159384	20093	0.2541
TCGA-E1-5304-01A-01D-1466-01	1	104163499	104303403	28	-0.8205
TCGA-E1-5304-01A-01D-1466-01	1	104303501	110233118	3611	0.2576
TCGA-E1-5304-01A-01D-1466-01	1	110233262	110240178	13	0.7233
TCGA-E1-5304-01A-01D-1466-01	1	110242953	112690326	1958	0.2293
TCGA-E1-5304-01A-01D-1466-01	1	112695965	112697376	24	-0.1334
TCGA-E1-5304-01A-01D-1466-01	1	112697390	148585337	6342	0.2288
TCGA-E1-5304-01A-01D-1466-01	1	148627569	148627842	3	-0.7614
TCGA-E1-5304-01A-01D-1466-01	1	148636769	152555706	1700	0.2017
TCGA-E1-5304-01A-01D-1466-01	1	152555767	152586594	34	-0.5032
TCGA-E1-5304-01A-01D-1466-01	1	152590494	160013853	4608	0.2091
TCGA-E1-5304-01A-01D-1466-01	1	160024883	169216937	6946	-0.1238
TCGA-E1-5304-01A-01D-1466-01	1	169233974	169241766	7	0.9438
TCGA-E1-5304-01A-01D-1466-01	1	169242401	199111363	19686	-0.1013
TCGA-E1-5304-01A-01D-1466-01	1	199111426	199113011	7	-1.1941
TCGA-E1-5304-01A-01D-1466-01	1	199113840	205729101	4534	-0.1383
TCGA-E1-5304-01A-01D-1466-01	1	205731670	208140164	1263	0.2037
TCGA-E1-5304-01A-01D-1466-01	1	208140209	210071062	1640	-0.1177
TCGA-E1-5304-01A-01D-1466-01	1	210081613	210083984	3	-1.8006
TCGA-E1-5304-01A-01D-1466-01	1	210086552	232142621	14761	-0.1241
TCGA-E1-5304-01A-01D-1466-01	1	232146930	232310039	143	0.2219
TCGA-E1-5304-01A-01D-1466-01	1	232310414	232325379	25	-0.1405
TCGA-E1-5304-01A-01D-1466-01	1	232328401	233352248	831	0.2455
TCGA-E1-5304-01A-01D-1466-01	1	233354992	234656920	1120	-0.1278
