barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FG-8186-10A-01D-2252-01	1	3218610	59075804	30425	6e-04
TCGA-FG-8186-10A-01D-2252-01	1	59078037	59079359	4	-1.3414
TCGA-FG-8186-10A-01D-2252-01	1	59084209	247813706	98712	0.0024
TCGA-FG-8186-10A-01D-2252-01	10	415240	135225087	80866	0.0016
TCGA-FG-8186-10A-01D-2252-01	11	456120	134142530	77250	1e-04
TCGA-FG-8186-10A-01D-2252-01	12	889902	20859497	11439	0.0029
TCGA-FG-8186-10A-01D-2252-01	12	20863511	20863573	2	-2.2085
TCGA-FG-8186-10A-01D-2252-01	12	20867029	133161346	62497	0.001
TCGA-FG-8186-10A-01D-2252-01	13	19450806	19573146	77	0.0365
TCGA-FG-8186-10A-01D-2252-01	13	19576380	19583663	3	-1.0252
TCGA-FG-8186-10A-01D-2252-01	13	19586754	114987458	56571	6e-04
TCGA-FG-8186-10A-01D-2252-01	14	20501368	26128948	2525	-0.0043
TCGA-FG-8186-10A-01D-2252-01	14	26129328	26130024	5	-1.0059
TCGA-FG-8186-10A-01D-2252-01	14	26133060	90405573	37659	0.0021
TCGA-FG-8186-10A-01D-2252-01	14	90406002	90406653	3	-1.1289
TCGA-FG-8186-10A-01D-2252-01	14	90409353	105988038	9259	0.004
TCGA-FG-8186-10A-01D-2252-01	15	23687685	101884307	44518	-6e-04
TCGA-FG-8186-10A-01D-2252-01	16	653459	89379936	40803	-0.0016
TCGA-FG-8186-10A-01D-2252-01	17	987221	80917016	36984	0.003
TCGA-FG-8186-10A-01D-2252-01	18	329586	55500441	31014	8e-04
TCGA-FG-8186-10A-01D-2252-01	18	55503297	55503451	2	-1.3006
TCGA-FG-8186-10A-01D-2252-01	18	55503466	77109240	11646	-0.001
TCGA-FG-8186-10A-01D-2252-01	19	284018	58878226	23952	0.0032
TCGA-FG-8186-10A-01D-2252-01	2	484222	233127926	125661	1e-04
TCGA-FG-8186-10A-01D-2252-01	2	233128301	233137318	2	-1.3502
TCGA-FG-8186-10A-01D-2252-01	2	233141265	238553447	3521	-0.0039
TCGA-FG-8186-10A-01D-2252-01	2	238555843	238556768	2	-1.3846
TCGA-FG-8186-10A-01D-2252-01	2	238557183	242476062	2116	0.0045
TCGA-FG-8186-10A-01D-2252-01	20	455764	62219837	37285	0.0019
TCGA-FG-8186-10A-01D-2252-01	21	15347621	47678774	20585	0.0011
TCGA-FG-8186-10A-01D-2252-01	22	17423930	49331012	16927	-0.0028
TCGA-FG-8186-10A-01D-2252-01	3	2212571	197538677	106374	2e-04
TCGA-FG-8186-10A-01D-2252-01	4	1053934	29201541	17585	0.001
TCGA-FG-8186-10A-01D-2252-01	4	29202594	29213197	3	-1.3744
TCGA-FG-8186-10A-01D-2252-01	4	29213969	143476181	61087	0.0033
TCGA-FG-8186-10A-01D-2252-01	4	143476606	143477801	2	-1.4386
TCGA-FG-8186-10A-01D-2252-01	4	143479035	170577248	14899	0.0039
TCGA-FG-8186-10A-01D-2252-01	4	170577416	170577907	2	-1.1689
TCGA-FG-8186-10A-01D-2252-01	4	170578528	188763651	9163	0.0044
TCGA-FG-8186-10A-01D-2252-01	5	914233	37254459	21452	4e-04
TCGA-FG-8186-10A-01D-2252-01	5	37254763	37255583	2	-1.2705
TCGA-FG-8186-10A-01D-2252-01	5	37259160	43762174	3805	0.0013
TCGA-FG-8186-10A-01D-2252-01	5	43765415	43765733	2	-1.106
TCGA-FG-8186-10A-01D-2252-01	5	43775544	76547212	15479	0.0053
TCGA-FG-8186-10A-01D-2252-01	5	76547432	76547813	2	-1.4248
TCGA-FG-8186-10A-01D-2252-01	5	76551133	170029583	54251	0.0036
TCGA-FG-8186-10A-01D-2252-01	5	170030233	170030271	2	-1.4433
TCGA-FG-8186-10A-01D-2252-01	5	170032300	180360469	5507	8e-04
TCGA-FG-8186-10A-01D-2252-01	6	1014281	88061039	48049	0.0027
TCGA-FG-8186-10A-01D-2252-01	6	88061575	88061653	2	-2.3969
TCGA-FG-8186-10A-01D-2252-01	6	88061837	170903919	48445	0.0043
TCGA-FG-8186-10A-01D-2252-01	7	705284	95843068	48774	0
TCGA-FG-8186-10A-01D-2252-01	7	95845980	95848370	4	-1.2027
TCGA-FG-8186-10A-01D-2252-01	7	95850452	154824963	30508	0.0015
TCGA-FG-8186-10A-01D-2252-01	7	154830097	154834080	5	-1.3686
TCGA-FG-8186-10A-01D-2252-01	7	154834824	158385118	2026	-0.0014
TCGA-FG-8186-10A-01D-2252-01	8	617667	19309410	10163	7e-04
TCGA-FG-8186-10A-01D-2252-01	8	19310208	19310519	2	-1.7096
TCGA-FG-8186-10A-01D-2252-01	8	19313793	30574199	7669	-0.0033
TCGA-FG-8186-10A-01D-2252-01	8	30574940	30578282	5	-0.9679
TCGA-FG-8186-10A-01D-2252-01	8	30580127	104690593	39387	3e-04
TCGA-FG-8186-10A-01D-2252-01	8	104690926	104690940	2	-2.1226
TCGA-FG-8186-10A-01D-2252-01	8	104693685	104845420	76	-0.0268
TCGA-FG-8186-10A-01D-2252-01	8	104846209	104849193	2	-1.4464
