barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7681-10C-01D-2392-01	1	61735	12845863	6513	0.0064
TCGA-HT-7681-10C-01D-2392-01	1	12852748	12862241	7	-0.8489
TCGA-HT-7681-10C-01D-2392-01	1	12862250	12867837	13	-0.2057
TCGA-HT-7681-10C-01D-2392-01	1	12867851	12913101	14	-0.8088
TCGA-HT-7681-10C-01D-2392-01	1	12915847	16869363	2155	0.0146
TCGA-HT-7681-10C-01D-2392-01	1	16871278	17005978	45	0.4378
TCGA-HT-7681-10C-01D-2392-01	1	17011450	35102716	10371	0.005
TCGA-HT-7681-10C-01D-2392-01	1	35102844	35114268	18	-0.5834
TCGA-HT-7681-10C-01D-2392-01	1	35115542	55090200	10998	0.0023
TCGA-HT-7681-10C-01D-2392-01	1	55093291	55094389	2	-2.7387
TCGA-HT-7681-10C-01D-2392-01	1	55096450	81150541	18037	0.001
TCGA-HT-7681-10C-01D-2392-01	1	81150807	81150849	2	-1.5844
TCGA-HT-7681-10C-01D-2392-01	1	81151125	104225568	14756	-0.001
TCGA-HT-7681-10C-01D-2392-01	1	104239689	104303403	14	0.6836
TCGA-HT-7681-10C-01D-2392-01	1	104303501	144842558	10792	-0.003
TCGA-HT-7681-10C-01D-2392-01	1	144849539	144868360	5	1.2694
TCGA-HT-7681-10C-01D-2392-01	1	144869084	152555176	2778	0.0034
TCGA-HT-7681-10C-01D-2392-01	1	152555527	152586117	31	-0.8254
TCGA-HT-7681-10C-01D-2392-01	1	152586238	152759678	175	-0.0239
TCGA-HT-7681-10C-01D-2392-01	1	152761923	152768700	37	-1.7757
TCGA-HT-7681-10C-01D-2392-01	1	152773905	193155792	26990	-0.0029
TCGA-HT-7681-10C-01D-2392-01	1	193156279	193156348	4	1.1504
TCGA-HT-7681-10C-01D-2392-01	1	193159723	196714873	2380	0.0048
TCGA-HT-7681-10C-01D-2392-01	1	196727850	196771280	47	-0.696
TCGA-HT-7681-10C-01D-2392-01	1	196783626	210071062	8814	0.0017
TCGA-HT-7681-10C-01D-2392-01	1	210081613	210083984	3	1.3408
TCGA-HT-7681-10C-01D-2392-01	1	210086552	249224388	27008	7e-04
TCGA-HT-7681-10C-01D-2392-01	10	72809	17823971	14806	0.0043
TCGA-HT-7681-10C-01D-2392-01	10	17836592	18064568	12	-0.7199
TCGA-HT-7681-10C-01D-2392-01	10	18075021	24375263	4332	0.0045
TCGA-HT-7681-10C-01D-2392-01	10	24377674	24379039	15	0.8235
TCGA-HT-7681-10C-01D-2392-01	10	24380660	47897394	12642	-5e-04
TCGA-HT-7681-10C-01D-2392-01	10	47912899	47948060	3	1.6053
TCGA-HT-7681-10C-01D-2392-01	10	47960476	51830360	1759	0.0056
TCGA-HT-7681-10C-01D-2392-01	10	51840984	51891920	4	-2.2855
TCGA-HT-7681-10C-01D-2392-01	10	51910598	135253965	56991	0.0012
