barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-CS-4938-01B-11D-1892-01	1	3218610	91104026	50505	0.0027
TCGA-CS-4938-01B-11D-1892-01	1	91108204	91109793	2	-1.3703
TCGA-CS-4938-01B-11D-1892-01	1	91112769	247813706	78501	0.0023
TCGA-CS-4938-01B-11D-1892-01	10	415240	44375635	26984	-0.0025
TCGA-CS-4938-01B-11D-1892-01	10	44375680	44375925	4	-1.1039
TCGA-CS-4938-01B-11D-1892-01	10	44376205	90373110	25732	0.0013
TCGA-CS-4938-01B-11D-1892-01	10	90373845	90374638	3	-0.9765
TCGA-CS-4938-01B-11D-1892-01	10	90400113	111612577	12626	0.002
TCGA-CS-4938-01B-11D-1892-01	10	111612666	111614293	3	-1.1213
TCGA-CS-4938-01B-11D-1892-01	10	111617982	135225087	15427	-0.0038
TCGA-CS-4938-01B-11D-1892-01	11	456120	16625711	9880	-0.0111
TCGA-CS-4938-01B-11D-1892-01	11	16637323	16638042	6	-1.1545
TCGA-CS-4938-01B-11D-1892-01	11	16646088	134142530	67266	-4e-04
TCGA-CS-4938-01B-11D-1892-01	12	889902	24392816	13692	0.0479
TCGA-CS-4938-01B-11D-1892-01	12	24393754	24395272	4	-0.9277
TCGA-CS-4938-01B-11D-1892-01	12	24396944	54228423	13912	0.011
TCGA-CS-4938-01B-11D-1892-01	12	54231027	54231159	2	-1.1352
TCGA-CS-4938-01B-11D-1892-01	12	54231537	65969015	6643	5e-04
TCGA-CS-4938-01B-11D-1892-01	12	65976314	65977754	3	-1.1242
TCGA-CS-4938-01B-11D-1892-01	12	65981928	133161346	39592	1e-04
TCGA-CS-4938-01B-11D-1892-01	13	19450806	114987458	56559	-0.0048
TCGA-CS-4938-01B-11D-1892-01	14	20501368	56087856	18896	0.0022
TCGA-CS-4938-01B-11D-1892-01	14	56089094	56816535	536	-0.7747
TCGA-CS-4938-01B-11D-1892-01	14	56816946	59170909	1509	-0.4483
TCGA-CS-4938-01B-11D-1892-01	14	59172807	59181924	5	-1.1964
TCGA-CS-4938-01B-11D-1892-01	14	59181988	59331896	125	-0.4705
TCGA-CS-4938-01B-11D-1892-01	14	59332166	63744521	2708	-0.7215
TCGA-CS-4938-01B-11D-1892-01	14	63744614	63744672	2	-3.044
TCGA-CS-4938-01B-11D-1892-01	14	63745343	66027968	1379	-0.5716
TCGA-CS-4938-01B-11D-1892-01	14	66032854	66855247	485	-0.3569
TCGA-CS-4938-01B-11D-1892-01	14	66855987	82180918	9366	-0.7109
TCGA-CS-4938-01B-11D-1892-01	14	82188141	82996709	493	-0.4764
TCGA-CS-4938-01B-11D-1892-01	14	82997826	92671816	5841	-0.7275
TCGA-CS-4938-01B-11D-1892-01	14	92672360	92688227	22	-1.0364
TCGA-CS-4938-01B-11D-1892-01	14	92689254	95950175	2249	-0.7485
TCGA-CS-4938-01B-11D-1892-01	14	95953229	97216511	953	-0.4716
TCGA-CS-4938-01B-11D-1892-01	14	97217565	103711337	3947	-0.7483
TCGA-CS-4938-01B-11D-1892-01	14	103714829	103715043	2	-2.5067
TCGA-CS-4938-01B-11D-1892-01	14	103715413	105988038	733	-0.6864
TCGA-CS-4938-01B-11D-1892-01	15	23687685	101884307	44478	0.0049
TCGA-CS-4938-01B-11D-1892-01	16	653459	89379936	40751	0.001
TCGA-CS-4938-01B-11D-1892-01	17	987221	27596047	10697	-2e-04
TCGA-CS-4938-01B-11D-1892-01	17	27603086	27603316	2	-1.4872
TCGA-CS-4938-01B-11D-1892-01	17	27604619	45018463	7295	0.0074
TCGA-CS-4938-01B-11D-1892-01	17	45019731	45023307	4	-0.785
TCGA-CS-4938-01B-11D-1892-01	17	45024403	79376011	18463	0.0045
TCGA-CS-4938-01B-11D-1892-01	17	79389251	79693163	102	0.4522
TCGA-CS-4938-01B-11D-1892-01	17	79788623	80917016	400	-0.0134
TCGA-CS-4938-01B-11D-1892-01	18	329586	14406969	8160	0.4712
TCGA-CS-4938-01B-11D-1892-01	18	14462810	77109240	34461	-0.0019
TCGA-CS-4938-01B-11D-1892-01	19	284018	58878226	23929	0.0057
TCGA-CS-4938-01B-11D-1892-01	2	484222	106146307	55667	0.0023
TCGA-CS-4938-01B-11D-1892-01	2	106146375	106152104	2	-1.5027
TCGA-CS-4938-01B-11D-1892-01	2	106152252	242476062	75479	6e-04
TCGA-CS-4938-01B-11D-1892-01	20	455764	35952842	19755	-0.0054
TCGA-CS-4938-01B-11D-1892-01	20	35957835	60768185	17036	0.4674
TCGA-CS-4938-01B-11D-1892-01	20	60772583	62219837	473	0.0145
TCGA-CS-4938-01B-11D-1892-01	21	15347621	47678774	20567	0.0034
TCGA-CS-4938-01B-11D-1892-01	22	17423930	49331012	16914	0.0081
TCGA-CS-4938-01B-11D-1892-01	3	2212571	46476348	26296	-0.0055
TCGA-CS-4938-01B-11D-1892-01	3	46477219	46480702	3	-1.3001
TCGA-CS-4938-01B-11D-1892-01	3	46480958	197538677	79972	9e-04
TCGA-CS-4938-01B-11D-1892-01	4	1053934	78507698	42457	-0.0036
TCGA-CS-4938-01B-11D-1892-01	4	78509804	78509909	2	-1.4244
TCGA-CS-4938-01B-11D-1892-01	4	78510919	188763651	60178	-0.0032
TCGA-CS-4938-01B-11D-1892-01	5	914233	180360469	100407	-0.0014
TCGA-CS-4938-01B-11D-1892-01	6	1014281	170903919	96380	-3e-04
TCGA-CS-4938-01B-11D-1892-01	7	705284	91509538	46086	0.0082
TCGA-CS-4938-01B-11D-1892-01	7	91509551	152922248	32396	0.3108
TCGA-CS-4938-01B-11D-1892-01	7	152926354	158385118	2766	-0.0441
TCGA-CS-4938-01B-11D-1892-01	8	617667	121926325	66880	-0.002
TCGA-CS-4938-01B-11D-1892-01	8	121926352	121927155	2	-1.9981
TCGA-CS-4938-01B-11D-1892-01	8	121928254	145232496	14554	-2e-04
TCGA-CS-4938-01B-11D-1892-01	9	789932	140938752	67970	0
TCGA-CS-4938-01B-11D-1892-01	X	3157107	54151701	22245	-0.157
TCGA-CS-4938-01B-11D-1892-01	X	54159949	154905589	41480	0.0858
