barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DB-5273-10A-01D-1466-01	1	3208470	245880329	129069	-1e-04
TCGA-DB-5273-10A-01D-1466-01	10	405240	135075077	80857	-7e-04
TCGA-DB-5273-10A-01D-1466-01	11	446120	62248700	34053	-0.0024
TCGA-DB-5273-10A-01D-1466-01	11	62250162	62254077	3	-1.1092
TCGA-DB-5273-10A-01D-1466-01	11	62254538	133647740	43185	0.0033
TCGA-DB-5273-10A-01D-1466-01	12	760163	27532656	15820	0
TCGA-DB-5273-10A-01D-1466-01	12	27566830	27573995	5	-0.9932
TCGA-DB-5273-10A-01D-1466-01	12	27580217	131671419	58114	0.0014
TCGA-DB-5273-10A-01D-1466-01	13	18348806	108737762	53858	0.0053
TCGA-DB-5273-10A-01D-1466-01	13	108740722	108741456	3	-1.6676
TCGA-DB-5273-10A-01D-1466-01	13	108742027	114005560	2784	-0.0016
TCGA-DB-5273-10A-01D-1466-01	14	19571208	105059083	49439	0.0013
TCGA-DB-5273-10A-01D-1466-01	15	21238778	99701830	44530	3e-04
TCGA-DB-5273-10A-01D-1466-01	16	593460	53035731	19058	-0.0012
TCGA-DB-5273-10A-01D-1466-01	16	53035884	53036374	2	-1.2633
TCGA-DB-5273-10A-01D-1466-01	16	53036724	81391528	18205	0.0104
TCGA-DB-5273-10A-01D-1466-01	16	81393387	81620523	198	-0.9954
TCGA-DB-5273-10A-01D-1466-01	16	81620748	82351496	747	-0.0011
TCGA-DB-5273-10A-01D-1466-01	16	82351498	82351507	2	-1.7856
TCGA-DB-5273-10A-01D-1466-01	16	82351525	87907437	2647	0.0117
TCGA-DB-5273-10A-01D-1466-01	17	933971	78510305	36986	0.0046
TCGA-DB-5273-10A-01D-1466-01	18	319586	75210228	42661	0.0031
TCGA-DB-5273-10A-01D-1466-01	19	235018	63570038	23944	0.0104
TCGA-DB-5273-10A-01D-1466-01	2	474222	55538534	32379	0.0041
TCGA-DB-5273-10A-01D-1466-01	2	55538631	55663256	69	0.5043
TCGA-DB-5273-10A-01D-1466-01	2	55669196	242124735	98860	0.0016
TCGA-DB-5273-10A-01D-1466-01	20	403764	46274383	27063	-0.001
TCGA-DB-5273-10A-01D-1466-01	20	46274406	46278407	2	-1.7072
TCGA-DB-5273-10A-01D-1466-01	20	46278473	61690281	10214	-0.0017
TCGA-DB-5273-10A-01D-1466-01	21	14269492	46503202	20582	0.0054
TCGA-DB-5273-10A-01D-1466-01	22	15803930	47717016	16923	0.0021
TCGA-DB-5273-10A-01D-1466-01	3	526235	77557821	44511	0.0035
TCGA-DB-5273-10A-01D-1466-01	3	77561806	77569964	6	-0.9957
TCGA-DB-5273-10A-01D-1466-01	3	77576511	105976381	12076	0.0105
TCGA-DB-5273-10A-01D-1466-01	3	105979809	105979839	2	-1.4553
TCGA-DB-5273-10A-01D-1466-01	3	105979954	199023074	49793	0.0029
TCGA-DB-5273-10A-01D-1466-01	4	1043934	189836143	102731	0.0022
TCGA-DB-5273-10A-01D-1466-01	5	967233	87397081	46717	0.002
TCGA-DB-5273-10A-01D-1466-01	5	87400511	87400679	2	-1.5043
TCGA-DB-5273-10A-01D-1466-01	5	87404059	180293075	53779	0.0023
TCGA-DB-5273-10A-01D-1466-01	6	959281	170745844	96478	0.0011
TCGA-DB-5273-10A-01D-1466-01	7	671810	144823250	74479	0.0021
TCGA-DB-5273-10A-01D-1466-01	7	144823651	144823826	2	-1.7075
TCGA-DB-5273-10A-01D-1466-01	7	144823878	158077879	6841	0.0059
TCGA-DB-5273-10A-01D-1466-01	8	607667	136087112	76930	-0.0068
TCGA-DB-5273-10A-01D-1466-01	8	136087629	136096605	5	-0.9041
TCGA-DB-5273-10A-01D-1466-01	8	136099475	145304484	4598	-0.0014
TCGA-DB-5273-10A-01D-1466-01	9	779932	140058573	68017	0.0028
TCGA-DB-5273-10A-01D-1466-01	X	3167107	24189522	8920	0.0068
TCGA-DB-5273-10A-01D-1466-01	X	24191754	24191821	2	-5.1296
TCGA-DB-5273-10A-01D-1466-01	X	24191926	154558783	54758	0.001
