barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DU-7298-10A-01D-2023-01	1	61735	228729	19	0.445
TCGA-DU-7298-10A-01D-2023-01	1	229075	12837840	6499	-5e-04
TCGA-DU-7298-10A-01D-2023-01	1	12838744	13538311	76	0.4043
TCGA-DU-7298-10A-01D-2023-01	1	13543101	72768916	36442	-0.0027
TCGA-DU-7298-10A-01D-2023-01	1	72768936	72811148	43	1.7557
TCGA-DU-7298-10A-01D-2023-01	1	72811904	77774413	3200	0.0013
TCGA-DU-7298-10A-01D-2023-01	1	77774428	77779836	23	-0.8301
TCGA-DU-7298-10A-01D-2023-01	1	77781670	104103230	16839	-0.0011
TCGA-DU-7298-10A-01D-2023-01	1	104109238	104159384	27	0.8296
TCGA-DU-7298-10A-01D-2023-01	1	104163499	104163787	2	-1.7413
TCGA-DU-7298-10A-01D-2023-01	1	104178038	106019205	944	0.0075
TCGA-DU-7298-10A-01D-2023-01	1	106019236	106022375	16	-2.9675
TCGA-DU-7298-10A-01D-2023-01	1	106024055	109494147	2310	0.0034
TCGA-DU-7298-10A-01D-2023-01	1	109496854	109498145	15	-0.7947
TCGA-DU-7298-10A-01D-2023-01	1	109503656	110224384	331	-0.0171
TCGA-DU-7298-10A-01D-2023-01	1	110224427	110233118	17	0.491
TCGA-DU-7298-10A-01D-2023-01	1	110233262	110240178	13	1.4911
TCGA-DU-7298-10A-01D-2023-01	1	110242953	144081043	7208	0.0064
TCGA-DU-7298-10A-01D-2023-01	1	144471986	144472001	2	2.7252
TCGA-DU-7298-10A-01D-2023-01	1	144527147	144549929	7	-0.1017
TCGA-DU-7298-10A-01D-2023-01	1	144555185	144849552	9	1.1408
TCGA-DU-7298-10A-01D-2023-01	1	144865627	148575561	1090	-0.0215
TCGA-DU-7298-10A-01D-2023-01	1	148585337	148627842	4	1.4062
TCGA-DU-7298-10A-01D-2023-01	1	148636769	149429206	200	0.107
TCGA-DU-7298-10A-01D-2023-01	1	149436842	149617451	9	-0.8888
TCGA-DU-7298-10A-01D-2023-01	1	149617488	152555527	1488	-0.0036
TCGA-DU-7298-10A-01D-2023-01	1	152555706	152586594	35	1.1591
TCGA-DU-7298-10A-01D-2023-01	1	152590494	152759678	171	-0.0365
TCGA-DU-7298-10A-01D-2023-01	1	152761923	152768359	35	0.6529
TCGA-DU-7298-10A-01D-2023-01	1	152768570	178532223	17322	-0.0082
TCGA-DU-7298-10A-01D-2023-01	1	178532484	178533832	3	-3.0101
TCGA-DU-7298-10A-01D-2023-01	1	178534221	193155792	9826	7e-04
TCGA-DU-7298-10A-01D-2023-01	1	193156279	193156348	4	1.5997
TCGA-DU-7298-10A-01D-2023-01	1	193159723	196714822	2403	-0.0032
TCGA-DU-7298-10A-01D-2023-01	1	196714873	196828802	106	0.4795
TCGA-DU-7298-10A-01D-2023-01	1	196828871	248736075	35777	0.0022
TCGA-DU-7298-10A-01D-2023-01	1	248737447	248797213	34	-0.6042
TCGA-DU-7298-10A-01D-2023-01	1	248805339	248866903	39	-0.0166
TCGA-DU-7298-10A-01D-2023-01	1	248867244	248872658	4	-1.015
TCGA-DU-7298-10A-01D-2023-01	1	248876308	249224388	102	-0.0282
TCGA-DU-7298-10A-01D-2023-01	10	72809	4928428	4256	0.0112
TCGA-DU-7298-10A-01D-2023-01	10	4928890	4930520	3	-1.2004
TCGA-DU-7298-10A-01D-2023-01	10	4934332	6974139	1754	-0.0108
TCGA-DU-7298-10A-01D-2023-01	10	6975676	6978117	2	-2.4298
TCGA-DU-7298-10A-01D-2023-01	10	6978201	17927554	8869	0
TCGA-DU-7298-10A-01D-2023-01	10	17938208	17949857	2	3.3746
TCGA-DU-7298-10A-01D-2023-01	10	17971816	18173963	13	-0.009
TCGA-DU-7298-10A-01D-2023-01	10	18185123	18199813	3	-1.4741
