barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-E1-5304-10A-01D-1466-01	1	3208470	245880329	129076	6e-04
TCGA-E1-5304-10A-01D-1466-01	10	405240	135075077	80866	0.0042
TCGA-E1-5304-10A-01D-1466-01	11	446120	133647740	77249	9e-04
TCGA-E1-5304-10A-01D-1466-01	12	760163	109051720	62077	0.0027
TCGA-E1-5304-10A-01D-1466-01	12	109054973	109057726	2	-1.7113
TCGA-E1-5304-10A-01D-1466-01	12	109061590	131671419	11862	-9e-04
TCGA-E1-5304-10A-01D-1466-01	13	18348806	114005560	56642	0.0028
TCGA-E1-5304-10A-01D-1466-01	14	19571208	96127751	44593	0.0054
TCGA-E1-5304-10A-01D-1466-01	14	96128214	96128250	2	-1.7221
TCGA-E1-5304-10A-01D-1466-01	14	96128569	100537701	2976	0.0043
TCGA-E1-5304-10A-01D-1466-01	14	100540326	101049288	374	0.5889
TCGA-E1-5304-10A-01D-1466-01	14	101049898	105059083	1498	0.0079
TCGA-E1-5304-10A-01D-1466-01	15	21238778	99701830	44524	0.004
TCGA-E1-5304-10A-01D-1466-01	16	593460	87907437	40863	0.003
TCGA-E1-5304-10A-01D-1466-01	17	933971	78510305	36988	0.001
TCGA-E1-5304-10A-01D-1466-01	18	319586	75210228	42663	0.0042
TCGA-E1-5304-10A-01D-1466-01	19	235018	63570038	23945	-0.0014
TCGA-E1-5304-10A-01D-1466-01	2	474222	242124735	131315	0.0024
TCGA-E1-5304-10A-01D-1466-01	20	403764	61690281	37274	-0.0045
TCGA-E1-5304-10A-01D-1466-01	21	14269492	46503202	20585	0.0047
TCGA-E1-5304-10A-01D-1466-01	22	15803930	41654228	12559	-0.0079
TCGA-E1-5304-10A-01D-1466-01	22	41656426	41656751	2	-1.6734
TCGA-E1-5304-10A-01D-1466-01	22	41657470	47717016	4366	-0.0064
TCGA-E1-5304-10A-01D-1466-01	3	526235	199023074	106380	0.0018
TCGA-E1-5304-10A-01D-1466-01	4	1043934	189836143	102736	0.0024
TCGA-E1-5304-10A-01D-1466-01	5	967233	180293075	100506	0.0016
TCGA-E1-5304-10A-01D-1466-01	6	959281	103234533	56324	-0.0017
TCGA-E1-5304-10A-01D-1466-01	6	103237557	103255724	8	-0.6953
TCGA-E1-5304-10A-01D-1466-01	6	103256579	103262085	6	-1.0327
TCGA-E1-5304-10A-01D-1466-01	6	103262485	170745844	40135	0.0043
TCGA-E1-5304-10A-01D-1466-01	7	671810	13705625	5985	0.0029
TCGA-E1-5304-10A-01D-1466-01	7	13709890	13712504	5	-1.1105
TCGA-E1-5304-10A-01D-1466-01	7	13712991	145324776	68771	0.0042
TCGA-E1-5304-10A-01D-1466-01	7	145326016	145329124	5	-1.0629
TCGA-E1-5304-10A-01D-1466-01	7	145330132	158077879	6561	0.0035
TCGA-E1-5304-10A-01D-1466-01	8	607667	31199511	18143	0.0013
TCGA-E1-5304-10A-01D-1466-01	8	31207801	31208087	2	-1.7731
TCGA-E1-5304-10A-01D-1466-01	8	31209233	145304484	63392	-0.0096
TCGA-E1-5304-10A-01D-1466-01	9	779932	140058573	68020	0.0029
TCGA-E1-5304-10A-01D-1466-01	X	3167107	117532644	46909	0.0055
TCGA-E1-5304-10A-01D-1466-01	X	117534904	117539398	4	-2.4852
TCGA-E1-5304-10A-01D-1466-01	X	117540643	154558783	16794	0.0113
