barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-CS-6670-01A-11D-1892-01	1	61735	564621	32	-0.1052
TCGA-CS-6670-01A-11D-1892-01	1	603590	112690326	68434	-0.5851
TCGA-CS-6670-01A-11D-1892-01	1	112695965	112697390	25	0.2676
TCGA-CS-6670-01A-11D-1892-01	1	112705956	144884249	5228	-0.5884
TCGA-CS-6670-01A-11D-1892-01	1	144884279	152555176	2774	0.0446
TCGA-CS-6670-01A-11D-1892-01	1	152555527	152586594	36	1.0097
TCGA-CS-6670-01A-11D-1892-01	1	152590494	169216937	11535	0.059
TCGA-CS-6670-01A-11D-1892-01	1	169233974	169241766	7	-1.583
TCGA-CS-6670-01A-11D-1892-01	1	169242401	174796405	3518	0.0524
TCGA-CS-6670-01A-11D-1892-01	1	174796556	174797687	14	-0.7114
TCGA-CS-6670-01A-11D-1892-01	1	174801737	190220374	10367	0.0371
TCGA-CS-6670-01A-11D-1892-01	1	190220888	190221116	2	-2.2098
TCGA-CS-6670-01A-11D-1892-01	1	190221257	196714873	4275	0.041
TCGA-CS-6670-01A-11D-1892-01	1	196727850	196732086	4	-1.6708
TCGA-CS-6670-01A-11D-1892-01	1	196738623	248688600	35820	0.0431
TCGA-CS-6670-01A-11D-1892-01	1	248688615	248808557	44	-0.4221
TCGA-CS-6670-01A-11D-1892-01	1	248808864	249224388	143	0.1247
TCGA-CS-6670-01A-11D-1892-01	10	72759	24377675	19226	0.0513
TCGA-CS-6670-01A-11D-1892-01	10	24377676	24378054	9	-1.4689
TCGA-CS-6670-01A-11D-1892-01	10	24378908	92770145	42665	0.0446
TCGA-CS-6670-01A-11D-1892-01	10	92772368	92772522	2	-2.4055
TCGA-CS-6670-01A-11D-1892-01	10	92773249	135506704	29124	0.0433
TCGA-CS-6670-01A-11D-1892-01	11	198510	4970243	2475	0.0756
TCGA-CS-6670-01A-11D-1892-01	11	4970277	4976371	30	0.7539
TCGA-CS-6670-01A-11D-1892-01	11	4976389	18940856	10239	0.0443
TCGA-CS-6670-01A-11D-1892-01	11	18940870	18952811	24	-0.4568
TCGA-CS-6670-01A-11D-1892-01	11	18952989	55363340	21861	0.044
TCGA-CS-6670-01A-11D-1892-01	11	55374032	55431064	43	0.5585
TCGA-CS-6670-01A-11D-1892-01	11	55435127	85887957	17494	0.0576
TCGA-CS-6670-01A-11D-1892-01	11	85889658	85898821	17	-0.7486
TCGA-CS-6670-01A-11D-1892-01	11	85899812	89759430	2436	0.0379
TCGA-CS-6670-01A-11D-1892-01	11	89776846	89810338	5	-1.2809
TCGA-CS-6670-01A-11D-1892-01	11	89818310	134944770	32435	0.0394
TCGA-CS-6670-01A-11D-1892-01	12	150442	9630556	6196	0.0621
TCGA-CS-6670-01A-11D-1892-01	12	9633870	9728292	25	0.7759
TCGA-CS-6670-01A-11D-1892-01	12	9734969	11512492	1190	0.0644
TCGA-CS-6670-01A-11D-1892-01	12	11512531	11541029	27	0.6312
TCGA-CS-6670-01A-11D-1892-01	12	11543386	32021074	14472	0.0363
TCGA-CS-6670-01A-11D-1892-01	12	32024256	32024644	2	-2.2083
TCGA-CS-6670-01A-11D-1892-01	12	32024661	90483350	33851	0.0394
TCGA-CS-6670-01A-11D-1892-01	12	90491669	90492074	7	-1.8127
TCGA-CS-6670-01A-11D-1892-01	12	90493557	133778189	29235	0.0466
TCGA-CS-6670-01A-11D-1892-01	13	19026949	23629177	2890	0.0534
TCGA-CS-6670-01A-11D-1892-01	13	23629187	23638195	15	-0.6462
TCGA-CS-6670-01A-11D-1892-01	13	23638210	105781088	54691	-0.1281
TCGA-CS-6670-01A-11D-1892-01	13	105781726	105824735	52	-0.9172
TCGA-CS-6670-01A-11D-1892-01	13	105835860	115108397	6559	0.0343
TCGA-CS-6670-01A-11D-1892-01	14	19002124	43823828	15178	0.0486
TCGA-CS-6670-01A-11D-1892-01	14	43826642	44234974	197	0.8792
TCGA-CS-6670-01A-11D-1892-01	14	44241318	62724246	11757	0.0454
TCGA-CS-6670-01A-11D-1892-01	14	62725276	62727000	2	-2.6542
TCGA-CS-6670-01A-11D-1892-01	14	62727254	99132293	24265	0.0318
TCGA-CS-6670-01A-11D-1892-01	14	99132409	99137635	10	-1.0949
TCGA-CS-6670-01A-11D-1892-01	14	99138412	106526966	3703	0.0694
TCGA-CS-6670-01A-11D-1892-01	14	106530364	106561441	17	0.9707
TCGA-CS-6670-01A-11D-1892-01	14	106567100	106879831	144	-0.0313
TCGA-CS-6670-01A-11D-1892-01	14	106881352	106918108	50	-1.5313
TCGA-CS-6670-01A-11D-1892-01	14	106918649	107285437	224	0.057
TCGA-CS-6670-01A-11D-1892-01	15	20016328	76891511	34324	0.0555
TCGA-CS-6670-01A-11D-1892-01	15	76891627	76892225	9	-2.0409
TCGA-CS-6670-01A-11D-1892-01	15	76895064	76895775	11	-0.7214
TCGA-CS-6670-01A-11D-1892-01	15	76902179	84861346	4616	0.0547
TCGA-CS-6670-01A-11D-1892-01	15	84861411	84915125	2	-2.4298
TCGA-CS-6670-01A-11D-1892-01	15	84915273	102469040	13043	0.0515
TCGA-CS-6670-01A-11D-1892-01	16	60777	19945808	13519	0.0753
TCGA-CS-6670-01A-11D-1892-01	16	19945899	19967362	27	-0.5946
TCGA-CS-6670-01A-11D-1892-01	16	19970254	32588622	6600	0.0669
TCGA-CS-6670-01A-11D-1892-01	16	32588901	32588906	4	-3.3717
TCGA-CS-6670-01A-11D-1892-01	16	32588909	53058858	4913	0.0404
TCGA-CS-6670-01A-11D-1892-01	16	53061686	53070317	12	-0.888
TCGA-CS-6670-01A-11D-1892-01	16	53076950	55796389	2226	0.0567
TCGA-CS-6670-01A-11D-1892-01	16	55796510	55822444	21	-0.632
TCGA-CS-6670-01A-11D-1892-01	16	55829557	74188789	11084	0.0561
TCGA-CS-6670-01A-11D-1892-01	16	74189714	74398029	122	0.5161
TCGA-CS-6670-01A-11D-1892-01	16	74405191	90287535	13863	0.0778
TCGA-CS-6670-01A-11D-1892-01	17	526	19494867	11839	0.078
TCGA-CS-6670-01A-11D-1892-01	17	19494919	19538447	34	-0.562
TCGA-CS-6670-01A-11D-1892-01	17	19538758	39423057	9085	0.0771
TCGA-CS-6670-01A-11D-1892-01	17	39423077	39430450	20	0.6757
TCGA-CS-6670-01A-11D-1892-01	17	39430531	44163098	2512	0.0994
TCGA-CS-6670-01A-11D-1892-01	17	44165803	44353885	122	0.6542
TCGA-CS-6670-01A-11D-1892-01	17	44362009	44648367	31	0.0492
TCGA-CS-6670-01A-11D-1892-01	17	44653397	44784652	22	-0.4581
TCGA-CS-6670-01A-11D-1892-01	17	44784678	81049726	21610	0.0694
TCGA-CS-6670-01A-11D-1892-01	18	11543	77520151	50525	0.0454
TCGA-CS-6670-01A-11D-1892-01	18	77529501	77551256	11	-0.8481
TCGA-CS-6670-01A-11D-1892-01	18	77551586	78015057	247	0.1371
TCGA-CS-6670-01A-11D-1892-01	19	90910	12520305	4980	0.1065
TCGA-CS-6670-01A-11D-1892-01	19	12521940	12521990	2	-2.4915
TCGA-CS-6670-01A-11D-1892-01	19	12523155	27747993	6277	0.0826
TCGA-CS-6670-01A-11D-1892-01	19	27751675	59097854	18001	-0.5355
TCGA-CS-6670-01A-11D-1892-01	2	12784	19376802	14503	0.0386
TCGA-CS-6670-01A-11D-1892-01	2	19379664	19409845	11	-0.8817
TCGA-CS-6670-01A-11D-1892-01	2	19414006	51765362	22021	0.0457
TCGA-CS-6670-01A-11D-1892-01	2	51768668	51803683	26	-0.7461
TCGA-CS-6670-01A-11D-1892-01	2	51804042	52743925	612	0.0582
TCGA-CS-6670-01A-11D-1892-01	2	52754468	52765420	22	-0.4962
TCGA-CS-6670-01A-11D-1892-01	2	52765524	132221406	44463	0.037
TCGA-CS-6670-01A-11D-1892-01	2	132222008	132226368	4	-2.0854
TCGA-CS-6670-01A-11D-1892-01	2	132226792	146861446	9134	0.0362
TCGA-CS-6670-01A-11D-1892-01	2	146862085	146878988	36	0.4666
TCGA-CS-6670-01A-11D-1892-01	2	146880254	243089456	59094	0.0329
TCGA-CS-6670-01A-11D-1892-01	20	61305	1560999	1206	0.1141
TCGA-CS-6670-01A-11D-1892-01	20	1561580	1598106	43	1.1552
TCGA-CS-6670-01A-11D-1892-01	20	1598336	62956153	41228	0.0579
TCGA-CS-6670-01A-11D-1892-01	21	10736871	24023934	6738	0.0271
TCGA-CS-6670-01A-11D-1892-01	21	24025470	24031861	6	-1.1274
TCGA-CS-6670-01A-11D-1892-01	21	24034059	48096957	17649	0.0578
TCGA-CS-6670-01A-11D-1892-01	22	16052528	18055605	782	0.046
TCGA-CS-6670-01A-11D-1892-01	22	18058748	18062891	3	1.8567
TCGA-CS-6670-01A-11D-1892-01	22	18062987	22467569	2511	0.1081
TCGA-CS-6670-01A-11D-1892-01	22	22468619	22484778	9	-0.8528
TCGA-CS-6670-01A-11D-1892-01	22	22484863	51234455	20238	0.082
TCGA-CS-6670-01A-11D-1892-01	3	60345	68746284	47834	0.0449
TCGA-CS-6670-01A-11D-1892-01	3	68746446	68747364	11	-1.0436
TCGA-CS-6670-01A-11D-1892-01	3	68747413	98936627	15941	0.0277
TCGA-CS-6670-01A-11D-1892-01	3	98936963	98949314	39	-0.4951
TCGA-CS-6670-01A-11D-1892-01	3	98949421	162512657	39059	0.0349
TCGA-CS-6670-01A-11D-1892-01	3	162512739	162623881	66	0.6098
TCGA-CS-6670-01A-11D-1892-01	3	162623897	191496032	18217	0.032
TCGA-CS-6670-01A-11D-1892-01	3	191499339	191518684	18	-0.7056
