barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DU-7015-10B-01D-2023-01	1	51598	16966602	8821	0.0196
TCGA-DU-7015-10B-01D-2023-01	1	16966614	17134834	77	-0.3294
TCGA-DU-7015-10B-01D-2023-01	1	17148828	58254617	24142	0.0022
TCGA-DU-7015-10B-01D-2023-01	1	58254904	58255808	6	-0.8885
TCGA-DU-7015-10B-01D-2023-01	1	58256865	58492497	192	0.0017
TCGA-DU-7015-10B-01D-2023-01	1	58496146	58505914	13	0.4463
TCGA-DU-7015-10B-01D-2023-01	1	58515058	72522941	9721	-0.003
TCGA-DU-7015-10B-01D-2023-01	1	72528701	72535958	9	-1.0224
TCGA-DU-7015-10B-01D-2023-01	1	72541006	72541504	3	1.1624
TCGA-DU-7015-10B-01D-2023-01	1	72541524	72583736	42	2.7875
TCGA-DU-7015-10B-01D-2023-01	1	72584492	103960907	20104	8e-04
TCGA-DU-7015-10B-01D-2023-01	1	103965022	104104926	28	-1.1327
TCGA-DU-7015-10B-01D-2023-01	1	104105024	108567878	2900	-0.0116
TCGA-DU-7015-10B-01D-2023-01	1	108570825	108618702	2	-2.3816
TCGA-DU-7015-10B-01D-2023-01	1	108630480	112491849	2678	0.0045
TCGA-DU-7015-10B-01D-2023-01	1	112497488	112507728	36	-0.4445
TCGA-DU-7015-10B-01D-2023-01	1	112507736	150822151	8029	0.0081
TCGA-DU-7015-10B-01D-2023-01	1	150822330	150852862	31	-2.1204
TCGA-DU-7015-10B-01D-2023-01	1	150852902	187914780	25029	-0.0011
TCGA-DU-7015-10B-01D-2023-01	1	187915106	187915150	2	-1.6781
TCGA-DU-7015-10B-01D-2023-01	1	187918670	192714857	3289	-0.0073
TCGA-DU-7015-10B-01D-2023-01	1	192718034	192721641	2	1.9472
TCGA-DU-7015-10B-01D-2023-01	1	192723639	194981496	1455	-0.0022
TCGA-DU-7015-10B-01D-2023-01	1	194994473	195068625	92	-0.3021
TCGA-DU-7015-10B-01D-2023-01	1	195068695	220433291	17453	-0.0029
TCGA-DU-7015-10B-01D-2023-01	1	220441457	220443627	2	-3.4366
TCGA-DU-7015-10B-01D-2023-01	1	220448757	238458363	12581	0.0021
TCGA-DU-7015-10B-01D-2023-01	1	238460638	238460747	5	-1.6648
TCGA-DU-7015-10B-01D-2023-01	1	238460762	247191011	5936	0.0054
TCGA-DU-7015-10B-01D-2023-01	10	62809	17876598	14885	0.0036
TCGA-DU-7015-10B-01D-2023-01	10	17899449	17978214	6	-0.968
TCGA-DU-7015-10B-01D-2023-01	10	17989863	45632493	16692	5e-04
TCGA-DU-7015-10B-01D-2023-01	10	45905767	45931287	4	1.3265
TCGA-DU-7015-10B-01D-2023-01	10	45947683	46669593	174	0.1529
TCGA-DU-7015-10B-01D-2023-01	10	46684870	46839717	8	0.6076
TCGA-DU-7015-10B-01D-2023-01	10	47011195	47417400	193	0.024
TCGA-DU-7015-10B-01D-2023-01	10	47432905	47433407	2	-2.8242
TCGA-DU-7015-10B-01D-2023-01	10	47468066	48522382	296	0.0097
TCGA-DU-7015-10B-01D-2023-01	10	48548797	48957597	18	-0.6124
TCGA-DU-7015-10B-01D-2023-01	10	48957609	135356694	58840	0.0016
TCGA-DU-7015-10B-01D-2023-01	11	188510	5743981	3308	0.0044
TCGA-DU-7015-10B-01D-2023-01	11	5744656	5765715	32	-0.6479
TCGA-DU-7015-10B-01D-2023-01	11	5765914	6064366	241	-0.0058
TCGA-DU-7015-10B-01D-2023-01	11	6064845	6073419	4	-1.6846
TCGA-DU-7015-10B-01D-2023-01	11	6073590	18890488	9172	-0.0041
TCGA-DU-7015-10B-01D-2023-01	11	18891410	18917641	47	0.2733
TCGA-DU-7015-10B-01D-2023-01	11	18917673	31349870	9117	-1e-04
TCGA-DU-7015-10B-01D-2023-01	11	31350844	31353656	2	-2.7111
TCGA-DU-7015-10B-01D-2023-01	11	31354783	36737050	4101	-0.0047
TCGA-DU-7015-10B-01D-2023-01	11	36737737	36738710	3	-1.6595
TCGA-DU-7015-10B-01D-2023-01	11	36740278	55133230	8659	0.003
TCGA-DU-7015-10B-01D-2023-01	11	55133238	55200787	37	-0.5614
TCGA-DU-7015-10B-01D-2023-01	11	55201444	134449982	52457	0.0015
TCGA-DU-7015-10B-01D-2023-01	12	20703	8447960	5623	0.0013
TCGA-DU-7015-10B-01D-2023-01	12	8449755	8467733	18	1.387
TCGA-DU-7015-10B-01D-2023-01	12	8472095	9351801	485	0.0278
TCGA-DU-7015-10B-01D-2023-01	12	9352495	9363910	4	-0.9548
TCGA-DU-7015-10B-01D-2023-01	12	9364424	9521823	79	0.0354
TCGA-DU-7015-10B-01D-2023-01	12	9525137	9619559	24	0.8978
TCGA-DU-7015-10B-01D-2023-01	12	9626236	57007498	29526	0.0016
TCGA-DU-7015-10B-01D-2023-01	12	57016418	57016429	2	1.4366
TCGA-DU-7015-10B-01D-2023-01	12	57017115	62226007	3444	-0.0024
TCGA-DU-7015-10B-01D-2023-01	12	62234418	62421694	64	0.4613
TCGA-DU-7015-10B-01D-2023-01	12	62422921	81691087	12274	3e-04
TCGA-DU-7015-10B-01D-2023-01	12	81692192	81731925	38	-0.9065
TCGA-DU-7015-10B-01D-2023-01	12	81739512	125559813	28455	4e-04
TCGA-DU-7015-10B-01D-2023-01	12	125560180	125573428	10	-0.876
TCGA-DU-7015-10B-01D-2023-01	12	125573586	132288262	5067	0.0182
TCGA-DU-7015-10B-01D-2023-01	13	17924949	36973965	13574	4e-04
TCGA-DU-7015-10B-01D-2023-01	13	36974267	36982757	12	0.7321
TCGA-DU-7015-10B-01D-2023-01	13	36986330	97325275	38571	0.0011
TCGA-DU-7015-10B-01D-2023-01	13	97328125	97329466	6	-1.025
TCGA-DU-7015-10B-01D-2023-01	13	97331831	114126499	12185	0.0054
TCGA-DU-7015-10B-01D-2023-01	14	18072124	18472242	26	0.0234
TCGA-DU-7015-10B-01D-2023-01	14	18486191	19493212	164	0.4392
TCGA-DU-7015-10B-01D-2023-01	14	19494766	40678108	13647	0.0029
TCGA-DU-7015-10B-01D-2023-01	14	40680246	40707565	12	0.4936
TCGA-DU-7015-10B-01D-2023-01	14	40723727	63459783	14373	0.0013
TCGA-DU-7015-10B-01D-2023-01	14	63462726	63465049	2	-1.5254
TCGA-DU-7015-10B-01D-2023-01	14	63465959	105598011	26950	0.0026
TCGA-DU-7015-10B-01D-2023-01	14	105601409	105632486	17	0.7242
TCGA-DU-7015-10B-01D-2023-01	14	105638145	105822329	85	0.0289
TCGA-DU-7015-10B-01D-2023-01	14	105824904	105824912	3	0.933
TCGA-DU-7015-10B-01D-2023-01	14	105825048	105848388	14	0.0037
TCGA-DU-7015-10B-01D-2023-01	14	105854089	105892781	12	-0.5927
TCGA-DU-7015-10B-01D-2023-01	14	105896961	105939331	26	-0.0144
TCGA-DU-7015-10B-01D-2023-01	14	105939599	105989139	53	-0.5283
TCGA-DU-7015-10B-01D-2023-01	14	105989153	106115788	62	0.0235
TCGA-DU-7015-10B-01D-2023-01	14	106116317	106129051	6	-0.6976
TCGA-DU-7015-10B-01D-2023-01	14	106130109	106356482	157	0.0042
TCGA-DU-7015-10B-01D-2023-01	15	18276341	18529787	57	0.1308
TCGA-DU-7015-10B-01D-2023-01	15	18544080	19080081	98	-0.1293
TCGA-DU-7015-10B-01D-2023-01	15	19080173	19566875	151	-0.4392
TCGA-DU-7015-10B-01D-2023-01	15	19764921	20088838	116	0.2593
TCGA-DU-7015-10B-01D-2023-01	15	20224763	24111285	2383	0.0117
TCGA-DU-7015-10B-01D-2023-01	15	24113245	24114249	2	-4.8115
TCGA-DU-7015-10B-01D-2023-01	15	24114681	28579861	2400	0.017
TCGA-DU-7015-10B-01D-2023-01	15	28583081	28712897	9	0.8583
TCGA-DU-7015-10B-01D-2023-01	15	28717792	69456169	26440	9e-04
TCGA-DU-7015-10B-01D-2023-01	15	69459154	69459807	3	-1.287
TCGA-DU-7015-10B-01D-2023-01	15	69459899	74665417	2718	0.0037
TCGA-DU-7015-10B-01D-2023-01	15	74678296	74689234	23	0.7621
TCGA-DU-7015-10B-01D-2023-01	15	74689249	91654889	11211	-0.0013
TCGA-DU-7015-10B-01D-2023-01	15	91656315	91658556	2	-2.923
TCGA-DU-7015-10B-01D-2023-01	15	91663418	100252532	6472	0.0049
TCGA-DU-7015-10B-01D-2023-01	15	100258445	100286563	4	0.8888
TCGA-DU-7015-10B-01D-2023-01	16	777	14967234	11166	0.0105
TCGA-DU-7015-10B-01D-2023-01	16	14967249	14970949	5	-0.4032
TCGA-DU-7015-10B-01D-2023-01	16	14971191	15016088	28	0.3092
TCGA-DU-7015-10B-01D-2023-01	16	15023758	15324011	55	0.8008
TCGA-DU-7015-10B-01D-2023-01	16	15389435	19851864	2277	0.0171
TCGA-DU-7015-10B-01D-2023-01	16	19853151	19874863	29	-0.7358
TCGA-DU-7015-10B-01D-2023-01	16	19877755	54354095	13773	0.0095
TCGA-DU-7015-10B-01D-2023-01	16	54355723	54356280	3	3.4472
TCGA-DU-7015-10B-01D-2023-01	16	54361849	76929109	14526	0.0013
TCGA-DU-7015-10B-01D-2023-01	16	76929941	76942266	17	0.6334
TCGA-DU-7015-10B-01D-2023-01	16	76942502	88815036	10645	0.0155
TCGA-DU-7015-10B-01D-2023-01	17	526	18891592	11647	0.01
TCGA-DU-7015-10B-01D-2023-01	17	18905947	18956377	5	-1.4377
TCGA-DU-7015-10B-01D-2023-01	17	18970881	36683683	9347	0.0042
TCGA-DU-7015-10B-01D-2023-01	17	36683699	36683976	3	-1.2377
TCGA-DU-7015-10B-01D-2023-01	17	36684057	78643088	24312	0.0062
TCGA-DU-7015-10B-01D-2023-01	18	1543	38305676	24091	-0.0031
TCGA-DU-7015-10B-01D-2023-01	18	38310567	38311765	25	-1.8926
TCGA-DU-7015-10B-01D-2023-01	18	38312393	76116029	26733	-0.003
TCGA-DU-7015-10B-01D-2023-01	19	41910	14899939	6132	0.016
TCGA-DU-7015-10B-01D-2023-01	19	14906192	14910299	3	-1.2593
TCGA-DU-7015-10B-01D-2023-01	19	14912287	21606759	3544	0.0082
TCGA-DU-7015-10B-01D-2023-01	19	21607480	21614162	6	0.826
TCGA-DU-7015-10B-01D-2023-01	19	21617604	40548543	7150	0.0095
TCGA-DU-7015-10B-01D-2023-01	19	40548947	40558584	12	0.5382
TCGA-DU-7015-10B-01D-2023-01	19	40558626	59834742	10085	0.011
TCGA-DU-7015-10B-01D-2023-01	19	59843208	59843498	2	0.6897
TCGA-DU-7015-10B-01D-2023-01	19	59843970	59858641	16	0.3284
TCGA-DU-7015-10B-01D-2023-01	19	59862894	59868103	12	0.6421
TCGA-DU-7015-10B-01D-2023-01	19	59873738	59975740	63	0.0381
TCGA-DU-7015-10B-01D-2023-01	19	59989695	60065630	38	0.441
TCGA-DU-7015-10B-01D-2023-01	19	60069820	63789666	2292	0.0171
TCGA-DU-7015-10B-01D-2023-01	2	2784	13117860	10016	0.0033
TCGA-DU-7015-10B-01D-2023-01	2	13119757	13197700	42	0.5777
TCGA-DU-7015-10B-01D-2023-01	2	13200291	14623507	999	0.0095
TCGA-DU-7015-10B-01D-2023-01	2	14623720	14627543	10	-1.3829
TCGA-DU-7015-10B-01D-2023-01	2	14627815	52608065	26155	-0.0015
TCGA-DU-7015-10B-01D-2023-01	2	52608232	52608385	3	-2.0327
