barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-CS-6670-01A-11D-1892-01	1	3208470	18339852	8028	-0.5714
TCGA-CS-6670-01A-11D-1892-01	1	18339871	18341341	2	-3.7136
TCGA-CS-6670-01A-11D-1892-01	1	18341376	41741914	12211	-0.5563
TCGA-CS-6670-01A-11D-1892-01	1	41743799	41743814	2	-3.733
TCGA-CS-6670-01A-11D-1892-01	1	41745467	145143007	47155	-0.601
TCGA-CS-6670-01A-11D-1892-01	1	145797774	188486997	24842	0.049
TCGA-CS-6670-01A-11D-1892-01	1	188487511	188487739	2	-2.2083
TCGA-CS-6670-01A-11D-1892-01	1	188487880	245880329	36396	0.0401
TCGA-CS-6670-01A-11D-1892-01	10	405240	92760125	54333	0.0419
TCGA-CS-6670-01A-11D-1892-01	10	92762348	92762502	2	-2.4055
TCGA-CS-6670-01A-11D-1892-01	10	92763229	135075077	26441	0.039
TCGA-CS-6670-01A-11D-1892-01	11	446120	133647740	77151	0.0419
TCGA-CS-6670-01A-11D-1892-01	12	760163	131671419	73851	0.0363
TCGA-CS-6670-01A-11D-1892-01	13	18348806	106056305	51698	-0.1238
TCGA-CS-6670-01A-11D-1892-01	13	106057487	106057525	2	-1.6763
TCGA-CS-6670-01A-11D-1892-01	13	106057532	114005560	4830	0.0264
TCGA-CS-6670-01A-11D-1892-01	14	19571208	98202046	46175	0.0374
TCGA-CS-6670-01A-11D-1892-01	14	98202162	98207388	10	-1.0934
TCGA-CS-6670-01A-11D-1892-01	14	98208165	105059083	3201	0.0652
TCGA-CS-6670-01A-11D-1892-01	15	21238778	99701830	44465	0.052
TCGA-CS-6670-01A-11D-1892-01	16	593460	6497004	2625	0.0781
TCGA-CS-6670-01A-11D-1892-01	16	6497652	6499256	2	-1.691
TCGA-CS-6670-01A-11D-1892-01	16	6499698	13767534	4977	0.0586
TCGA-CS-6670-01A-11D-1892-01	16	13767830	13768840	3	-1.5291
TCGA-CS-6670-01A-11D-1892-01	16	13769307	51616359	10379	0.0615
TCGA-CS-6670-01A-11D-1892-01	16	51619187	51627818	12	-0.8833
