barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-EZ-7264-10A-01D-2023-01	1	51598	17067742	8816	0.0044
TCGA-EZ-7264-10A-01D-2023-01	1	17076084	17157507	65	-0.3738
TCGA-EZ-7264-10A-01D-2023-01	1	17158797	72535958	34036	0.0025
TCGA-EZ-7264-10A-01D-2023-01	1	72541006	72583664	46	-0.6766
TCGA-EZ-7264-10A-01D-2023-01	1	72583721	74577925	1175	-0.0033
TCGA-EZ-7264-10A-01D-2023-01	1	74578332	74578753	2	-1.4143
TCGA-EZ-7264-10A-01D-2023-01	1	74579140	77026310	1698	0.0042
TCGA-EZ-7264-10A-01D-2023-01	1	77026725	77034412	17	-1.1347
TCGA-EZ-7264-10A-01D-2023-01	1	77036274	83589065	4207	0.0018
TCGA-EZ-7264-10A-01D-2023-01	1	83598165	83598178	2	-1.6553
TCGA-EZ-7264-10A-01D-2023-01	1	83600861	104041212	12997	0.0054
TCGA-EZ-7264-10A-01D-2023-01	1	104041509	104104926	13	0.5204
TCGA-EZ-7264-10A-01D-2023-01	1	104105024	105802883	912	0.0179
TCGA-EZ-7264-10A-01D-2023-01	1	105803095	105823613	20	-0.562
TCGA-EZ-7264-10A-01D-2023-01	1	105823867	110034641	2669	0.0138
TCGA-EZ-7264-10A-01D-2023-01	1	110034785	110046521	15	1.3065
TCGA-EZ-7264-10A-01D-2023-01	1	110047649	112491849	1954	0.0014
TCGA-EZ-7264-10A-01D-2023-01	1	112497488	112507728	36	-0.4046
TCGA-EZ-7264-10A-01D-2023-01	1	112507736	150822151	8026	0.001
TCGA-EZ-7264-10A-01D-2023-01	1	150822330	150853164	33	-2.083
TCGA-EZ-7264-10A-01D-2023-01	1	150853200	151026302	173	-0.0334
TCGA-EZ-7264-10A-01D-2023-01	1	151028547	151035324	37	0.5171
TCGA-EZ-7264-10A-01D-2023-01	1	151040529	159775499	5268	0.009
TCGA-EZ-7264-10A-01D-2023-01	1	159780383	159914861	49	-0.3953
TCGA-EZ-7264-10A-01D-2023-01	1	159915245	164451105	3693	0.0127
TCGA-EZ-7264-10A-01D-2023-01	1	164451448	164451477	2	-1.9427
TCGA-EZ-7264-10A-01D-2023-01	1	164451631	188941835	16509	-8e-04
TCGA-EZ-7264-10A-01D-2023-01	1	188942142	188947364	4	-1.3099
TCGA-EZ-7264-10A-01D-2023-01	1	188948407	192045470	2091	-0.0071
TCGA-EZ-7264-10A-01D-2023-01	1	192054760	192054837	2	-2.3016
TCGA-EZ-7264-10A-01D-2023-01	1	192055134	194998233	1906	0.0054
TCGA-EZ-7264-10A-01D-2023-01	1	194998709	195082414	93	-0.3065
TCGA-EZ-7264-10A-01D-2023-01	1	195083353	208137685	8798	0.0015
TCGA-EZ-7264-10A-01D-2023-01	1	208148236	208150607	3	-2.671
TCGA-EZ-7264-10A-01D-2023-01	1	208153175	246791857	26931	0.0017
TCGA-EZ-7264-10A-01D-2023-01	1	246802698	246863836	35	-0.6605
TCGA-EZ-7264-10A-01D-2023-01	1	246875180	247191011	144	0.0098
TCGA-EZ-7264-10A-01D-2023-01	10	62809	18213969	14890	-7e-04
TCGA-EZ-7264-10A-01D-2023-01	10	18225129	18236775	2	-2.1583
TCGA-EZ-7264-10A-01D-2023-01	10	18239819	24417682	4345	0.0031
TCGA-EZ-7264-10A-01D-2023-01	10	24417684	24418060	8	1.3095
TCGA-EZ-7264-10A-01D-2023-01	10	24418914	46475660	12394	1e-04
TCGA-EZ-7264-10A-01D-2023-01	10	46475717	46479232	12	-0.9925
TCGA-EZ-7264-10A-01D-2023-01	10	46479394	135356694	59348	0.001
TCGA-EZ-7264-10A-01D-2023-01	11	188510	4924226	2475	3e-04
TCGA-EZ-7264-10A-01D-2023-01	11	4924693	4932281	29	-1.7441
TCGA-EZ-7264-10A-01D-2023-01	11	4932833	55119916	32134	0.0035
TCGA-EZ-7264-10A-01D-2023-01	11	55130608	55198894	48	0.4769
TCGA-EZ-7264-10A-01D-2023-01	11	55200787	134449982	52392	0.0027
TCGA-EZ-7264-10A-01D-2023-01	12	20703	33185927	22850	1e-04
TCGA-EZ-7264-10A-01D-2023-01	12	33192673	33199627	28	-0.4658
TCGA-EZ-7264-10A-01D-2023-01	12	33199654	51745269	10023	0.0091
TCGA-EZ-7264-10A-01D-2023-01	12	51745368	51746148	2	-2.3787
TCGA-EZ-7264-10A-01D-2023-01	12	51748863	118468208	43019	7e-04
TCGA-EZ-7264-10A-01D-2023-01	12	118473270	118475144	16	-0.892
TCGA-EZ-7264-10A-01D-2023-01	12	118478424	132288262	9069	-0.0041
TCGA-EZ-7264-10A-01D-2023-01	13	17924949	31430121	9624	-0.004
TCGA-EZ-7264-10A-01D-2023-01	13	31430622	31436423	18	-0.8608
TCGA-EZ-7264-10A-01D-2023-01	13	31438047	36969135	3903	-8e-04
TCGA-EZ-7264-10A-01D-2023-01	13	36970036	36982757	16	0.7773
TCGA-EZ-7264-10A-01D-2023-01	13	36986330	62975438	16277	0.0048
TCGA-EZ-7264-10A-01D-2023-01	13	62977748	63018063	25	-0.9807
TCGA-EZ-7264-10A-01D-2023-01	13	63024413	114126499	34376	0.0013
TCGA-EZ-7264-10A-01D-2023-01	14	18072124	18871755	61	0.0263
TCGA-EZ-7264-10A-01D-2023-01	14	18872541	19493212	128	-0.3639
TCGA-EZ-7264-10A-01D-2023-01	14	19494766	73076460	34112	0.0011
TCGA-EZ-7264-10A-01D-2023-01	14	73076604	73087274	5	-1.7201
TCGA-EZ-7264-10A-01D-2023-01	14	73087291	105596357	20796	0.0034
TCGA-EZ-7264-10A-01D-2023-01	14	105598011	105640508	20	0.6914
TCGA-EZ-7264-10A-01D-2023-01	14	105645163	105953387	144	0.047
TCGA-EZ-7264-10A-01D-2023-01	14	105960424	105974088	21	0.4898
TCGA-EZ-7264-10A-01D-2023-01	14	105974113	106356482	251	0.0547
TCGA-EZ-7264-10A-01D-2023-01	15	18276341	18655543	61	0.0015
TCGA-EZ-7264-10A-01D-2023-01	15	18671392	19438545	220	0.4911
TCGA-EZ-7264-10A-01D-2023-01	15	19451059	19452665	2	-1.3008
TCGA-EZ-7264-10A-01D-2023-01	15	19456767	19566875	23	0.2406
TCGA-EZ-7264-10A-01D-2023-01	15	19764921	19792388	6	1.8595
TCGA-EZ-7264-10A-01D-2023-01	15	19794591	20302609	115	0.5828
TCGA-EZ-7264-10A-01D-2023-01	15	20302620	82652350	38536	0.006
TCGA-EZ-7264-10A-01D-2023-01	15	82652415	82706129	2	-3.1382
TCGA-EZ-7264-10A-01D-2023-01	15	82706277	84345363	971	-0.033
TCGA-EZ-7264-10A-01D-2023-01	15	84346560	84348062	3	-2.1433
TCGA-EZ-7264-10A-01D-2023-01	15	84348975	100286563	12078	0.007
TCGA-EZ-7264-10A-01D-2023-01	16	777	32496123	20133	9e-04
TCGA-EZ-7264-10A-01D-2023-01	16	32496402	32496410	5	-0.8121
TCGA-EZ-7264-10A-01D-2023-01	16	32516775	47533305	1882	0.0136
TCGA-EZ-7264-10A-01D-2023-01	16	47533970	47534068	3	-1.5157
TCGA-EZ-7264-10A-01D-2023-01	16	47534380	54361849	5271	8e-04
TCGA-EZ-7264-10A-01D-2023-01	16	54362909	54387058	15	-0.6652
TCGA-EZ-7264-10A-01D-2023-01	16	54387091	76930347	14495	0.0024
TCGA-EZ-7264-10A-01D-2023-01	16	76930838	76933878	4	-1.9446
TCGA-EZ-7264-10A-01D-2023-01	16	76934212	88815036	10634	-4e-04
TCGA-EZ-7264-10A-01D-2023-01	17	526	18299674	11432	0.004
TCGA-EZ-7264-10A-01D-2023-01	17	18302411	18405946	26	0.4697
TCGA-EZ-7264-10A-01D-2023-01	17	18409922	29710280	5716	0.0113
TCGA-EZ-7264-10A-01D-2023-01	17	29710323	29713938	12	-0.5478
TCGA-EZ-7264-10A-01D-2023-01	17	29714477	36675234	3769	0.0098
TCGA-EZ-7264-10A-01D-2023-01	17	36676540	36676616	5	0.8188
TCGA-EZ-7264-10A-01D-2023-01	17	36676629	36683976	18	1.9939
TCGA-EZ-7264-10A-01D-2023-01	17	36684057	40941880	2164	0.011
TCGA-EZ-7264-10A-01D-2023-01	17	40942192	41004323	4	-2.4744
TCGA-EZ-7264-10A-01D-2023-01	17	41010873	41569489	380	-0.0657
TCGA-EZ-7264-10A-01D-2023-01	17	41569943	42120174	136	0.2855
TCGA-EZ-7264-10A-01D-2023-01	17	42139835	78643088	21605	0.0028
TCGA-EZ-7264-10A-01D-2023-01	18	1543	76116029	50793	-0.001
TCGA-EZ-7264-10A-01D-2023-01	19	41910	5457659	1597	0.0241
TCGA-EZ-7264-10A-01D-2023-01	19	5461239	5461653	3	-2.6031
TCGA-EZ-7264-10A-01D-2023-01	19	5461700	6857850	671	0.0047
TCGA-EZ-7264-10A-01D-2023-01	19	6859589	6891189	14	-0.5326
TCGA-EZ-7264-10A-01D-2023-01	19	6891284	40547289	14517	0.0085
TCGA-EZ-7264-10A-01D-2023-01	19	40547883	40553010	15	-0.7002
TCGA-EZ-7264-10A-01D-2023-01	19	40553489	48176775	3817	0.0122
TCGA-EZ-7264-10A-01D-2023-01	19	48181795	48432805	121	0.6159
TCGA-EZ-7264-10A-01D-2023-01	19	48445141	58608233	5429	0.0139
TCGA-EZ-7264-10A-01D-2023-01	19	58608821	58708918	84	0.4921
TCGA-EZ-7264-10A-01D-2023-01	19	58709070	63789666	3052	0.0102
TCGA-EZ-7264-10A-01D-2023-01	2	2784	52608065	37168	-0.0018
TCGA-EZ-7264-10A-01D-2023-01	2	52608232	52608385	3	-2.3003
TCGA-EZ-7264-10A-01D-2023-01	2	52612257	52634878	27	0.646
TCGA-EZ-7264-10A-01D-2023-01	2	52634901	97484644	24075	-0.0019
TCGA-EZ-7264-10A-01D-2023-01	2	97507179	97533310	10	-0.8919
TCGA-EZ-7264-10A-01D-2023-01	2	97535038	122936350	14927	-9e-04
TCGA-EZ-7264-10A-01D-2023-01	2	122938455	122942608	6	-0.9786
TCGA-EZ-7264-10A-01D-2023-01	2	122948328	123193484	188	0.0291
TCGA-EZ-7264-10A-01D-2023-01	2	123196369	123198711	9	-1.9621
TCGA-EZ-7264-10A-01D-2023-01	2	123200123	129354548	3885	-8e-04
TCGA-EZ-7264-10A-01D-2023-01	2	129354948	129356767	14	-0.6981
TCGA-EZ-7264-10A-01D-2023-01	2	129356785	183792398	33332	-9e-04
TCGA-EZ-7264-10A-01D-2023-01	2	183793698	183797969	10	-0.9238
TCGA-EZ-7264-10A-01D-2023-01	2	183802243	208058436	14101	0.0029
TCGA-EZ-7264-10A-01D-2023-01	2	208058492	208058507	2	-2.0317
TCGA-EZ-7264-10A-01D-2023-01	2	208058564	228970536	13607	0
TCGA-EZ-7264-10A-01D-2023-01	2	228972658	228974618	2	-2.5992
TCGA-EZ-7264-10A-01D-2023-01	2	228977100	242738129	8537	-0.0045
TCGA-EZ-7264-10A-01D-2023-01	20	9305	1509580	1206	0.0134
TCGA-EZ-7264-10A-01D-2023-01	20	1509667	1541893	40	-1.0358
TCGA-EZ-7264-10A-01D-2023-01	20	1545946	14716903	9903	-0.0024
TCGA-EZ-7264-10A-01D-2023-01	20	14719472	14771693	66	-0.8429
TCGA-EZ-7264-10A-01D-2023-01	20	14771707	62426597	31222	0.0045
TCGA-EZ-7264-10A-01D-2023-01	21	9758742	43792481	22622	0.0032
TCGA-EZ-7264-10A-01D-2023-01	21	43795301	43797240	2	-3.4917
TCGA-EZ-7264-10A-01D-2023-01	21	43798095	46921385	1764	0.0073
TCGA-EZ-7264-10A-01D-2023-01	22	14432528	22674422	4616	0.018
TCGA-EZ-7264-10A-01D-2023-01	22	22680529	22726814	19	-1.8809
TCGA-EZ-7264-10A-01D-2023-01	22	22731529	41227226	12771	0.0052
TCGA-EZ-7264-10A-01D-2023-01	22	41229384	41280435	24	0.652
TCGA-EZ-7264-10A-01D-2023-01	22	41285375	41307134	11	-0.6809
TCGA-EZ-7264-10A-01D-2023-01	22	41309995	48213536	5410	-0.0021
TCGA-EZ-7264-10A-01D-2023-01	22	48213664	48213759	2	-1.8117
TCGA-EZ-7264-10A-01D-2023-01	22	48215048	49581321	672	0.0082
TCGA-EZ-7264-10A-01D-2023-01	3	35345	199602	157	-0.0093
TCGA-EZ-7264-10A-01D-2023-01	3	205022	207800	4	-3.8761
TCGA-EZ-7264-10A-01D-2023-01	3	209877	25713237	19306	0.0051
TCGA-EZ-7264-10A-01D-2023-01	3	25719472	25720364	2	-2.1772
TCGA-EZ-7264-10A-01D-2023-01	3	25721029	46768381	13751	0.004
TCGA-EZ-7264-10A-01D-2023-01	3	46776821	46824593	40	-0.8378
TCGA-EZ-7264-10A-01D-2023-01	3	46834483	53003415	2496	-0.0028
TCGA-EZ-7264-10A-01D-2023-01	3	53006776	53013984	34	-0.7606
TCGA-EZ-7264-10A-01D-2023-01	3	53014140	65163493	9553	-0.003
TCGA-EZ-7264-10A-01D-2023-01	3	65164275	65174608	30	-0.7804
TCGA-EZ-7264-10A-01D-2023-01	3	65174742	65178752	12	-0.0465
TCGA-EZ-7264-10A-01D-2023-01	3	65181944	65185355	10	-0.7018
TCGA-EZ-7264-10A-01D-2023-01	3	65185492	75503860	7301	7e-04
TCGA-EZ-7264-10A-01D-2023-01	3	75509797	75721431	74	-0.6844
TCGA-EZ-7264-10A-01D-2023-01	3	75722197	112726200	18395	0.0061
TCGA-EZ-7264-10A-01D-2023-01	3	112729095	112729272	2	-3.0147
TCGA-EZ-7264-10A-01D-2023-01	3	112732005	126926298	8898	0.0011
TCGA-EZ-7264-10A-01D-2023-01	3	126929354	126941452	9	0.9461
TCGA-EZ-7264-10A-01D-2023-01	3	126945019	129881911	1838	0.0075
TCGA-EZ-7264-10A-01D-2023-01	3	129887861	129895021	7	0.8922
TCGA-EZ-7264-10A-01D-2023-01	3	129896851	131245549	625	0.0032
TCGA-EZ-7264-10A-01D-2023-01	3	131246388	131291245	56	0.3868
TCGA-EZ-7264-10A-01D-2023-01	3	131291501	138510646	4483	-0.0012
TCGA-EZ-7264-10A-01D-2023-01	3	138510648	138510652	3	1.1314
TCGA-EZ-7264-10A-01D-2023-01	3	138510653	142025229	2243	0.0012
TCGA-EZ-7264-10A-01D-2023-01	3	142028391	142029674	2	-3.657
TCGA-EZ-7264-10A-01D-2023-01	3	142043308	163990962	13538	0.0088
TCGA-EZ-7264-10A-01D-2023-01	3	163995351	164108689	70	-1.8432
TCGA-EZ-7264-10A-01D-2023-01	3	164109266	199380515	21897	0.0076
TCGA-EZ-7264-10A-01D-2023-01	4	2281	9819240	5796	0.0069
TCGA-EZ-7264-10A-01D-2023-01	4	9819292	9845240	40	0.4311
TCGA-EZ-7264-10A-01D-2023-01	4	9847534	38670572	19994	0.0034
TCGA-EZ-7264-10A-01D-2023-01	4	38670582	38681195	3	-1.8509
TCGA-EZ-7264-10A-01D-2023-01	4	38681996	40395330	893	0.0075
TCGA-EZ-7264-10A-01D-2023-01	4	40398768	40398949	3	-1.6573
TCGA-EZ-7264-10A-01D-2023-01	4	40399444	173224503	78531	0.0034
TCGA-EZ-7264-10A-01D-2023-01	4	173225723	173226108	12	-1.7078
TCGA-EZ-7264-10A-01D-2023-01	4	173232554	190426037	11721	0.0019
TCGA-EZ-7264-10A-01D-2023-01	4	190432112	190436258	4	-2.781
TCGA-EZ-7264-10A-01D-2023-01	4	190436765	191261904	386	0.0196
TCGA-EZ-7264-10A-01D-2023-01	5	68532	738748	307	0.0046
TCGA-EZ-7264-10A-01D-2023-01	5	751371	826190	27	1.015
TCGA-EZ-7264-10A-01D-2023-01	5	826547	862806	16	0.4686
TCGA-EZ-7264-10A-01D-2023-01	5	870850	12868780	9862	-9e-04
TCGA-EZ-7264-10A-01D-2023-01	5	12868865	12891533	13	0.6077
TCGA-EZ-7264-10A-01D-2023-01	5	12902201	21412601	5490	0.0058
TCGA-EZ-7264-10A-01D-2023-01	5	21413596	21413610	2	1.986
TCGA-EZ-7264-10A-01D-2023-01	5	21421823	21485033	45	0.01
TCGA-EZ-7264-10A-01D-2023-01	5	21486957	21488195	5	1.2421
TCGA-EZ-7264-10A-01D-2023-01	5	21488253	57365678	20114	0.0076
TCGA-EZ-7264-10A-01D-2023-01	5	57365890	57368673	17	-0.6833
TCGA-EZ-7264-10A-01D-2023-01	5	57368712	103879120	26854	-0.0041
TCGA-EZ-7264-10A-01D-2023-01	5	103888272	103888503	4	1.5911
TCGA-EZ-7264-10A-01D-2023-01	5	103888948	180311494	50093	0.0032
TCGA-EZ-7264-10A-01D-2023-01	5	180312809	180347071	12	0.8407
TCGA-EZ-7264-10A-01D-2023-01	5	180349813	180722926	176	-0.0428
TCGA-EZ-7264-10A-01D-2023-01	6	94661	239837	124	0.003
TCGA-EZ-7264-10A-01D-2023-01	6	247306	327559	79	0.5222
TCGA-EZ-7264-10A-01D-2023-01	6	327897	29945051	21531	7e-04
TCGA-EZ-7264-10A-01D-2023-01	6	29945166	29982787	24	0.8093
TCGA-EZ-7264-10A-01D-2023-01	6	29984938	31394255	662	-0.0061
TCGA-EZ-7264-10A-01D-2023-01	6	31394284	31404430	10	1.158
TCGA-EZ-7264-10A-01D-2023-01	6	31417903	32497283	463	-0.0014
TCGA-EZ-7264-10A-01D-2023-01	6	32497490	32499966	3	-1.7591
TCGA-EZ-7264-10A-01D-2023-01	6	32504484	32539270	36	0.0567
TCGA-EZ-7264-10A-01D-2023-01	6	32539530	32681749	39	1.2748
TCGA-EZ-7264-10A-01D-2023-01	6	32681992	77493251	26048	0.0045
TCGA-EZ-7264-10A-01D-2023-01	6	77496587	77509392	19	0.7727
TCGA-EZ-7264-10A-01D-2023-01	6	77509408	79019608	979	0.0113
TCGA-EZ-7264-10A-01D-2023-01	6	79025784	79091904	111	0.7401
TCGA-EZ-7264-10A-01D-2023-01	6	79095953	103841522	15486	0.0048
TCGA-EZ-7264-10A-01D-2023-01	6	103844669	103872404	48	0.5771
TCGA-EZ-7264-10A-01D-2023-01	6	103872423	127228247	14360	-0.0025
