barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FN-7833-10A-01D-2085-01	1	51598	23010348	12771	0.0076
TCGA-FN-7833-10A-01D-2085-01	1	23014938	23015303	3	-1.5153
TCGA-FN-7833-10A-01D-2085-01	1	23016365	25475454	1401	0.0035
TCGA-FN-7833-10A-01D-2085-01	1	25475518	25519573	19	-0.4985
TCGA-FN-7833-10A-01D-2085-01	1	25534088	30514083	2408	0.0067
TCGA-FN-7833-10A-01D-2085-01	1	30514243	30517797	3	1.1544
TCGA-FN-7833-10A-01D-2085-01	1	30520163	34428971	2221	-0.0022
TCGA-FN-7833-10A-01D-2085-01	1	34429399	34436399	4	-1.7382
TCGA-FN-7833-10A-01D-2085-01	1	34437357	46282940	6695	-2e-04
TCGA-FN-7833-10A-01D-2085-01	1	46284862	46286413	2	1.7335
TCGA-FN-7833-10A-01D-2085-01	1	46292140	72541504	17449	0.003
TCGA-FN-7833-10A-01D-2085-01	1	72541524	72583736	45	-0.6067
TCGA-FN-7833-10A-01D-2085-01	1	72584492	81661044	5791	0.0041
TCGA-FN-7833-10A-01D-2085-01	1	81661190	81661193	2	2.0022
TCGA-FN-7833-10A-01D-2085-01	1	81661255	83613577	1331	0.0032
TCGA-FN-7833-10A-01D-2085-01	1	83622946	83622978	2	1.4827
TCGA-FN-7833-10A-01D-2085-01	1	83626239	103959832	12976	0.0063
TCGA-FN-7833-10A-01D-2085-01	1	103960870	104105162	32	0.3587
TCGA-FN-7833-10A-01D-2085-01	1	104108766	108711540	2949	-0.0082
TCGA-FN-7833-10A-01D-2085-01	1	108712268	108787720	12	-0.7276
TCGA-FN-7833-10A-01D-2085-01	1	108815431	110029038	641	0.0103
TCGA-FN-7833-10A-01D-2085-01	1	110034497	110041678	16	-0.7355
TCGA-FN-7833-10A-01D-2085-01	1	110041701	111177743	842	0.0087
TCGA-FN-7833-10A-01D-2085-01	1	111178891	111189749	39	-0.7896
TCGA-FN-7833-10A-01D-2085-01	1	111193590	194976383	38943	0.0034
TCGA-FN-7833-10A-01D-2085-01	1	194977690	195068278	91	0.3995
TCGA-FN-7833-10A-01D-2085-01	1	195068407	208137685	8832	0.0043
TCGA-FN-7833-10A-01D-2085-01	1	208148236	208148688	2	-1.9491
TCGA-FN-7833-10A-01D-2085-01	1	208150607	247191011	27144	0.0037
TCGA-FN-7833-10A-01D-2085-01	10	62759	17967560	14890	0.0053
TCGA-FN-7833-10A-01D-2085-01	10	17978214	17989863	2	-2.2669
TCGA-FN-7833-10A-01D-2085-01	10	18011822	47241036	17070	0.0021
TCGA-FN-7833-10A-01D-2085-01	10	47417400	47468066	4	-2.0039
TCGA-FN-7833-10A-01D-2085-01	10	47480482	57257935	6036	0.0149
TCGA-FN-7833-10A-01D-2085-01	10	57258298	57260774	2	1.8192
TCGA-FN-7833-10A-01D-2085-01	10	57263103	89028321	21269	0.0057
TCGA-FN-7833-10A-01D-2085-01	10	89036478	89059776	2	1.9466
TCGA-FN-7833-10A-01D-2085-01	10	89060725	90928421	1386	0.005
TCGA-FN-7833-10A-01D-2085-01	10	90928653	90938070	13	-0.7879
TCGA-FN-7833-10A-01D-2085-01	10	90940074	135356694	30446	0.0042
TCGA-FN-7833-10A-01D-2085-01	11	188510	4926819	2482	0.0047
TCGA-FN-7833-10A-01D-2085-01	11	4926853	4932281	26	-1.5244
TCGA-FN-7833-10A-01D-2085-01	11	4932833	5743981	799	0.0175
