barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DB-5276-01A-01D-1466-01	1	61735	25582843	14162	0.0073
TCGA-DB-5276-01A-01D-1466-01	1	25583291	25646986	30	0.6102
TCGA-DB-5276-01A-01D-1466-01	1	25661501	35102654	4974	0.005
TCGA-DB-5276-01A-01D-1466-01	1	35102670	35104491	19	-0.5619
TCGA-DB-5276-01A-01D-1466-01	1	35114268	72768916	23875	0.01
TCGA-DB-5276-01A-01D-1466-01	1	72768936	72811148	45	-1.1085
TCGA-DB-5276-01A-01D-1466-01	1	72811904	76050174	1930	0.0116
TCGA-DB-5276-01A-01D-1466-01	1	76050815	76054854	4	0.9626
TCGA-DB-5276-01A-01D-1466-01	1	76059509	89475255	9052	0.0114
TCGA-DB-5276-01A-01D-1466-01	1	89477958	89478205	2	-1.9173
TCGA-DB-5276-01A-01D-1466-01	1	89481524	108729759	12016	0.0081
TCGA-DB-5276-01A-01D-1466-01	1	108734235	108734877	2	-3.58
TCGA-DB-5276-01A-01D-1466-01	1	108737496	110232974	727	0.0204
TCGA-DB-5276-01A-01D-1466-01	1	110233037	110240155	15	0.517
TCGA-DB-5276-01A-01D-1466-01	1	110240178	112690326	1959	0.0179
TCGA-DB-5276-01A-01D-1466-01	1	112695965	112697241	23	-1.4924
TCGA-DB-5276-01A-01D-1466-01	1	112697376	149024808	6382	0.0177
TCGA-DB-5276-01A-01D-1466-01	1	149036524	149436842	164	-0.4715
TCGA-DB-5276-01A-01D-1466-01	1	149521840	152555706	1499	0.0382
TCGA-DB-5276-01A-01D-1466-01	1	152555767	152586238	30	2.3684
TCGA-DB-5276-01A-01D-1466-01	1	152586278	152586594	4	1.0613
TCGA-DB-5276-01A-01D-1466-01	1	152590494	196698314	29757	0.0145
TCGA-DB-5276-01A-01D-1466-01	1	196704997	196823317	114	0.2824
TCGA-DB-5276-01A-01D-1466-01	1	196823613	243044281	32095	0.015
TCGA-DB-5276-01A-01D-1466-01	1	243044307	243140237	83	0.2558
TCGA-DB-5276-01A-01D-1466-01	1	243142309	249224388	3773	0.0125
TCGA-DB-5276-01A-01D-1466-01	10	72759	46674180	31597	0.0281
TCGA-DB-5276-01A-01D-1466-01	10	46691159	47541189	178	0.4345
TCGA-DB-5276-01A-01D-1466-01	10	47542094	47704605	183	0.8019
TCGA-DB-5276-01A-01D-1466-01	10	47704621	57180153	5730	0.0111
TCGA-DB-5276-01A-01D-1466-01	10	57180241	57180317	3	-1.4082
TCGA-DB-5276-01A-01D-1466-01	10	57180321	67307951	7081	0.0188
TCGA-DB-5276-01A-01D-1466-01	10	67308017	67314446	25	-0.3647
TCGA-DB-5276-01A-01D-1466-01	10	67322795	84406448	11254	0.0128
TCGA-DB-5276-01A-01D-1466-01	10	84410729	84412580	6	1.434
TCGA-DB-5276-01A-01D-1466-01	10	84413020	84431317	31	0.7844
TCGA-DB-5276-01A-01D-1466-01	10	84431840	89029243	3184	-0.0014
TCGA-DB-5276-01A-01D-1466-01	10	89029243	89038341	2	1.8692
TCGA-DB-5276-01A-01D-1466-01	10	89046064	90938673	1389	-0.0057
TCGA-DB-5276-01A-01D-1466-01	10	90942967	90947909	9	-0.6506
TCGA-DB-5276-01A-01D-1466-01	10	90947968	135506704	30457	9e-04
TCGA-DB-5276-01A-01D-1466-01	11	198510	5520975	3060	0.0143
TCGA-DB-5276-01A-01D-1466-01	11	5522151	5523593	7	-0.5893
TCGA-DB-5276-01A-01D-1466-01	11	5524464	5782925	231	0.0336
TCGA-DB-5276-01A-01D-1466-01	11	5782959	5808340	37	0.3426
TCGA-DB-5276-01A-01D-1466-01	11	5808376	24282528	13762	0.0213
TCGA-DB-5276-01A-01D-1466-01	11	24286221	24286512	3	-1.1537
TCGA-DB-5276-01A-01D-1466-01	11	24287499	50208621	17051	0.0229
TCGA-DB-5276-01A-01D-1466-01	11	50212185	50217063	3	0.9957
TCGA-DB-5276-01A-01D-1466-01	11	50217934	51096372	132	0.0494
TCGA-DB-5276-01A-01D-1466-01	11	51126742	51183906	9	-1.0882
TCGA-DB-5276-01A-01D-1466-01	11	51192870	51564427	137	0.0703
TCGA-DB-5276-01A-01D-1466-01	11	54701645	54835386	10	0.5887
TCGA-DB-5276-01A-01D-1466-01	11	54835623	55363340	230	0.0415
TCGA-DB-5276-01A-01D-1466-01	11	55374032	55453009	59	0.5254
TCGA-DB-5276-01A-01D-1466-01	11	55453576	134609393	52164	0.0206
TCGA-DB-5276-01A-01D-1466-01	11	134609557	134609566	2	-2.1496
TCGA-DB-5276-01A-01D-1466-01	11	134609942	134944770	277	0.0365
TCGA-DB-5276-01A-01D-1466-01	12	150442	9630556	6206	0.0172
TCGA-DB-5276-01A-01D-1466-01	12	9633870	9728292	25	0.9539
TCGA-DB-5276-01A-01D-1466-01	12	9734969	11215372	1042	0.0332
TCGA-DB-5276-01A-01D-1466-01	12	11216849	11241532	14	-0.946
