barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DU-7015-10B-01D-2023-01	1	3218610	247813706	129139	2e-04
TCGA-DU-7015-10B-01D-2023-01	10	415240	135225087	80854	1e-04
TCGA-DU-7015-10B-01D-2023-01	11	456120	134142530	77242	-7e-04
TCGA-DU-7015-10B-01D-2023-01	12	889902	133161346	73939	5e-04
TCGA-DU-7015-10B-01D-2023-01	13	19450806	114987458	56650	0.0024
TCGA-DU-7015-10B-01D-2023-01	14	20501368	64390030	24103	0.0021
TCGA-DU-7015-10B-01D-2023-01	14	64392973	64395296	2	-1.5254
TCGA-DU-7015-10B-01D-2023-01	14	64396206	105988038	25335	8e-04
TCGA-DU-7015-10B-01D-2023-01	15	23687685	101884307	44533	-2e-04
TCGA-DU-7015-10B-01D-2023-01	16	653459	89379936	40789	0.0023
TCGA-DU-7015-10B-01D-2023-01	17	987221	80917016	36988	0.0029
TCGA-DU-7015-10B-01D-2023-01	18	329586	77109240	42666	-0.004
TCGA-DU-7015-10B-01D-2023-01	19	284018	55142930	22109	0.0058
TCGA-DU-7015-10B-01D-2023-01	19	55151396	55151686	2	0.6897
TCGA-DU-7015-10B-01D-2023-01	19	55152158	55166829	16	0.3284
TCGA-DU-7015-10B-01D-2023-01	19	55171082	55176291	12	0.6421
TCGA-DU-7015-10B-01D-2023-01	19	55181926	58878226	1805	0.003
TCGA-DU-7015-10B-01D-2023-01	2	484222	242476062	131289	0
TCGA-DU-7015-10B-01D-2023-01	20	455764	62219837	37282	0.0034
TCGA-DU-7015-10B-01D-2023-01	21	15347621	47678774	20588	0.001
TCGA-DU-7015-10B-01D-2023-01	22	17423930	49331012	16926	0.003
TCGA-DU-7015-10B-01D-2023-01	3	2212571	40367654	22845	0.0011
TCGA-DU-7015-10B-01D-2023-01	3	40369023	40372278	2	-1.4932
TCGA-DU-7015-10B-01D-2023-01	3	40374551	98407304	30447	0.0022
TCGA-DU-7015-10B-01D-2023-01	3	98407314	98407386	2	-1.6044
TCGA-DU-7015-10B-01D-2023-01	3	98407400	168677468	38160	-5e-04
TCGA-DU-7015-10B-01D-2023-01	3	168686557	168686648	2	-1.4187
TCGA-DU-7015-10B-01D-2023-01	3	168686676	192346557	12950	0.0025
TCGA-DU-7015-10B-01D-2023-01	3	192347552	192347697	2	-1.4981
TCGA-DU-7015-10B-01D-2023-01	3	192349620	197538677	1953	0.0015
TCGA-DU-7015-10B-01D-2023-01	4	1053934	170577248	93580	0.0019
TCGA-DU-7015-10B-01D-2023-01	4	170577416	170577907	2	-1.6823
TCGA-DU-7015-10B-01D-2023-01	4	170578528	188763651	9164	0.0071
TCGA-DU-7015-10B-01D-2023-01	5	914233	2336685	457	-4e-04
TCGA-DU-7015-10B-01D-2023-01	5	2337193	2337312	2	-1.3792
TCGA-DU-7015-10B-01D-2023-01	5	2339043	180360469	100034	7e-04
TCGA-DU-7015-10B-01D-2023-01	6	1014281	170903919	96484	-7e-04
TCGA-DU-7015-10B-01D-2023-01	7	705284	158385118	81322	0.0033
TCGA-DU-7015-10B-01D-2023-01	8	617667	145232496	81533	0.0024
TCGA-DU-7015-10B-01D-2023-01	9	789932	13482265	6783	-0.004
TCGA-DU-7015-10B-01D-2023-01	9	13486364	13506810	22	0.4525
TCGA-DU-7015-10B-01D-2023-01	9	13507437	140938752	61218	0.0018
TCGA-DU-7015-10B-01D-2023-01	X	3157107	154905589	63791	0.0016
