barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HW-7489-01A-11D-2023-01	1	3218610	247813706	129035	0.0182
TCGA-HW-7489-01A-11D-2023-01	10	415240	6398979	3907	0.1424
TCGA-HW-7489-01A-11D-2023-01	10	6398980	6398984	3	1.1607
TCGA-HW-7489-01A-11D-2023-01	10	6404210	87704350	47311	0.0627
TCGA-HW-7489-01A-11D-2023-01	10	87704611	87711293	2	-1.395
TCGA-HW-7489-01A-11D-2023-01	10	87711380	135225087	29580	-0.0136
TCGA-HW-7489-01A-11D-2023-01	11	456120	114658208	63681	0.034
TCGA-HW-7489-01A-11D-2023-01	11	114658457	114658636	2	-1.2785
TCGA-HW-7489-01A-11D-2023-01	11	114660624	134142530	13519	0.0828
TCGA-HW-7489-01A-11D-2023-01	12	889902	133161346	73890	0.031
TCGA-HW-7489-01A-11D-2023-01	13	19450806	69132460	27880	-0.0645
TCGA-HW-7489-01A-11D-2023-01	13	69139418	69139870	7	-0.9284
TCGA-HW-7489-01A-11D-2023-01	13	69142208	114987458	28712	-0.0831
TCGA-HW-7489-01A-11D-2023-01	14	20501368	46590910	13198	0.0258
TCGA-HW-7489-01A-11D-2023-01	14	46592058	46592177	2	-1.3665
TCGA-HW-7489-01A-11D-2023-01	14	46592900	47197942	290	0.0585
TCGA-HW-7489-01A-11D-2023-01	14	47199330	47201036	3	-1.1903
TCGA-HW-7489-01A-11D-2023-01	14	47204270	48732885	894	0.0286
TCGA-HW-7489-01A-11D-2023-01	14	48867571	48889696	13	0.5535
TCGA-HW-7489-01A-11D-2023-01	14	48890184	105988038	35002	-0.0999
TCGA-HW-7489-01A-11D-2023-01	15	23687685	36506967	5679	0.0205
TCGA-HW-7489-01A-11D-2023-01	15	36510176	39061756	1732	-0.2465
TCGA-HW-7489-01A-11D-2023-01	15	39062007	40649929	1051	0.024
TCGA-HW-7489-01A-11D-2023-01	15	40651838	61357866	12301	-0.2363
TCGA-HW-7489-01A-11D-2023-01	15	61358132	95536089	19807	0.0155
TCGA-HW-7489-01A-11D-2023-01	15	95539098	95541618	3	-1.036
TCGA-HW-7489-01A-11D-2023-01	15	95542855	101884307	3913	0.0104
TCGA-HW-7489-01A-11D-2023-01	16	653459	89379936	40760	-3e-04
TCGA-HW-7489-01A-11D-2023-01	17	987221	80917016	36969	0.0302
TCGA-HW-7489-01A-11D-2023-01	18	329586	4420821	2009	-0.1032
TCGA-HW-7489-01A-11D-2023-01	18	4422840	67486690	36085	0.1376
TCGA-HW-7489-01A-11D-2023-01	18	67486837	77109240	4547	-0.145
TCGA-HW-7489-01A-11D-2023-01	19	284018	58878226	23931	-0.0218
TCGA-HW-7489-01A-11D-2023-01	2	484222	159785940	83698	0.0099
TCGA-HW-7489-01A-11D-2023-01	2	159787453	159787793	2	-1.7462
TCGA-HW-7489-01A-11D-2023-01	2	159787854	170411485	6274	-0.0073
TCGA-HW-7489-01A-11D-2023-01	2	170415441	170456217	19	0.4856
TCGA-HW-7489-01A-11D-2023-01	2	170456945	242476062	41218	-0.0148
TCGA-HW-7489-01A-11D-2023-01	20	455764	62219837	37253	0.0172
TCGA-HW-7489-01A-11D-2023-01	21	15347621	47678774	20573	0.019
TCGA-HW-7489-01A-11D-2023-01	22	17423930	49331012	16915	0.0118
TCGA-HW-7489-01A-11D-2023-01	3	2212571	90317076	50851	0.0242
TCGA-HW-7489-01A-11D-2023-01	3	90336490	94033936	157	-0.256
TCGA-HW-7489-01A-11D-2023-01	3	94035308	94737484	312	0.0281
TCGA-HW-7489-01A-11D-2023-01	3	94743652	95105374	237	-0.2077
TCGA-HW-7489-01A-11D-2023-01	3	95111640	95662559	290	0.0403
TCGA-HW-7489-01A-11D-2023-01	3	95666592	95826153	68	-0.2227
TCGA-HW-7489-01A-11D-2023-01	3	95829626	96261564	220	0.0548
TCGA-HW-7489-01A-11D-2023-01	3	96262923	97047583	378	-0.2244
TCGA-HW-7489-01A-11D-2023-01	3	97051686	98397508	742	0.0087
TCGA-HW-7489-01A-11D-2023-01	3	98407304	98407400	4	0.8059
TCGA-HW-7489-01A-11D-2023-01	3	98416974	101464498	1562	0.0036
TCGA-HW-7489-01A-11D-2023-01	3	101467790	101881176	246	-0.2408
TCGA-HW-7489-01A-11D-2023-01	3	101881773	109353052	4115	0.0189
TCGA-HW-7489-01A-11D-2023-01	3	109355143	109653606	154	-0.2612
TCGA-HW-7489-01A-11D-2023-01	3	109656480	110109973	272	0.0102
TCGA-HW-7489-01A-11D-2023-01	3	110112793	114272035	2438	-0.25
TCGA-HW-7489-01A-11D-2023-01	3	114274353	114538213	164	0.0071
TCGA-HW-7489-01A-11D-2023-01	3	114539805	119309260	3089	-0.2514
TCGA-HW-7489-01A-11D-2023-01	3	119309864	120287683	588	0.0145
TCGA-HW-7489-01A-11D-2023-01	3	120291017	120580206	110	-0.2578
TCGA-HW-7489-01A-11D-2023-01	3	120580331	186124330	34246	0.0125
TCGA-HW-7489-01A-11D-2023-01	3	186126449	186129391	3	-1.0169
TCGA-HW-7489-01A-11D-2023-01	3	186134181	197538677	6046	0.0097
TCGA-HW-7489-01A-11D-2023-01	4	1053934	1058737	7	-0.2393
TCGA-HW-7489-01A-11D-2023-01	4	1058798	123164569	67809	0.0217
TCGA-HW-7489-01A-11D-2023-01	4	123175248	123175252	2	-1.3154
TCGA-HW-7489-01A-11D-2023-01	4	123183205	140821595	9127	0.0117
TCGA-HW-7489-01A-11D-2023-01	4	140823070	188763651	25721	-0.2451
TCGA-HW-7489-01A-11D-2023-01	5	914233	4876172	2549	-0.0358
TCGA-HW-7489-01A-11D-2023-01	5	4877355	4887611	18	0.4653
TCGA-HW-7489-01A-11D-2023-01	5	4888934	93201101	47026	0.0123
TCGA-HW-7489-01A-11D-2023-01	5	93204095	95852431	1469	-0.2403
TCGA-HW-7489-01A-11D-2023-01	5	95852769	98483320	1407	0.0228
TCGA-HW-7489-01A-11D-2023-01	5	99563090	163239455	37713	-0.2373
TCGA-HW-7489-01A-11D-2023-01	5	163240535	166481275	2018	0.0275
TCGA-HW-7489-01A-11D-2023-01	5	166482096	171750219	3570	-0.2453
TCGA-HW-7489-01A-11D-2023-01	5	171753186	172926863	718	0.0245
TCGA-HW-7489-01A-11D-2023-01	5	172928450	175170860	1760	-0.2459
TCGA-HW-7489-01A-11D-2023-01	5	175172120	180360469	2134	0.024
TCGA-HW-7489-01A-11D-2023-01	6	1014281	50116702	29458	0.0123
TCGA-HW-7489-01A-11D-2023-01	6	50116960	50117072	2	-1.507
TCGA-HW-7489-01A-11D-2023-01	6	50121584	170903919	66961	0.0277
TCGA-HW-7489-01A-11D-2023-01	7	705284	158385118	81278	0.0274
TCGA-HW-7489-01A-11D-2023-01	8	617667	145232496	81482	0.0539
TCGA-HW-7489-01A-11D-2023-01	9	789932	140938752	67978	-0.0078
TCGA-HW-7489-01A-11D-2023-01	X	3157107	152882816	63245	0.0013
TCGA-HW-7489-01A-11D-2023-01	X	152883727	152889190	4	1.9707
TCGA-HW-7489-01A-11D-2023-01	X	152893642	154905589	306	-0.0132
