barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DH-5141-10A-01D-1466-01	1	3218610	23312025	11009	-0.005
TCGA-DH-5141-10A-01D-1466-01	1	23312116	23316580	2	2.4161
TCGA-DH-5141-10A-01D-1466-01	1	23317501	113386071	52355	-0.0021
TCGA-DH-5141-10A-01D-1466-01	1	113389363	113401388	3	2.0331
TCGA-DH-5141-10A-01D-1466-01	1	113402052	247813706	65676	-0.0055
TCGA-DH-5141-10A-01D-1466-01	10	415240	135225087	80832	-0.0018
TCGA-DH-5141-10A-01D-1466-01	11	456120	134142530	77200	-0.0038
TCGA-DH-5141-10A-01D-1466-01	12	889902	133161346	73881	-0.0067
TCGA-DH-5141-10A-01D-1466-01	13	19450806	114987458	56617	0.0042
TCGA-DH-5141-10A-01D-1466-01	14	20501368	105988038	49413	-0.0042
TCGA-DH-5141-10A-01D-1466-01	15	23687685	36331911	5543	5e-04
TCGA-DH-5141-10A-01D-1466-01	15	36335460	36336039	2	2.3864
TCGA-DH-5141-10A-01D-1466-01	15	36336078	101884307	38950	-0.0022
TCGA-DH-5141-10A-01D-1466-01	16	653459	89379936	40772	0.0045
TCGA-DH-5141-10A-01D-1466-01	17	987221	80917016	36966	-0.0074
TCGA-DH-5141-10A-01D-1466-01	18	329586	2536177	829	0.0097
TCGA-DH-5141-10A-01D-1466-01	18	2544662	2544702	2	2.3064
TCGA-DH-5141-10A-01D-1466-01	18	2546249	13564386	6996	-0.0094
TCGA-DH-5141-10A-01D-1466-01	18	13565098	13567391	2	-3.9417
TCGA-DH-5141-10A-01D-1466-01	18	13567481	28789015	6406	7e-04
TCGA-DH-5141-10A-01D-1466-01	18	28792828	28795096	3	2.7589
TCGA-DH-5141-10A-01D-1466-01	18	28795283	77109240	28405	-0.0024
TCGA-DH-5141-10A-01D-1466-01	19	284018	58878226	23935	-0.0068
TCGA-DH-5141-10A-01D-1466-01	2	484222	59311411	34394	8e-04
TCGA-DH-5141-10A-01D-1466-01	2	59312069	59314120	2	3.627
TCGA-DH-5141-10A-01D-1466-01	2	59320028	242476062	96842	-0.0025
TCGA-DH-5141-10A-01D-1466-01	20	455764	62219837	37270	-0.0045
TCGA-DH-5141-10A-01D-1466-01	21	15347621	47678774	20573	-0.0019
TCGA-DH-5141-10A-01D-1466-01	22	17423930	49331012	16917	-0.0078
TCGA-DH-5141-10A-01D-1466-01	3	2212571	197538677	106329	-0.0034
TCGA-DH-5141-10A-01D-1466-01	4	1053934	188763651	102690	-0.0015
TCGA-DH-5141-10A-01D-1466-01	5	914233	5411529	3076	-0.0047
TCGA-DH-5141-10A-01D-1466-01	5	5414800	5414835	2	-2.5253
TCGA-DH-5141-10A-01D-1466-01	5	5418022	152076405	80060	-0.0014
TCGA-DH-5141-10A-01D-1466-01	5	152080874	152084320	8	-1.3319
TCGA-DH-5141-10A-01D-1466-01	5	152085574	180360469	17319	0.0016
TCGA-DH-5141-10A-01D-1466-01	6	1014281	170903919	96423	-0.0048
TCGA-DH-5141-10A-01D-1466-01	7	705284	106880965	54197	0.0014
TCGA-DH-5141-10A-01D-1466-01	7	106886931	106887555	2	2.5638
TCGA-DH-5141-10A-01D-1466-01	7	106888541	158385118	27092	0.0034
TCGA-DH-5141-10A-01D-1466-01	8	617667	90333705	48827	-0.0059
TCGA-DH-5141-10A-01D-1466-01	8	90333735	90333857	2	2.4618
TCGA-DH-5141-10A-01D-1466-01	8	90333934	145232496	32678	-0.0112
TCGA-DH-5141-10A-01D-1466-01	9	789932	140938752	67988	3e-04
TCGA-DH-5141-10A-01D-1466-01	X	3157107	132364240	53700	0.0181
TCGA-DH-5141-10A-01D-1466-01	X	132367267	132369931	2	-4.7493
TCGA-DH-5141-10A-01D-1466-01	X	132370598	154905589	9845	0.0019
