barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FG-8186-10A-01D-2252-01	1	61735	235938	27	-0.1329
TCGA-FG-8186-10A-01D-2252-01	1	356443	356542	2	2.2745
TCGA-FG-8186-10A-01D-2252-01	1	404171	16149343	8388	0.0055
TCGA-FG-8186-10A-01D-2252-01	1	16149915	16153497	2	-1.2583
TCGA-FG-8186-10A-01D-2252-01	1	16153536	17016880	372	0.0072
TCGA-FG-8186-10A-01D-2252-01	1	17017078	17257943	87	-0.4604
TCGA-FG-8186-10A-01D-2252-01	1	17258139	35091674	10288	0
TCGA-FG-8186-10A-01D-2252-01	1	35102654	35104491	20	-0.6226
TCGA-FG-8186-10A-01D-2252-01	1	35114268	59075804	14343	7e-04
TCGA-FG-8186-10A-01D-2252-01	1	59078037	59079359	4	-1.3414
TCGA-FG-8186-10A-01D-2252-01	1	59084209	72750353	9520	0.0015
TCGA-FG-8186-10A-01D-2252-01	1	72756113	72763370	9	-1.1496
TCGA-FG-8186-10A-01D-2252-01	1	72768418	104159384	20142	7e-04
TCGA-FG-8186-10A-01D-2252-01	1	104163499	104268222	27	0.6386
TCGA-FG-8186-10A-01D-2252-01	1	104303403	106019205	921	0.0016
TCGA-FG-8186-10A-01D-2252-01	1	106019236	106022375	16	0.9496
TCGA-FG-8186-10A-01D-2252-01	1	106024055	108729759	1942	2e-04
TCGA-FG-8186-10A-01D-2252-01	1	108734235	108734877	2	-1.2653
TCGA-FG-8186-10A-01D-2252-01	1	108737496	110227515	725	0.0127
TCGA-FG-8186-10A-01D-2252-01	1	110232974	110240178	17	-1.1928
TCGA-FG-8186-10A-01D-2252-01	1	110242953	146993375	7984	0.0097
TCGA-FG-8186-10A-01D-2252-01	1	146997769	147008800	7	-0.6356
TCGA-FG-8186-10A-01D-2252-01	1	147010340	152759678	2239	0.0297
TCGA-FG-8186-10A-01D-2252-01	1	152761923	152768359	35	-1.7686
TCGA-FG-8186-10A-01D-2252-01	1	152768570	240391740	59694	0.0023
TCGA-FG-8186-10A-01D-2252-01	1	240394015	240394139	6	-2.1455
TCGA-FG-8186-10A-01D-2252-01	1	240396105	249224388	5932	0.0027
TCGA-FG-8186-10A-01D-2252-01	10	72759	18083562	14899	-2e-04
TCGA-FG-8186-10A-01D-2252-01	10	18106443	18199813	10	-1.0367
TCGA-FG-8186-10A-01D-2252-01	10	18223647	24375263	4344	0.0022
TCGA-FG-8186-10A-01D-2252-01	10	24377674	24378054	11	-2.064
TCGA-FG-8186-10A-01D-2252-01	10	24378908	27223903	1994	0.0013
TCGA-FG-8186-10A-01D-2252-01	10	27225904	27230675	15	0.4217
TCGA-FG-8186-10A-01D-2252-01	10	27230737	31246510	3040	-0.0011
TCGA-FG-8186-10A-01D-2252-01	10	31251334	31251779	11	-0.813
TCGA-FG-8186-10A-01D-2252-01	10	31251822	46674180	7273	4e-04
TCGA-FG-8186-10A-01D-2252-01	10	46691159	47249587	169	-0.3613
TCGA-FG-8186-10A-01D-2252-01	10	47264864	47897394	201	0.0427
TCGA-FG-8186-10A-01D-2252-01	10	47912899	47948060	3	-1.7834
TCGA-FG-8186-10A-01D-2252-01	10	47960476	48730698	288	-0.01
TCGA-FG-8186-10A-01D-2252-01	10	48736766	49363009	33	-0.6983
TCGA-FG-8186-10A-01D-2252-01	10	49381611	61364115	8438	-0.0018
TCGA-FG-8186-10A-01D-2252-01	10	61364130	61365482	8	-0.7788
TCGA-FG-8186-10A-01D-2252-01	10	61365803	66935389	3758	0.0023
TCGA-FG-8186-10A-01D-2252-01	10	66935532	66935533	2	-1.1396
TCGA-FG-8186-10A-01D-2252-01	10	66935939	67306276	267	-0.0225
TCGA-FG-8186-10A-01D-2252-01	10	67307923	67314446	28	-0.3756
TCGA-FG-8186-10A-01D-2252-01	10	67322795	135506704	46336	0.0016
TCGA-FG-8186-10A-01D-2252-01	11	198510	5783923	3304	0.0052
TCGA-FG-8186-10A-01D-2252-01	11	5787405	5809139	33	-0.571
TCGA-FG-8186-10A-01D-2252-01	11	5809338	42961831	26821	2e-04
TCGA-FG-8186-10A-01D-2252-01	11	42969584	42971168	6	0.7842
TCGA-FG-8186-10A-01D-2252-01	11	42976631	48598422	3284	-0.0022
TCGA-FG-8186-10A-01D-2252-01	11	48601434	48602676	2	-2.405
TCGA-FG-8186-10A-01D-2252-01	11	48606318	55361431	1223	0.0076
TCGA-FG-8186-10A-01D-2252-01	11	55363340	55468524	66	-0.5451
TCGA-FG-8186-10A-01D-2252-01	11	55468553	101594384	28651	0.0028
TCGA-FG-8186-10A-01D-2252-01	11	101597860	101597964	4	0.9019
TCGA-FG-8186-10A-01D-2252-01	11	101598212	107230719	3810	-0.0023
TCGA-FG-8186-10A-01D-2252-01	11	107238656	107239128	7	-1.1241
TCGA-FG-8186-10A-01D-2252-01	11	107252362	134944770	19965	-0.0045
TCGA-FG-8186-10A-01D-2252-01	12	150442	8357507	5550	-8e-04
TCGA-FG-8186-10A-01D-2252-01	12	8362050	8372757	10	1.0662
TCGA-FG-8186-10A-01D-2252-01	12	8378251	9630556	642	0.0233
TCGA-FG-8186-10A-01D-2252-01	12	9633870	9713674	22	-1.7194
TCGA-FG-8186-10A-01D-2252-01	12	9714954	20859497	7582	0.0054
TCGA-FG-8186-10A-01D-2252-01	12	20863511	20863573	2	-2.2085
TCGA-FG-8186-10A-01D-2252-01	12	20867029	33302013	9075	-0.0039
TCGA-FG-8186-10A-01D-2252-01	12	33302201	33307078	17	0.4245
TCGA-FG-8186-10A-01D-2252-01	12	33307374	34230484	579	-0.02
TCGA-FG-8186-10A-01D-2252-01	12	34230940	34242008	6	-0.686
TCGA-FG-8186-10A-01D-2252-01	12	34242011	34250696	6	0.3201
