barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7884-01B-11D-2391-01	1	3218610	232888325	118767	0.027
TCGA-HT-7884-01B-11D-2391-01	1	232889021	232911202	3	-1.5178
TCGA-HT-7884-01B-11D-2391-01	1	232912333	247813706	9578	0.0356
TCGA-HT-7884-01B-11D-2391-01	10	415240	31586772	21631	0.007
TCGA-HT-7884-01B-11D-2391-01	10	31594511	32026252	246	0.5056
TCGA-HT-7884-01B-11D-2391-01	10	32028122	135225087	58514	0.0156
TCGA-HT-7884-01B-11D-2391-01	11	456120	106144136	57994	0.0231
TCGA-HT-7884-01B-11D-2391-01	11	106144327	106148633	2	-1.5483
TCGA-HT-7884-01B-11D-2391-01	11	106152179	134142530	18799	0.0776
TCGA-HT-7884-01B-11D-2391-01	12	889902	20529346	11175	0.4114
TCGA-HT-7884-01B-11D-2391-01	12	20529638	20530624	3	-0.2883
TCGA-HT-7884-01B-11D-2391-01	12	20531157	40547379	8969	0.2041
TCGA-HT-7884-01B-11D-2391-01	12	40547750	133161346	53279	-0.2758
TCGA-HT-7884-01B-11D-2391-01	13	19450806	114987458	56208	0.0213
TCGA-HT-7884-01B-11D-2391-01	14	20501368	105988038	49192	0.0292
TCGA-HT-7884-01B-11D-2391-01	15	23687685	101884307	44282	0.0223
TCGA-HT-7884-01B-11D-2391-01	16	653459	89379936	40623	0.0161
TCGA-HT-7884-01B-11D-2391-01	17	987221	1555015	174	0.0323
TCGA-HT-7884-01B-11D-2391-01	17	1555791	1557881	2	-1.728
TCGA-HT-7884-01B-11D-2391-01	17	1560206	80917016	36670	0.0202
TCGA-HT-7884-01B-11D-2391-01	18	329586	14398614	8113	0.0089
TCGA-HT-7884-01B-11D-2391-01	18	14406969	14483936	10	-0.7147
TCGA-HT-7884-01B-11D-2391-01	18	14491035	77109240	34265	0.0278
TCGA-HT-7884-01B-11D-2391-01	19	284018	58878226	23870	0.0356
TCGA-HT-7884-01B-11D-2391-01	2	484222	20675601	12955	0.0113
TCGA-HT-7884-01B-11D-2391-01	2	20675980	20678570	2	-1.7569
TCGA-HT-7884-01B-11D-2391-01	2	20684252	118495636	48194	0.0192
TCGA-HT-7884-01B-11D-2391-01	2	118496598	118498608	3	-2.8014
TCGA-HT-7884-01B-11D-2391-01	2	118499260	142151285	12026	0.0134
TCGA-HT-7884-01B-11D-2391-01	2	142151846	142155894	2	-2.7731
TCGA-HT-7884-01B-11D-2391-01	2	142156180	242476062	57325	0.009
TCGA-HT-7884-01B-11D-2391-01	20	455764	62219837	37109	0.0448
TCGA-HT-7884-01B-11D-2391-01	21	15347621	47678774	20437	0.0226
TCGA-HT-7884-01B-11D-2391-01	22	17423930	49331012	16879	0.0105
TCGA-HT-7884-01B-11D-2391-01	3	2212571	197538677	105719	-0.0178
TCGA-HT-7884-01B-11D-2391-01	4	1053934	188763651	102037	0.0219
TCGA-HT-7884-01B-11D-2391-01	5	914233	26032595	14897	-0.0944
TCGA-HT-7884-01B-11D-2391-01	5	26035293	26039201	2	-2.1402
TCGA-HT-7884-01B-11D-2391-01	5	26039266	180360469	84981	-0.0607
TCGA-HT-7884-01B-11D-2391-01	6	1014281	32871536	19107	-0.3465
TCGA-HT-7884-01B-11D-2391-01	6	32880545	111641850	41939	0.0309
TCGA-HT-7884-01B-11D-2391-01	6	111650685	170903919	34784	-0.2856
TCGA-HT-7884-01B-11D-2391-01	7	705284	67126955	34297	0.0626
TCGA-HT-7884-01B-11D-2391-01	7	67127889	67128065	2	-2.6109
TCGA-HT-7884-01B-11D-2391-01	7	67128416	125429662	29317	0.1273
TCGA-HT-7884-01B-11D-2391-01	7	125614814	126919521	728	-0.2119
TCGA-HT-7884-01B-11D-2391-01	7	126919592	158385118	16517	0.1488
TCGA-HT-7884-01B-11D-2391-01	8	617667	145232496	81091	0.0345
TCGA-HT-7884-01B-11D-2391-01	9	789932	140938752	67645	0.025
TCGA-HT-7884-01B-11D-2391-01	X	3157107	154905589	63338	0.0034
