barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-EZ-7264-01A-11D-2023-01	1	3218610	47907662	23433	-0.7068
TCGA-EZ-7264-01A-11D-2023-01	1	47907779	47916917	3	-2.6159
TCGA-EZ-7264-01A-11D-2023-01	1	47917113	120527361	44257	-0.7375
TCGA-EZ-7264-01A-11D-2023-01	1	149879545	204514137	33473	0.1369
TCGA-EZ-7264-01A-11D-2023-01	1	204514215	204514336	3	-0.945
TCGA-EZ-7264-01A-11D-2023-01	1	204514369	247813706	27868	0.1294
TCGA-EZ-7264-01A-11D-2023-01	10	415240	135225087	80864	0.1258
TCGA-EZ-7264-01A-11D-2023-01	11	456120	82233045	43942	0.1232
TCGA-EZ-7264-01A-11D-2023-01	11	82359954	82480363	61	-0.593
TCGA-EZ-7264-01A-11D-2023-01	11	82483190	109392839	16151	0.1182
TCGA-EZ-7264-01A-11D-2023-01	11	109395935	109400411	2	-1.7858
TCGA-EZ-7264-01A-11D-2023-01	11	109402617	134142530	17092	0.1199
TCGA-EZ-7264-01A-11D-2023-01	12	889902	133161346	73939	0.1285
TCGA-EZ-7264-01A-11D-2023-01	13	19450806	64077437	25886	0.1185
TCGA-EZ-7264-01A-11D-2023-01	13	64079747	64106978	20	-0.6216
TCGA-EZ-7264-01A-11D-2023-01	13	64246746	95250528	18036	0.1212
TCGA-EZ-7264-01A-11D-2023-01	13	95253386	95254031	3	1.2413
TCGA-EZ-7264-01A-11D-2023-01	13	95258225	114987458	12707	0.1171
TCGA-EZ-7264-01A-11D-2023-01	14	20501368	20794611	166	-0.4848
TCGA-EZ-7264-01A-11D-2023-01	14	20794873	44654087	12491	0.1291
TCGA-EZ-7264-01A-11D-2023-01	14	44750150	105988038	36759	-0.5366
TCGA-EZ-7264-01A-11D-2023-01	15	23687685	101884307	44532	0.1426
TCGA-EZ-7264-01A-11D-2023-01	16	653459	87401744	40281	0.1362
TCGA-EZ-7264-01A-11D-2023-01	16	87404375	87404390	2	-1.0923
TCGA-EZ-7264-01A-11D-2023-01	16	87404860	89379936	503	0.1674
TCGA-EZ-7264-01A-11D-2023-01	17	987221	80917016	36991	0.155
TCGA-EZ-7264-01A-11D-2023-01	18	329586	77109240	42668	0.1184
TCGA-EZ-7264-01A-11D-2023-01	19	284018	24052992	8978	0.1766
TCGA-EZ-7264-01A-11D-2023-01	19	28240494	58878226	14941	-0.6822
TCGA-EZ-7264-01A-11D-2023-01	2	484222	9948475	5701	0.1048
TCGA-EZ-7264-01A-11D-2023-01	2	9949576	9950371	3	-1.3694
TCGA-EZ-7264-01A-11D-2023-01	2	9953949	242476062	125587	0.1123
TCGA-EZ-7264-01A-11D-2023-01	20	455764	62219837	37284	0.1323
TCGA-EZ-7264-01A-11D-2023-01	21	15347621	47678774	20588	0.129
TCGA-EZ-7264-01A-11D-2023-01	22	17423930	49331012	16926	0.1558
TCGA-EZ-7264-01A-11D-2023-01	3	2212571	197538677	106368	0.1264
TCGA-EZ-7264-01A-11D-2023-01	4	1053934	52785237	28216	0.1229
TCGA-EZ-7264-01A-11D-2023-01	4	52794744	53773610	521	0.5158
TCGA-EZ-7264-01A-11D-2023-01	4	53773871	56649195	2069	0.1084
TCGA-EZ-7264-01A-11D-2023-01	4	56649843	108292322	28492	-0.5576
TCGA-EZ-7264-01A-11D-2023-01	4	108295720	108298058	4	-2.0865
TCGA-EZ-7264-01A-11D-2023-01	4	108303807	188763651	43386	-0.5559
TCGA-EZ-7264-01A-11D-2023-01	5	914233	180360469	100496	0.1241
TCGA-EZ-7264-01A-11D-2023-01	6	1014281	170903919	96480	0.1276
TCGA-EZ-7264-01A-11D-2023-01	7	705284	158385118	81320	0.124
TCGA-EZ-7264-01A-11D-2023-01	8	617667	145232496	81539	0.1176
TCGA-EZ-7264-01A-11D-2023-01	9	789932	140938752	67979	-0.5211
TCGA-EZ-7264-01A-11D-2023-01	X	3157107	154905589	63792	0.001
