barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7481-01A-11D-2023-01	1	61735	564621	32	0.0108
TCGA-HT-7481-01A-11D-2023-01	1	603590	72768916	42965	-0.4403
TCGA-HT-7481-01A-11D-2023-01	1	72768936	72779080	9	-1.6793
TCGA-HT-7481-01A-11D-2023-01	1	72779091	81888456	5823	-0.4541
TCGA-HT-7481-01A-11D-2023-01	1	81888602	81888667	3	0.9797
TCGA-HT-7481-01A-11D-2023-01	1	81888681	104159384	14300	-0.4604
TCGA-HT-7481-01A-11D-2023-01	1	104163499	104163787	2	1.9478
TCGA-HT-7481-01A-11D-2023-01	1	104178038	106019310	947	-0.4462
TCGA-HT-7481-01A-11D-2023-01	1	106019370	106022375	14	0.3033
TCGA-HT-7481-01A-11D-2023-01	1	106024055	109774026	2437	-0.4464
TCGA-HT-7481-01A-11D-2023-01	1	109778237	109782003	2	-2.1719
TCGA-HT-7481-01A-11D-2023-01	1	109782037	110220590	212	-0.4315
TCGA-HT-7481-01A-11D-2023-01	1	110220739	110233118	20	-0.0794
TCGA-HT-7481-01A-11D-2023-01	1	110233262	110240178	13	0.8736
TCGA-HT-7481-01A-11D-2023-01	1	110242953	112690326	1955	-0.4401
TCGA-HT-7481-01A-11D-2023-01	1	112695965	112697213	22	-2.2919
TCGA-HT-7481-01A-11D-2023-01	1	112697241	121355881	5177	-0.4499
TCGA-HT-7481-01A-11D-2023-01	1	121436219	152553026	2851	0.0531
TCGA-HT-7481-01A-11D-2023-01	1	152555176	152586117	32	0.4014
TCGA-HT-7481-01A-11D-2023-01	1	152586238	152759678	176	0.0267
TCGA-HT-7481-01A-11D-2023-01	1	152761923	152768700	37	0.6334
TCGA-HT-7481-01A-11D-2023-01	1	152773905	169216937	11343	0.0369
TCGA-HT-7481-01A-11D-2023-01	1	169233974	169241766	7	0.7777
TCGA-HT-7481-01A-11D-2023-01	1	169242401	174797226	3533	0.03
TCGA-HT-7481-01A-11D-2023-01	1	174797315	174819336	37	0.2952
TCGA-HT-7481-01A-11D-2023-01	1	174827824	189648157	9894	0.0284
TCGA-HT-7481-01A-11D-2023-01	1	189648483	189648527	2	-1.5212
TCGA-HT-7481-01A-11D-2023-01	1	189652047	196739972	4756	0.0162
TCGA-HT-7481-01A-11D-2023-01	1	196740211	196815791	86	0.4358
TCGA-HT-7481-01A-11D-2023-01	1	196816730	210071062	8826	0.0323
TCGA-HT-7481-01A-11D-2023-01	1	210081613	210082065	2	-2.3047
TCGA-HT-7481-01A-11D-2023-01	1	210083984	249224388	27146	0.0311
TCGA-HT-7481-01A-11D-2023-01	10	72809	82878159	54928	0.0303
TCGA-HT-7481-01A-11D-2023-01	10	82881330	82886431	7	-1.0802
TCGA-HT-7481-01A-11D-2023-01	10	82888153	85776737	2233	0.0152
TCGA-HT-7481-01A-11D-2023-01	10	85785724	85785921	2	1.1559
TCGA-HT-7481-01A-11D-2023-01	10	85787675	89029243	2098	0.0339
