barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-CS-4938-01B-11D-1892-01	1	51598	12764515	6524	0.0039
TCGA-CS-4938-01B-11D-1892-01	1	12768450	12850443	38	-0.5467
TCGA-CS-4938-01B-11D-1892-01	1	12906093	16885043	2215	0.0062
TCGA-CS-4938-01B-11D-1892-01	1	16885328	16921066	24	-0.8083
TCGA-CS-4938-01B-11D-1892-01	1	16929044	72535958	34152	0.0158
TCGA-CS-4938-01B-11D-1892-01	1	72541006	72589609	52	0.3049
TCGA-CS-4938-01B-11D-1892-01	1	72591187	85310478	8321	0.0174
TCGA-CS-4938-01B-11D-1892-01	1	85311715	85315208	8	-1.2908
TCGA-CS-4938-01B-11D-1892-01	1	85318268	90876614	3684	0.0219
TCGA-CS-4938-01B-11D-1892-01	1	90880792	90882381	2	-1.3566
TCGA-CS-4938-01B-11D-1892-01	1	90885357	105820728	9011	0.0181
TCGA-CS-4938-01B-11D-1892-01	1	105820759	105823898	16	-1.8225
TCGA-CS-4938-01B-11D-1892-01	1	105825578	112491849	4642	0.0191
TCGA-CS-4938-01B-11D-1892-01	1	112497488	112498913	25	0.5804
TCGA-CS-4938-01B-11D-1892-01	1	112507479	151017424	8233	0.0211
TCGA-CS-4938-01B-11D-1892-01	1	151017861	151035324	46	-0.2312
TCGA-CS-4938-01B-11D-1892-01	1	151040529	208137685	38436	0.0194
TCGA-CS-4938-01B-11D-1892-01	1	208148236	208150607	3	-2.0925
TCGA-CS-4938-01B-11D-1892-01	1	208153175	241129265	23299	0.0134
TCGA-CS-4938-01B-11D-1892-01	1	241129663	241157486	20	-0.3594
TCGA-CS-4938-01B-11D-1892-01	1	241157944	247191011	3790	0.0117
TCGA-CS-4938-01B-11D-1892-01	10	62759	48911485	32234	0.0088
TCGA-CS-4938-01B-11D-1892-01	10	48911498	48957597	4	-1.8343
TCGA-CS-4938-01B-11D-1892-01	10	48957609	66976164	12473	0.0185
TCGA-CS-4938-01B-11D-1892-01	10	66976282	66984452	29	-0.4454
TCGA-CS-4938-01B-11D-1892-01	10	66992801	135356694	46298	0.0121
TCGA-CS-4938-01B-11D-1892-01	11	188510	4926819	2476	-0.0237
TCGA-CS-4938-01B-11D-1892-01	11	4926853	4933190	35	0.7284
TCGA-CS-4938-01B-11D-1892-01	11	4933390	5743981	788	-0.0228
TCGA-CS-4938-01B-11D-1892-01	11	5744656	5765715	32	-0.4833
TCGA-CS-4938-01B-11D-1892-01	11	5765914	16582287	7880	0.0103
TCGA-CS-4938-01B-11D-1892-01	11	16593899	16594618	6	-1.1448
TCGA-CS-4938-01B-11D-1892-01	11	16602664	21803470	4187	0.0143
TCGA-CS-4938-01B-11D-1892-01	11	21804082	21805328	5	-0.8416
TCGA-CS-4938-01B-11D-1892-01	11	21807233	55132599	19233	0.0136
TCGA-CS-4938-01B-11D-1892-01	11	55132812	55196566	42	-0.3501
TCGA-CS-4938-01B-11D-1892-01	11	55198894	85567306	17494	0.0136
TCGA-CS-4938-01B-11D-1892-01	11	85567596	85576469	16	-0.9542
TCGA-CS-4938-01B-11D-1892-01	11	85577460	88191927	1905	0.0241
TCGA-CS-4938-01B-11D-1892-01	11	88192615	88192927	4	-0.8408
TCGA-CS-4938-01B-11D-1892-01	11	88197384	89188540	515	0.0036
TCGA-CS-4938-01B-11D-1892-01	11	89189872	89207189	2	-1.5067
TCGA-CS-4938-01B-11D-1892-01	11	89220000	91662133	1605	0.0248
TCGA-CS-4938-01B-11D-1892-01	11	91664434	91667801	6	-0.9061
TCGA-CS-4938-01B-11D-1892-01	11	91668848	92573981	688	0.0239
TCGA-CS-4938-01B-11D-1892-01	11	92575810	92578132	3	-1.1455
TCGA-CS-4938-01B-11D-1892-01	11	92581401	134449982	30158	0.0132
TCGA-CS-4938-01B-11D-1892-01	12	20703	2106150	1265	0.0621
TCGA-CS-4938-01B-11D-1892-01	12	2116123	2128181	41	-0.7447
TCGA-CS-4938-01B-11D-1892-01	12	2128284	9521823	4889	0.0646
TCGA-CS-4938-01B-11D-1892-01	12	9525137	9619559	24	0.7823
TCGA-CS-4938-01B-11D-1892-01	12	9626236	20930789	7688	0.055
TCGA-CS-4938-01B-11D-1892-01	12	20931015	20931125	2	-1.2738
TCGA-CS-4938-01B-11D-1892-01	12	20957434	24284083	2266	0.0613
TCGA-CS-4938-01B-11D-1892-01	12	24285021	24286539	4	-0.9141
TCGA-CS-4938-01B-11D-1892-01	12	24288211	27986188	2826	0.049
TCGA-CS-4938-01B-11D-1892-01	12	27986760	27988911	11	-0.7003
TCGA-CS-4938-01B-11D-1892-01	12	27994727	64255282	21216	0.0187
TCGA-CS-4938-01B-11D-1892-01	12	64262581	64264021	3	-1.1104
TCGA-CS-4938-01B-11D-1892-01	12	64268195	89007481	15536	0.0154
TCGA-CS-4938-01B-11D-1892-01	12	89015800	89016205	7	-1.686
TCGA-CS-4938-01B-11D-1892-01	12	89017688	118468208	20147	0.0131
TCGA-CS-4938-01B-11D-1892-01	12	118473270	118475144	16	-0.794
TCGA-CS-4938-01B-11D-1892-01	12	118478424	132288262	9071	0.001
TCGA-CS-4938-01B-11D-1892-01	13	17924949	22527187	2891	0.0064
TCGA-CS-4938-01B-11D-1892-01	13	22527210	22531515	13	-1.9737
TCGA-CS-4938-01B-11D-1892-01	13	22536195	56649097	23192	0.0105
TCGA-CS-4938-01B-11D-1892-01	13	56656271	56676381	34	-0.6559
TCGA-CS-4938-01B-11D-1892-01	13	56687715	57482791	420	0.0589
TCGA-CS-4938-01B-11D-1892-01	13	57488282	57495031	5	-4.2665
TCGA-CS-4938-01B-11D-1892-01	13	57500053	65842718	5020	0.0137
TCGA-CS-4938-01B-11D-1892-01	13	65847098	65847371	3	-1.7343
TCGA-CS-4938-01B-11D-1892-01	13	65849160	71374989	3549	0.0211
TCGA-CS-4938-01B-11D-1892-01	13	71375556	71378557	4	-2.7132
TCGA-CS-4938-01B-11D-1892-01	13	71378606	114126499	29119	0.0083
TCGA-CS-4938-01B-11D-1892-01	14	18072124	19107146	74	0.0537
TCGA-CS-4938-01B-11D-1892-01	14	19170042	19493212	116	0.3503
TCGA-CS-4938-01B-11D-1892-01	14	19494766	55157609	22540	0.0224
TCGA-CS-4938-01B-11D-1892-01	14	55158847	55886288	631	-0.7704
TCGA-CS-4938-01B-11D-1892-01	14	55886699	58401649	1660	-0.439
TCGA-CS-4938-01B-11D-1892-01	14	58401919	62814274	2795	-0.7089
TCGA-CS-4938-01B-11D-1892-01	14	62814367	62814425	2	-3.0321
TCGA-CS-4938-01B-11D-1892-01	14	62815096	64804624	1340	-0.5533
TCGA-CS-4938-01B-11D-1892-01	14	64804949	64806946	4	-1.6407
TCGA-CS-4938-01B-11D-1892-01	14	64808303	65097721	139	-0.6138
TCGA-CS-4938-01B-11D-1892-01	14	65102607	65925000	492	-0.3436
TCGA-CS-4938-01B-11D-1892-01	14	65925740	95019928	18976	-0.7024
TCGA-CS-4938-01B-11D-1892-01	14	95022982	96295461	967	-0.4585
TCGA-CS-4938-01B-11D-1892-01	14	96295985	105149735	5090	-0.7316
TCGA-CS-4938-01B-11D-1892-01	14	105150069	105606340	148	-0.3815
TCGA-CS-4938-01B-11D-1892-01	14	105609107	105632486	13	-1.0469
TCGA-CS-4938-01B-11D-1892-01	14	105638145	105677900	23	-0.2449
TCGA-CS-4938-01B-11D-1892-01	14	105682035	105799207	53	-0.5732
TCGA-CS-4938-01B-11D-1892-01	14	105807285	105867742	30	-0.1541
TCGA-CS-4938-01B-11D-1892-01	14	105872400	105889602	6	-1.2409
TCGA-CS-4938-01B-11D-1892-01	14	105891789	105923827	21	-0.4864
TCGA-CS-4938-01B-11D-1892-01	14	105930103	106010833	69	-0.1875
TCGA-CS-4938-01B-11D-1892-01	14	106014567	106356482	215	-0.6324
TCGA-CS-4938-01B-11D-1892-01	15	18276341	18466953	48	0.0651
TCGA-CS-4938-01B-11D-1892-01	15	18476969	19438545	233	0.3758
TCGA-CS-4938-01B-11D-1892-01	15	19451059	19452665	2	2.0485
TCGA-CS-4938-01B-11D-1892-01	15	19456767	19541614	20	0.4764
TCGA-CS-4938-01B-11D-1892-01	15	19548935	19788634	8	-0.4875
TCGA-CS-4938-01B-11D-1892-01	15	19792388	19864595	23	0.1164
TCGA-CS-4938-01B-11D-1892-01	15	19874434	19884565	7	-0.9014
TCGA-CS-4938-01B-11D-1892-01	15	19886365	20817792	387	0.0425
TCGA-CS-4938-01B-11D-1892-01	15	20828889	20842241	4	-1.3743
TCGA-CS-4938-01B-11D-1892-01	15	20848041	22225844	696	0.0053
TCGA-CS-4938-01B-11D-1892-01	15	22225980	22269689	39	-0.4997
TCGA-CS-4938-01B-11D-1892-01	15	22276386	28306901	3659	0.0054
TCGA-CS-4938-01B-11D-1892-01	15	28306924	28392863	34	0.3114
TCGA-CS-4938-01B-11D-1892-01	15	28392970	30849051	1281	0.0257
TCGA-CS-4938-01B-11D-1892-01	15	30849684	30849764	2	-1.3043
TCGA-CS-4938-01B-11D-1892-01	15	30851589	32481928	1366	0.0151
TCGA-CS-4938-01B-11D-1892-01	15	32482614	32643110	77	0.536
TCGA-CS-4938-01B-11D-1892-01	15	32645302	45300545	7625	0.0182
TCGA-CS-4938-01B-11D-1892-01	15	45306099	45306411	4	-0.9636
TCGA-CS-4938-01B-11D-1892-01	15	45306837	54576821	6045	0.0226
TCGA-CS-4938-01B-11D-1892-01	15	54576939	54588269	26	-0.5522
TCGA-CS-4938-01B-11D-1892-01	15	54588915	61714607	5320	0.0208
TCGA-CS-4938-01B-11D-1892-01	15	61715279	61718667	2	-1.1969
TCGA-CS-4938-01B-11D-1892-01	15	61721909	79876126	10774	0.0237
TCGA-CS-4938-01B-11D-1892-01	15	79876246	79876265	2	-1.7657
TCGA-CS-4938-01B-11D-1892-01	15	79883549	100286563	14343	0.0113
TCGA-CS-4938-01B-11D-1892-01	16	777	27749338	18559	0.0028
TCGA-CS-4938-01B-11D-1892-01	16	27749515	27750325	3	-1.5455
TCGA-CS-4938-01B-11D-1892-01	16	27750645	32031832	1519	0.001
TCGA-CS-4938-01B-11D-1892-01	16	32054387	32496120	67	0.3245
TCGA-CS-4938-01B-11D-1892-01	16	32496122	32522407	11	0.7335
TCGA-CS-4938-01B-11D-1892-01	16	32522419	76930347	21676	0.0173
