barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DU-8158-01A-11D-2252-01	1	3208470	12276894	5069	0.026
TCGA-DU-8158-01A-11D-2252-01	1	12278074	12278090	2	-1.4931
TCGA-DU-8158-01A-11D-2252-01	1	12279675	18834682	3402	0.0227
TCGA-DU-8158-01A-11D-2252-01	1	18836608	19679437	543	0.5076
TCGA-DU-8158-01A-11D-2252-01	1	19681225	42439917	11824	0.0285
TCGA-DU-8158-01A-11D-2252-01	1	42441330	42445604	2	-1.4095
TCGA-DU-8158-01A-11D-2252-01	1	42446110	50936348	4462	0.0227
TCGA-DU-8158-01A-11D-2252-01	1	50946918	51292569	70	-0.9756
TCGA-DU-8158-01A-11D-2252-01	1	51292857	168884070	55312	0.024
TCGA-DU-8158-01A-11D-2252-01	1	168884863	168885603	3	-1.3671
TCGA-DU-8158-01A-11D-2252-01	1	168889733	245880329	48385	0.023
TCGA-DU-8158-01A-11D-2252-01	10	405240	78075957	44898	-0.3504
TCGA-DU-8158-01A-11D-2252-01	10	78081691	78082391	4	-1.5442
TCGA-DU-8158-01A-11D-2252-01	10	78084115	135075077	35917	-0.3551
TCGA-DU-8158-01A-11D-2252-01	11	446120	133647740	77252	-0.0163
TCGA-DU-8158-01A-11D-2252-01	12	760163	131671419	73945	0.1265
TCGA-DU-8158-01A-11D-2252-01	13	18348806	114005560	56610	-0.3589
TCGA-DU-8158-01A-11D-2252-01	14	19571208	32847153	6915	-0.3533
TCGA-DU-8158-01A-11D-2252-01	14	32848443	32860360	15	0.2246
TCGA-DU-8158-01A-11D-2252-01	14	32873218	32897383	34	-0.3239
TCGA-DU-8158-01A-11D-2252-01	14	32898211	32922758	36	0.2208
TCGA-DU-8158-01A-11D-2252-01	14	32922997	105059083	42425	-0.351
TCGA-DU-8158-01A-11D-2252-01	15	21238778	99701830	44496	-0.3476
TCGA-DU-8158-01A-11D-2252-01	16	593460	1937615	347	0.1523
TCGA-DU-8158-01A-11D-2252-01	16	1950858	2467076	143	0.5878
TCGA-DU-8158-01A-11D-2252-01	16	2471869	87907437	40377	0.1264
TCGA-DU-8158-01A-11D-2252-01	17	933971	64420729	30036	0.1287
TCGA-DU-8158-01A-11D-2252-01	17	64421703	67028427	1849	-0.3517
TCGA-DU-8158-01A-11D-2252-01	17	67030660	78510305	5101	0.1304
TCGA-DU-8158-01A-11D-2252-01	18	319586	75210228	42632	-0.3571
TCGA-DU-8158-01A-11D-2252-01	19	235018	63570038	23952	0.1354
TCGA-DU-8158-01A-11D-2252-01	2	474222	8950528	5128	0.1212
TCGA-DU-8158-01A-11D-2252-01	2	8954254	10500611	995	-0.3916
TCGA-DU-8158-01A-11D-2252-01	2	10507656	11935571	977	0.1119
TCGA-DU-8158-01A-11D-2252-01	2	11938893	11940254	2	-1.1791
TCGA-DU-8158-01A-11D-2252-01	2	11954630	140692763	65816	0.1081
