barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FN-7833-01A-11D-2085-01	1	3208470	82088328	44822	0.0194
TCGA-FN-7833-01A-11D-2085-01	1	82088659	82088930	3	-0.9885
TCGA-FN-7833-01A-11D-2085-01	1	82097487	195844146	51963	0.0185
TCGA-FN-7833-01A-11D-2085-01	1	195844488	195846308	2	-1.5751
TCGA-FN-7833-01A-11D-2085-01	1	195850345	245683659	32173	0.0146
TCGA-FN-7833-01A-11D-2085-01	1	245686925	245880329	122	-0.7802
TCGA-FN-7833-01A-11D-2085-01	10	405240	135075077	80876	0.0174
TCGA-FN-7833-01A-11D-2085-01	11	446120	16582287	9897	0.0414
TCGA-FN-7833-01A-11D-2085-01	11	16593899	16594618	6	-1.6572
TCGA-FN-7833-01A-11D-2085-01	11	16602664	95617867	42146	0.0244
TCGA-FN-7833-01A-11D-2085-01	11	95619340	95619448	3	-0.9119
TCGA-FN-7833-01A-11D-2085-01	11	95622216	133647740	25205	0.0418
TCGA-FN-7833-01A-11D-2085-01	12	760163	24285021	13713	0.0185
TCGA-FN-7833-01A-11D-2085-01	12	24286469	24286539	3	-1.3855
TCGA-FN-7833-01A-11D-2085-01	12	24288211	74497871	27012	0.0218
TCGA-FN-7833-01A-11D-2085-01	12	74498486	74503495	7	-1.0636
TCGA-FN-7833-01A-11D-2085-01	12	74504221	131671419	33209	0.0134
TCGA-FN-7833-01A-11D-2085-01	13	18348806	61998298	25406	0.029
TCGA-FN-7833-01A-11D-2085-01	13	61998582	62045822	14	0.5685
TCGA-FN-7833-01A-11D-2085-01	13	62052067	79876176	10184	0.0235
TCGA-FN-7833-01A-11D-2085-01	13	79887196	79890477	3	0.8066
TCGA-FN-7833-01A-11D-2085-01	13	79893644	114005560	21043	0.0279
TCGA-FN-7833-01A-11D-2085-01	14	19571208	59880957	22038	0.0447
TCGA-FN-7833-01A-11D-2085-01	14	59881752	59881842	2	-1.0014
TCGA-FN-7833-01A-11D-2085-01	14	59883770	105059083	27407	0.0224
TCGA-FN-7833-01A-11D-2085-01	15	21238778	34581128	5880	-0.0035
TCGA-FN-7833-01A-11D-2085-01	15	34581505	34582163	3	-1.1878
TCGA-FN-7833-01A-11D-2085-01	15	34585121	99701830	38648	0.0256
TCGA-FN-7833-01A-11D-2085-01	16	593460	47506375	15005	-0.0051
TCGA-FN-7833-01A-11D-2085-01	16	47508592	47512561	2	-1.398
TCGA-FN-7833-01A-11D-2085-01	16	47515650	87907437	25854	0.0099
TCGA-FN-7833-01A-11D-2085-01	17	933971	3632752	1172	-0.0099
TCGA-FN-7833-01A-11D-2085-01	17	3637679	3640225	5	-0.9378
TCGA-FN-7833-01A-11D-2085-01	17	3641303	78510305	35810	0.0125
TCGA-FN-7833-01A-11D-2085-01	18	319586	75210228	42666	0.0148
TCGA-FN-7833-01A-11D-2085-01	19	235018	2784431	536	-0.0251
TCGA-FN-7833-01A-11D-2085-01	19	2784504	2784576	3	-0.8188
TCGA-FN-7833-01A-11D-2085-01	19	2787660	9835292	2685	-0.0119
TCGA-FN-7833-01A-11D-2085-01	19	9837674	9839466	4	-0.8698
TCGA-FN-7833-01A-11D-2085-01	19	9842394	63570038	20726	-0.0043
TCGA-FN-7833-01A-11D-2085-01	2	474222	17431748	10830	0.0183
TCGA-FN-7833-01A-11D-2085-01	2	17432933	17434348	2	1.1762
TCGA-FN-7833-01A-11D-2085-01	2	17438797	33424398	9024	0.0182
TCGA-FN-7833-01A-11D-2085-01	2	33432355	33434534	3	-0.9395
TCGA-FN-7833-01A-11D-2085-01	2	33440344	125871090	45704	0.0288
TCGA-FN-7833-01A-11D-2085-01	2	125872592	125872769	2	-1.2655
TCGA-FN-7833-01A-11D-2085-01	2	125874009	242124735	65733	0.0361
TCGA-FN-7833-01A-11D-2085-01	20	403764	20336898	13404	0.0231
TCGA-FN-7833-01A-11D-2085-01	20	20338399	20339173	4	-0.779
TCGA-FN-7833-01A-11D-2085-01	20	20340264	61690281	23874	0.0067
TCGA-FN-7833-01A-11D-2085-01	21	14269492	46503202	20587	0.016
TCGA-FN-7833-01A-11D-2085-01	22	15803930	47717016	16929	0.0057
TCGA-FN-7833-01A-11D-2085-01	3	526235	7299186	2539	-0.0015
TCGA-FN-7833-01A-11D-2085-01	3	7300666	7301554	2	1.1688
TCGA-FN-7833-01A-11D-2085-01	3	7302560	199023074	103848	0.035
TCGA-FN-7833-01A-11D-2085-01	4	1043934	4457160	1298	0.0123
TCGA-FN-7833-01A-11D-2085-01	4	4457164	4457617	2	-1.0631
TCGA-FN-7833-01A-11D-2085-01	4	4458118	28925172	16379	0.0112
TCGA-FN-7833-01A-11D-2085-01	4	28927337	28927347	2	-1.5271
TCGA-FN-7833-01A-11D-2085-01	4	28927363	88919483	30863	0.0176
TCGA-FN-7833-01A-11D-2085-01	4	88923692	88924371	3	-0.9377
TCGA-FN-7833-01A-11D-2085-01	4	88924852	112431655	13038	0.0113
TCGA-FN-7833-01A-11D-2085-01	4	112432291	112436250	2	-1.3865
TCGA-FN-7833-01A-11D-2085-01	4	112437259	126469047	7953	0.0194
TCGA-FN-7833-01A-11D-2085-01	4	126471658	126490223	11	-0.5944
TCGA-FN-7833-01A-11D-2085-01	4	126492200	127252080	467	-0.0017
TCGA-FN-7833-01A-11D-2085-01	4	127252780	127252810	3	-1.0109
TCGA-FN-7833-01A-11D-2085-01	4	127265446	189836143	32720	0.0326
TCGA-FN-7833-01A-11D-2085-01	5	967233	50545609	26176	0.008
TCGA-FN-7833-01A-11D-2085-01	5	50545662	50546773	3	-1.3418
TCGA-FN-7833-01A-11D-2085-01	5	50547409	180293075	74323	0.002
TCGA-FN-7833-01A-11D-2085-01	6	959281	19244130	12762	0.0115
TCGA-FN-7833-01A-11D-2085-01	6	19245137	19262790	9	-0.7796
TCGA-FN-7833-01A-11D-2085-01	6	19274816	84285183	33123	0.0156
TCGA-FN-7833-01A-11D-2085-01	6	84286342	84287372	3	-1.1094
TCGA-FN-7833-01A-11D-2085-01	6	84290550	114202852	17133	0.0524
TCGA-FN-7833-01A-11D-2085-01	6	114203100	170745844	33357	-0.8408
TCGA-FN-7833-01A-11D-2085-01	7	671810	4662552	1526	-0.2026
TCGA-FN-7833-01A-11D-2085-01	7	4662603	30065894	14687	0.033
TCGA-FN-7833-01A-11D-2085-01	7	30070333	30073441	2	1.1168
TCGA-FN-7833-01A-11D-2085-01	7	30074491	158077879	65111	0.0313
TCGA-FN-7833-01A-11D-2085-01	8	607667	86927516	46923	0.0181
TCGA-FN-7833-01A-11D-2085-01	8	86929219	86930015	3	-1.1709
TCGA-FN-7833-01A-11D-2085-01	8	86930596	130471754	25769	0.0236
TCGA-FN-7833-01A-11D-2085-01	8	130474463	130955546	331	0.2969
TCGA-FN-7833-01A-11D-2085-01	8	130957834	145304484	8503	0.0032
TCGA-FN-7833-01A-11D-2085-01	9	779932	77978363	28720	0.0151
TCGA-FN-7833-01A-11D-2085-01	9	77981076	77981664	4	-0.8104
TCGA-FN-7833-01A-11D-2085-01	9	77982115	115462485	24741	0.0105
TCGA-FN-7833-01A-11D-2085-01	9	115462860	115463339	2	-1.0494
TCGA-FN-7833-01A-11D-2085-01	9	115463450	124713497	6670	-0.0079
TCGA-FN-7833-01A-11D-2085-01	9	124717678	124720883	5	-0.7724
TCGA-FN-7833-01A-11D-2085-01	9	124724705	140058573	7868	0.0051
TCGA-FN-7833-01A-11D-2085-01	X	3167107	56023771	23077	0.0206
TCGA-FN-7833-01A-11D-2085-01	X	56024975	56025475	2	-3.0836
TCGA-FN-7833-01A-11D-2085-01	X	56027096	97490354	14381	-0.017
TCGA-FN-7833-01A-11D-2085-01	X	97492500	97494950	2	2.8959
TCGA-FN-7833-01A-11D-2085-01	X	97495637	110183966	5946	0.0251
