barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-8107-10A-01D-2392-01	1	3208470	245880329	128443	0.001
TCGA-HT-8107-10A-01D-2392-01	10	405240	135075077	80498	0.0018
TCGA-HT-8107-10A-01D-2392-01	11	446120	40404103	25102	0
TCGA-HT-8107-10A-01D-2392-01	11	40404455	40610390	133	-0.9198
TCGA-HT-8107-10A-01D-2392-01	11	40610494	133647740	51643	0.0026
TCGA-HT-8107-10A-01D-2392-01	12	760163	131671419	73583	0.0012
TCGA-HT-8107-10A-01D-2392-01	13	18348806	76827479	33437	0.0043
TCGA-HT-8107-10A-01D-2392-01	13	76827486	76839531	15	-0.954
TCGA-HT-8107-10A-01D-2392-01	13	76842854	114005560	22849	0.0011
TCGA-HT-8107-10A-01D-2392-01	14	19571208	105059083	49249	4e-04
TCGA-HT-8107-10A-01D-2392-01	15	21238778	66598839	25433	-9e-04
TCGA-HT-8107-10A-01D-2392-01	15	66599223	66601716	3	-1.2928
TCGA-HT-8107-10A-01D-2392-01	15	66602268	99701830	18907	0
TCGA-HT-8107-10A-01D-2392-01	16	593460	87907437	40731	0.0028
TCGA-HT-8107-10A-01D-2392-01	17	933971	78510305	36882	0.0011
TCGA-HT-8107-10A-01D-2392-01	18	319586	75210228	42446	8e-04
TCGA-HT-8107-10A-01D-2392-01	19	235018	63570038	23883	-0.0015
TCGA-HT-8107-10A-01D-2392-01	2	474222	181312088	96604	0
TCGA-HT-8107-10A-01D-2392-01	2	181312261	181317585	3	-1.3853
TCGA-HT-8107-10A-01D-2392-01	2	181321300	242124735	34065	0.0015
TCGA-HT-8107-10A-01D-2392-01	20	403764	61690281	37136	0.0022
TCGA-HT-8107-10A-01D-2392-01	21	14269492	46503202	20470	-7e-04
TCGA-HT-8107-10A-01D-2392-01	22	15803930	47717016	16899	0.001
TCGA-HT-8107-10A-01D-2392-01	3	2187571	84285507	47768	2e-04
TCGA-HT-8107-10A-01D-2392-01	3	84286184	84291054	2	-2.2659
TCGA-HT-8107-10A-01D-2392-01	3	84291236	158378158	37682	-7e-04
TCGA-HT-8107-10A-01D-2392-01	3	158380828	158464968	41	-0.8843
TCGA-HT-8107-10A-01D-2392-01	3	158469639	199023074	20377	0.0028
TCGA-HT-8107-10A-01D-2392-01	4	1043934	189836143	102173	0.0018
TCGA-HT-8107-10A-01D-2392-01	5	967233	180293075	100019	0.0017
TCGA-HT-8107-10A-01D-2392-01	6	959281	170745844	95997	0.0033
TCGA-HT-8107-10A-01D-2392-01	7	671810	158077879	80927	0.002
TCGA-HT-8107-10A-01D-2392-01	8	607667	145304484	81160	0.0017
TCGA-HT-8107-10A-01D-2392-01	9	779932	90752473	37392	0.0011
TCGA-HT-8107-10A-01D-2392-01	9	90752686	90752701	2	-1.6217
TCGA-HT-8107-10A-01D-2392-01	9	90752783	140058573	30304	-0.0025
TCGA-HT-8107-10A-01D-2392-01	X	3167107	46118687	19332	0.0046
TCGA-HT-8107-10A-01D-2392-01	X	46118993	46123761	4	-2.5501
TCGA-HT-8107-10A-01D-2392-01	X	46124141	71497689	8118	-0.001
TCGA-HT-8107-10A-01D-2392-01	X	71498380	71503967	7	-1.5551
TCGA-HT-8107-10A-01D-2392-01	X	71507933	116502340	18573	-8e-04
TCGA-HT-8107-10A-01D-2392-01	X	116504552	116510762	19	-3.8207
TCGA-HT-8107-10A-01D-2392-01	X	116513621	137400854	9799	6e-04
TCGA-HT-8107-10A-01D-2392-01	X	137401436	137401530	2	2.9216
TCGA-HT-8107-10A-01D-2392-01	X	137401740	146322769	4367	0.0041
TCGA-HT-8107-10A-01D-2392-01	X	146323338	146324204	3	-2.4916
TCGA-HT-8107-10A-01D-2392-01	X	146327901	154558783	3125	0.0104
