barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7681-10C-01D-2392-01	1	3218610	247813706	128468	4e-04
TCGA-HT-7681-10C-01D-2392-01	10	415240	135225087	80483	8e-04
TCGA-HT-7681-10C-01D-2392-01	11	456120	134142530	76871	0.0019
TCGA-HT-7681-10C-01D-2392-01	12	889902	55797805	28360	-0.0011
TCGA-HT-7681-10C-01D-2392-01	12	55803122	55803668	2	-1.9319
TCGA-HT-7681-10C-01D-2392-01	12	55809968	133161346	45206	0.0013
TCGA-HT-7681-10C-01D-2392-01	13	19450806	62418406	24927	0.0012
TCGA-HT-7681-10C-01D-2392-01	13	62423544	62496681	36	0.471
TCGA-HT-7681-10C-01D-2392-01	13	62498032	70554460	3640	-0.0031
TCGA-HT-7681-10C-01D-2392-01	13	70554602	70573065	10	-0.8735
TCGA-HT-7681-10C-01D-2392-01	13	70582008	114987458	27675	0.0024
TCGA-HT-7681-10C-01D-2392-01	14	20501368	105988038	49241	0.001
TCGA-HT-7681-10C-01D-2392-01	15	23687685	101884307	44332	0.0025
TCGA-HT-7681-10C-01D-2392-01	16	653459	89379936	40649	0.0035
TCGA-HT-7681-10C-01D-2392-01	17	987221	45945676	18370	-0.0011
TCGA-HT-7681-10C-01D-2392-01	17	45947053	45951115	2	-1.7403
TCGA-HT-7681-10C-01D-2392-01	17	45951934	80917016	18498	-8e-04
TCGA-HT-7681-10C-01D-2392-01	18	329586	77109240	42437	-8e-04
TCGA-HT-7681-10C-01D-2392-01	19	284018	36563749	14553	5e-04
TCGA-HT-7681-10C-01D-2392-01	19	36564758	36568094	2	-1.5763
TCGA-HT-7681-10C-01D-2392-01	19	36568798	54859504	7370	-4e-04
TCGA-HT-7681-10C-01D-2392-01	19	54872547	54890622	6	-1.2813
TCGA-HT-7681-10C-01D-2392-01	19	54892175	58878226	1951	7e-04
TCGA-HT-7681-10C-01D-2392-01	2	484222	242476062	130637	3e-04
TCGA-HT-7681-10C-01D-2392-01	20	455764	62219837	37136	0.0015
TCGA-HT-7681-10C-01D-2392-01	21	15347621	47678774	20467	0.0025
TCGA-HT-7681-10C-01D-2392-01	22	17423930	49331012	16900	0.001
TCGA-HT-7681-10C-01D-2392-01	3	2212571	137024979	75017	0.0012
TCGA-HT-7681-10C-01D-2392-01	3	137026303	137027679	10	-0.7006
TCGA-HT-7681-10C-01D-2392-01	3	137027954	197538677	30830	0.0021
TCGA-HT-7681-10C-01D-2392-01	4	1053934	188763651	102164	-0.0011
TCGA-HT-7681-10C-01D-2392-01	5	914233	180360469	100012	0.0011
TCGA-HT-7681-10C-01D-2392-01	6	1014281	170903919	96000	0.0024
TCGA-HT-7681-10C-01D-2392-01	7	705284	158385118	80912	0.0024
TCGA-HT-7681-10C-01D-2392-01	8	617667	145232496	81145	0.002
TCGA-HT-7681-10C-01D-2392-01	9	789932	122164011	57417	8e-04
TCGA-HT-7681-10C-01D-2392-01	9	122165487	122215520	54	-0.9434
TCGA-HT-7681-10C-01D-2392-01	9	122220737	140938752	10222	0.001
TCGA-HT-7681-10C-01D-2392-01	X	3157107	97052736	37040	0.001
TCGA-HT-7681-10C-01D-2392-01	X	97052796	97056209	2	-2.4267
TCGA-HT-7681-10C-01D-2392-01	X	97057553	113594922	7972	-0.0013
TCGA-HT-7681-10C-01D-2392-01	X	113603918	113616161	19	-0.4959
TCGA-HT-7681-10C-01D-2392-01	X	113616236	154905589	18402	-2e-04
