barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FG-5962-01B-11D-1892-01	1	3218610	66073814	35069	-0.5584
TCGA-FG-5962-01B-11D-1892-01	1	66074166	66074883	2	-1.8373
TCGA-FG-5962-01B-11D-1892-01	1	66077408	68100394	1503	-0.5249
TCGA-FG-5962-01B-11D-1892-01	1	68100413	68101467	3	-1.6784
TCGA-FG-5962-01B-11D-1892-01	1	68101640	70367734	1394	-0.5051
TCGA-FG-5962-01B-11D-1892-01	1	70370627	70388577	8	0.1044
TCGA-FG-5962-01B-11D-1892-01	1	70396007	120527361	29552	-0.5212
TCGA-FG-5962-01B-11D-1892-01	1	149881398	244313495	59757	0.1958
TCGA-FG-5962-01B-11D-1892-01	1	244315918	244316996	4	-0.8266
TCGA-FG-5962-01B-11D-1892-01	1	244318285	247813706	1509	0.1785
TCGA-FG-5962-01B-11D-1892-01	10	415240	135225087	80773	-0.001
TCGA-FG-5962-01B-11D-1892-01	11	456120	78894856	41543	0.1823
TCGA-FG-5962-01B-11D-1892-01	11	78895839	78896730	2	-1.1863
TCGA-FG-5962-01B-11D-1892-01	11	78896834	110956784	19585	0.1985
TCGA-FG-5962-01B-11D-1892-01	11	110957335	110958369	2	-1.637
TCGA-FG-5962-01B-11D-1892-01	11	110959132	134142530	16031	0.1778
TCGA-FG-5962-01B-11D-1892-01	12	889902	96880553	53293	0.0075
TCGA-FG-5962-01B-11D-1892-01	12	96883306	96883418	2	-1.4619
TCGA-FG-5962-01B-11D-1892-01	12	96890964	133161346	20550	-0.0133
TCGA-FG-5962-01B-11D-1892-01	13	19450806	32164249	7621	-0.507
TCGA-FG-5962-01B-11D-1892-01	13	32171381	32172631	2	-2.4021
TCGA-FG-5962-01B-11D-1892-01	13	32172822	114987458	48808	-0.4635
TCGA-FG-5962-01B-11D-1892-01	14	20501368	99663847	46491	0.0224
TCGA-FG-5962-01B-11D-1892-01	14	99664984	99666244	2	-1.3844
TCGA-FG-5962-01B-11D-1892-01	14	99666400	105988038	2883	-0.0101
TCGA-FG-5962-01B-11D-1892-01	15	23687685	101884307	44468	-0.0246
TCGA-FG-5962-01B-11D-1892-01	16	653459	74325352	30694	0.18
TCGA-FG-5962-01B-11D-1892-01	16	74472460	74473216	5	-1.0476
TCGA-FG-5962-01B-11D-1892-01	16	74473842	89379936	10061	0.1799
TCGA-FG-5962-01B-11D-1892-01	17	987221	80917016	36971	0.1747
TCGA-FG-5962-01B-11D-1892-01	18	329586	77109240	42604	-0.0197
TCGA-FG-5962-01B-11D-1892-01	19	284018	24052992	8976	0.1699
TCGA-FG-5962-01B-11D-1892-01	19	28240494	56301236	13509	-0.5372
TCGA-FG-5962-01B-11D-1892-01	19	56302961	56309150	2	-2.8181
TCGA-FG-5962-01B-11D-1892-01	19	56309665	58878226	1402	-0.5512
TCGA-FG-5962-01B-11D-1892-01	2	484222	198755831	104978	0.0313
TCGA-FG-5962-01B-11D-1892-01	2	198758701	198761341	3	-1.0499
TCGA-FG-5962-01B-11D-1892-01	2	198762542	242476062	26166	0.0317
TCGA-FG-5962-01B-11D-1892-01	20	455764	14328331	8802	0.1711
TCGA-FG-5962-01B-11D-1892-01	20	14328401	14330041	2	-1.1415
TCGA-FG-5962-01B-11D-1892-01	20	14334362	62219837	28458	0.1569
TCGA-FG-5962-01B-11D-1892-01	21	15347621	47678774	20566	0.1984
TCGA-FG-5962-01B-11D-1892-01	22	17423930	49331012	16922	0.1716
TCGA-FG-5962-01B-11D-1892-01	3	2212571	17088317	9148	0.1996
TCGA-FG-5962-01B-11D-1892-01	3	17092452	17094434	2	1.5056
TCGA-FG-5962-01B-11D-1892-01	3	17097558	76700383	34847	0.2045
TCGA-FG-5962-01B-11D-1892-01	3	76703858	76704428	3	-0.982
TCGA-FG-5962-01B-11D-1892-01	3	76708161	106119789	13499	0.2267
TCGA-FG-5962-01B-11D-1892-01	3	106121579	106124133	2	-1.1483
TCGA-FG-5962-01B-11D-1892-01	3	106124230	197538677	48785	0.2074
TCGA-FG-5962-01B-11D-1892-01	4	1053934	4938918	1678	-0.4104
TCGA-FG-5962-01B-11D-1892-01	4	4939110	4939347	2	-2.3795
TCGA-FG-5962-01B-11D-1892-01	4	4939364	188763651	100848	-0.3633
TCGA-FG-5962-01B-11D-1892-01	5	914233	8318413	5286	-0.0523
TCGA-FG-5962-01B-11D-1892-01	5	8320923	8321506	3	-1.1697
TCGA-FG-5962-01B-11D-1892-01	5	8321995	171191605	90299	-0.0237
TCGA-FG-5962-01B-11D-1892-01	5	171191635	171194890	5	-1.015
TCGA-FG-5962-01B-11D-1892-01	5	171195127	173560213	1433	-0.0556
TCGA-FG-5962-01B-11D-1892-01	5	173563046	173563682	2	-1.2654
TCGA-FG-5962-01B-11D-1892-01	5	173563868	180360469	3368	-0.0436
TCGA-FG-5962-01B-11D-1892-01	6	1014281	18278577	12088	-0.0044
TCGA-FG-5962-01B-11D-1892-01	6	18283789	18284716	2	-2.5263
TCGA-FG-5962-01B-11D-1892-01	6	18286610	127521057	58063	0.0221
TCGA-FG-5962-01B-11D-1892-01	6	127523288	127528638	2	2.0172
TCGA-FG-5962-01B-11D-1892-01	6	127528862	149664794	13912	0.0218
TCGA-FG-5962-01B-11D-1892-01	6	149664881	149665845	2	-2.3665
TCGA-FG-5962-01B-11D-1892-01	6	149666620	156102587	4404	0.0166
TCGA-FG-5962-01B-11D-1892-01	6	156103246	156103925	2	-1.2601
TCGA-FG-5962-01B-11D-1892-01	6	156104364	170903919	7911	0.0136
TCGA-FG-5962-01B-11D-1892-01	7	705284	101256060	51069	0.1927
TCGA-FG-5962-01B-11D-1892-01	7	101256074	101256593	2	-1.3458
TCGA-FG-5962-01B-11D-1892-01	7	101256833	158385118	30173	0.1941
TCGA-FG-5962-01B-11D-1892-01	8	617667	145232496	81451	0.2035
TCGA-FG-5962-01B-11D-1892-01	9	789932	114725018	52546	0.0062
TCGA-FG-5962-01B-11D-1892-01	9	114726706	114726762	3	-1.2365
TCGA-FG-5962-01B-11D-1892-01	9	114727332	140938752	15405	-0.0058
TCGA-FG-5962-01B-11D-1892-01	X	3157107	10822171	1982	0.007
TCGA-FG-5962-01B-11D-1892-01	X	10822513	10824547	3	-2.4503
TCGA-FG-5962-01B-11D-1892-01	X	10824586	132151060	51658	-0.0013
TCGA-FG-5962-01B-11D-1892-01	X	132152621	132155157	3	-2.6422
TCGA-FG-5962-01B-11D-1892-01	X	132155597	154905589	9943	-0.0033
