barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7873-01B-11D-2391-01	1	51598	25455928	14120	-0.0034
TCGA-HT-7873-01B-11D-2391-01	1	25465715	25519533	27	-1.5527
TCGA-HT-7873-01B-11D-2391-01	1	25519573	34864261	4957	-0.0094
TCGA-HT-7873-01B-11D-2391-01	1	34875241	34877078	20	-0.5053
TCGA-HT-7873-01B-11D-2391-01	1	34886855	72541504	23679	0.0041
TCGA-HT-7873-01B-11D-2391-01	1	72541524	72583721	44	-1.3232
TCGA-HT-7873-01B-11D-2391-01	1	72583736	86913190	9330	0.0167
TCGA-HT-7873-01B-11D-2391-01	1	86913232	86913810	2	-1.8438
TCGA-HT-7873-01B-11D-2391-01	1	86930717	108567878	13531	0.0104
TCGA-HT-7873-01B-11D-2391-01	1	108570825	108618702	2	-2.6596
TCGA-HT-7873-01B-11D-2391-01	1	108630480	110034497	705	0.0016
TCGA-HT-7873-01B-11D-2391-01	1	110034560	110035094	6	0.968
TCGA-HT-7873-01B-11D-2391-01	1	110035754	110591679	364	0.0197
TCGA-HT-7873-01B-11D-2391-01	1	110592163	110592500	2	-2.6119
TCGA-HT-7873-01B-11D-2391-01	1	110592889	143553915	6833	0.0106
TCGA-HT-7873-01B-11D-2391-01	1	143560896	143579717	5	1.0395
TCGA-HT-7873-01B-11D-2391-01	1	143580441	146851961	1085	0.0663
TCGA-HT-7873-01B-11D-2391-01	1	146894193	146903393	4	-1.2936
TCGA-HT-7873-01B-11D-2391-01	1	146903515	150822330	1688	0.0219
TCGA-HT-7873-01B-11D-2391-01	1	150822391	150852862	30	2.031
TCGA-HT-7873-01B-11D-2391-01	1	150852902	151022932	168	0.0103
TCGA-HT-7873-01B-11D-2391-01	1	151023034	151034883	38	0.381
TCGA-HT-7873-01B-11D-2391-01	1	151034905	159775499	5256	-0.0075
TCGA-HT-7873-01B-11D-2391-01	1	159780383	159884263	20	0.623
TCGA-HT-7873-01B-11D-2391-01	1	159884282	159885444	6	-0.0558
TCGA-HT-7873-01B-11D-2391-01	1	159885483	159904825	20	0.8042
TCGA-HT-7873-01B-11D-2391-01	1	159905104	194981496	24063	0.0107
TCGA-HT-7873-01B-11D-2391-01	1	194994473	195091223	102	0.4742
TCGA-HT-7873-01B-11D-2391-01	1	195094478	197377986	1361	0.0045
TCGA-HT-7873-01B-11D-2391-01	1	197378049	197379634	7	-1.0676
TCGA-HT-7873-01B-11D-2391-01	1	197380463	208137685	7383	0.0065
TCGA-HT-7873-01B-11D-2391-01	1	208148236	208150607	3	-2.2786
TCGA-HT-7873-01B-11D-2391-01	1	208153175	247191011	26984	0.0129
TCGA-HT-7873-01B-11D-2391-01	10	62809	2304655	1682	0.6405
TCGA-HT-7873-01B-11D-2391-01	10	2307738	6433616	3686	0.9224
TCGA-HT-7873-01B-11D-2391-01	10	6438984	6438990	5	-0.2087
TCGA-HT-7873-01B-11D-2391-01	10	6444216	23926094	13417	0.9241
TCGA-HT-7873-01B-11D-2391-01	10	23929215	23929230	2	-0.8604
TCGA-HT-7873-01B-11D-2391-01	10	23929516	24417680	363	0.9148
TCGA-HT-7873-01B-11D-2391-01	10	24417681	24418914	11	0.1176
TCGA-HT-7873-01B-11D-2391-01	10	24418957	29590520	3656	0.7714
TCGA-HT-7873-01B-11D-2391-01	10	29593476	43947186	7507	0.0028
TCGA-HT-7873-01B-11D-2391-01	10	43947838	56742311	7091	0.4956
TCGA-HT-7873-01B-11D-2391-01	10	56743537	56745831	2	-1.7208
TCGA-HT-7873-01B-11D-2391-01	10	56745846	58430158	1199	0.5375
TCGA-HT-7873-01B-11D-2391-01	10	58432985	66977957	5906	0.1297
TCGA-HT-7873-01B-11D-2391-01	10	66978023	66984407	23	0.6718
TCGA-HT-7873-01B-11D-2391-01	10	66984436	89470765	14631	0.1342
TCGA-HT-7873-01B-11D-2391-01	10	89472813	89542263	50	-1.8196
TCGA-HT-7873-01B-11D-2391-01	10	89545694	89706087	194	0.1082
TCGA-HT-7873-01B-11D-2391-01	10	89706152	89707046	14	0.5782
TCGA-HT-7873-01B-11D-2391-01	10	89707162	89862183	164	-0.5384
TCGA-HT-7873-01B-11D-2391-01	10	89865663	89866235	2	-2.0117
TCGA-HT-7873-01B-11D-2391-01	10	89868422	89957220	53	0.1153
TCGA-HT-7873-01B-11D-2391-01	10	89960511	135356694	30897	-0.544
TCGA-HT-7873-01B-11D-2391-01	11	188510	4919328	2440	-0.7376
TCGA-HT-7873-01B-11D-2391-01	11	4919509	4926943	26	-0.2554
TCGA-HT-7873-01B-11D-2391-01	11	4928581	4933390	31	0.2287
TCGA-HT-7873-01B-11D-2391-01	11	4933441	4933468	3	-0.2933
TCGA-HT-7873-01B-11D-2391-01	11	4933483	5735047	768	-0.7194
TCGA-HT-7873-01B-11D-2391-01	11	5735099	5772808	47	-0.2745
TCGA-HT-7873-01B-11D-2391-01	11	5772861	6510645	495	-0.7505
