barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-FG-5962-01B-11D-1892-01	1	51598	88465	17	0.5845
TCGA-FG-5962-01B-11D-1892-01	1	218569	554484	15	-0.0738
TCGA-FG-5962-01B-11D-1892-01	1	593453	72541504	42764	-0.5544
TCGA-FG-5962-01B-11D-1892-01	1	72541524	72584492	46	-1.1048
TCGA-FG-5962-01B-11D-1892-01	1	72585028	103957254	20036	-0.5185
TCGA-FG-5962-01B-11D-1892-01	1	103957325	104069745	34	0.1829
TCGA-FG-5962-01B-11D-1892-01	1	104104926	105820833	921	-0.4755
TCGA-FG-5962-01B-11D-1892-01	1	105820893	105823898	14	-1.1937
TCGA-FG-5962-01B-11D-1892-01	1	105825578	110029038	2662	-0.5093
TCGA-FG-5962-01B-11D-1892-01	1	110034497	110041701	17	-1.3869
TCGA-FG-5962-01B-11D-1892-01	1	110044476	110904493	610	-0.5675
TCGA-FG-5962-01B-11D-1892-01	1	110905211	110909514	4	-1.4399
TCGA-FG-5962-01B-11D-1892-01	1	110911055	112491849	1337	-0.5443
TCGA-FG-5962-01B-11D-1892-01	1	112497488	112498535	18	-1.0978
TCGA-FG-5962-01B-11D-1892-01	1	112498697	121184502	5173	-0.5438
TCGA-FG-5962-01B-11D-1892-01	1	142718406	147291432	1194	0.1874
TCGA-FG-5962-01B-11D-1892-01	1	147303148	147989086	190	-0.3177
TCGA-FG-5962-01B-11D-1892-01	1	147999215	150822330	1467	0.1902
TCGA-FG-5962-01B-11D-1892-01	1	150822391	150853200	33	-1.6233
TCGA-FG-5962-01B-11D-1892-01	1	150853218	151028547	173	0.1817
TCGA-FG-5962-01B-11D-1892-01	1	151028563	151035324	36	0.6585
TCGA-FG-5962-01B-11D-1892-01	1	151040529	167483561	11330	0.1896
TCGA-FG-5962-01B-11D-1892-01	1	167500598	167508390	7	1.0268
TCGA-FG-5962-01B-11D-1892-01	1	167509025	173063028	3523	0.1943
TCGA-FG-5962-01B-11D-1892-01	1	173063179	173068463	16	-0.4111
TCGA-FG-5962-01B-11D-1892-01	1	173068477	194981496	14653	0.2044
TCGA-FG-5962-01B-11D-1892-01	1	194994473	195079130	94	-0.1308
TCGA-FG-5962-01B-11D-1892-01	1	195079153	195082414	2	-2.7115
TCGA-FG-5962-01B-11D-1892-01	1	195083353	211071078	10769	0.1923
TCGA-FG-5962-01B-11D-1892-01	1	211071635	211081076	8	-0.4922
TCGA-FG-5962-01B-11D-1892-01	1	211087402	242380118	22098	0.1946
TCGA-FG-5962-01B-11D-1892-01	1	242382541	242383619	4	-0.8293
TCGA-FG-5962-01B-11D-1892-01	1	242384908	247191011	3054	0.2033
TCGA-FG-5962-01B-11D-1892-01	10	62759	1433164	829	-0.0366
TCGA-FG-5962-01B-11D-1892-01	10	1433180	1433180	2	-1.6434
TCGA-FG-5962-01B-11D-1892-01	10	1433215	2956644	1520	-0.0029
TCGA-FG-5962-01B-11D-1892-01	10	2957076	2957899	7	-0.806
TCGA-FG-5962-01B-11D-1892-01	10	2958999	27268356	18882	-0.0046
TCGA-FG-5962-01B-11D-1892-01	10	27268427	27270681	6	-0.9066
TCGA-FG-5962-01B-11D-1892-01	10	27270743	41793999	7922	-0.0067
TCGA-FG-5962-01B-11D-1892-01	10	41797865	41798884	3	-1.4667
TCGA-FG-5962-01B-11D-1892-01	10	41804961	67743387	16179	0.0158
TCGA-FG-5962-01B-11D-1892-01	10	67747598	67779344	32	-1.138
TCGA-FG-5962-01B-11D-1892-01	10	67792538	135084182	45498	-0.0051
TCGA-FG-5962-01B-11D-1892-01	10	135092863	135237230	111	0.5872
TCGA-FG-5962-01B-11D-1892-01	10	135237857	135356694	36	0.0195
TCGA-FG-5962-01B-11D-1892-01	11	188510	4923827	2472	0.1765
TCGA-FG-5962-01B-11D-1892-01	11	4923952	4933390	42	0.9337
TCGA-FG-5962-01B-11D-1892-01	11	4933441	5739552	781	0.2092
TCGA-FG-5962-01B-11D-1892-01	11	5739628	5765715	38	0.6521
TCGA-FG-5962-01B-11D-1892-01	11	5765914	89132526	51282	0.185
TCGA-FG-5962-01B-11D-1892-01	11	89138010	89169255	4	-0.9721
TCGA-FG-5962-01B-11D-1892-01	11	89175116	110461994	14895	0.2014
TCGA-FG-5962-01B-11D-1892-01	11	110462545	110463579	2	-1.6402
TCGA-FG-5962-01B-11D-1892-01	11	110464342	134449982	17578	0.1762
TCGA-FG-5962-01B-11D-1892-01	12	20703	736231	415	-0.0095
TCGA-FG-5962-01B-11D-1892-01	12	739370	744290	18	-0.5271
TCGA-FG-5962-01B-11D-1892-01	12	745615	2104190	826	0.022
TCGA-FG-5962-01B-11D-1892-01	12	2105437	2122984	26	-0.6553
TCGA-FG-5962-01B-11D-1892-01	12	2123055	2124601	7	0.0412
TCGA-FG-5962-01B-11D-1892-01	12	2124711	2128181	11	-0.7291
TCGA-FG-5962-01B-11D-1892-01	12	2128284	9521823	4891	-0.0201
TCGA-FG-5962-01B-11D-1892-01	12	9525137	9606832	23	-1.3874
TCGA-FG-5962-01B-11D-1892-01	12	9619559	10464267	634	0.0067
TCGA-FG-5962-01B-11D-1892-01	12	10470044	10487073	7	-0.669
TCGA-FG-5962-01B-11D-1892-01	12	10487987	30131178	13705	0.0112
TCGA-FG-5962-01B-11D-1892-01	12	30131313	30134956	18	0.4001
TCGA-FG-5962-01B-11D-1892-01	12	30134989	33192673	2273	-0.0029
TCGA-FG-5962-01B-11D-1892-01	12	33192693	33199856	32	0.4411
TCGA-FG-5962-01B-11D-1892-01	12	33200130	36273993	838	0.0332
TCGA-FG-5962-01B-11D-1892-01	12	36298834	36300285	2	-1.7943
TCGA-FG-5962-01B-11D-1892-01	12	36320625	47011309	6500	0.0109
TCGA-FG-5962-01B-11D-1892-01	12	47011506	47011682	3	-1.398
TCGA-FG-5962-01B-11D-1892-01	12	47016303	95404684	29947	0.0093
TCGA-FG-5962-01B-11D-1892-01	12	95407437	95407549	2	-1.4649
TCGA-FG-5962-01B-11D-1892-01	12	95415095	132288262	24832	-0.0128
TCGA-FG-5962-01B-11D-1892-01	13	17924949	31062249	9345	-0.5042
TCGA-FG-5962-01B-11D-1892-01	13	31069381	31070631	2	-2.4059
TCGA-FG-5962-01B-11D-1892-01	13	31070822	36973965	4160	-0.4867
TCGA-FG-5962-01B-11D-1892-01	13	36974267	36982757	12	-1.5857
TCGA-FG-5962-01B-11D-1892-01	13	36986330	56649097	12504	-0.4657
TCGA-FG-5962-01B-11D-1892-01	13	56656271	56676381	33	-1.8887
TCGA-FG-5962-01B-11D-1892-01	13	56687715	114126499	38036	-0.461
TCGA-FG-5962-01B-11D-1892-01	14	18072124	69087800	31668	0.0295
TCGA-FG-5962-01B-11D-1892-01	14	69088121	69092220	8	-2.5193
TCGA-FG-5962-01B-11D-1892-01	14	69092466	73087291	2631	0.005
TCGA-FG-5962-01B-11D-1892-01	14	73090732	73120017	11	-0.9187
TCGA-FG-5962-01B-11D-1892-01	14	73126076	105609107	20793	0.0158
TCGA-FG-5962-01B-11D-1892-01	14	105612798	105632486	12	-1.8799
TCGA-FG-5962-01B-11D-1892-01	14	105638145	105793116	70	0.0782
TCGA-FG-5962-01B-11D-1892-01	14	105793442	105798514	5	0.6537
TCGA-FG-5962-01B-11D-1892-01	14	105799207	105822329	10	0.114
TCGA-FG-5962-01B-11D-1892-01	14	105824904	105825048	4	0.8307
TCGA-FG-5962-01B-11D-1892-01	14	105827903	105854089	14	0.2551
TCGA-FG-5962-01B-11D-1892-01	14	105867070	105873098	7	1.0862
TCGA-FG-5962-01B-11D-1892-01	14	105886988	106224211	217	0.0943
TCGA-FG-5962-01B-11D-1892-01	14	106224218	106247258	15	0.638
TCGA-FG-5962-01B-11D-1892-01	14	106248976	106356482	76	0.0544
TCGA-FG-5962-01B-11D-1892-01	15	18276341	18551327	59	0.0185
TCGA-FG-5962-01B-11D-1892-01	15	18652835	19438545	222	0.3316
TCGA-FG-5962-01B-11D-1892-01	15	19451059	19456767	3	-0.9719
TCGA-FG-5962-01B-11D-1892-01	15	19456870	19794591	29	0.3545
TCGA-FG-5962-01B-11D-1892-01	15	19803370	21033802	425	0.0268
TCGA-FG-5962-01B-11D-1892-01	15	21038898	21222425	14	0.6316
TCGA-FG-5962-01B-11D-1892-01	15	21223287	22225844	675	-0.0077
TCGA-FG-5962-01B-11D-1892-01	15	22225980	22269266	38	-0.3388
TCGA-FG-5962-01B-11D-1892-01	15	22269689	45299946	14044	-0.0153
TCGA-FG-5962-01B-11D-1892-01	15	45300545	45306411	5	-1.1883
TCGA-FG-5962-01B-11D-1892-01	15	45306837	74665417	18818	-0.0238
TCGA-FG-5962-01B-11D-1892-01	15	74678296	74682830	22	0.3793
TCGA-FG-5962-01B-11D-1892-01	15	74689234	100286563	17661	-0.0312
TCGA-FG-5962-01B-11D-1892-01	16	777	22533137	14865	0.1821
TCGA-FG-5962-01B-11D-1892-01	16	22533272	22627867	62	0.3903
TCGA-FG-5962-01B-11D-1892-01	16	22629139	34317102	5615	0.1708
TCGA-FG-5962-01B-11D-1892-01	16	34317210	34614572	170	0.6329
TCGA-FG-5962-01B-11D-1892-01	16	34618468	54356280	6609	0.1796
TCGA-FG-5962-01B-11D-1892-01	16	54361849	54379945	15	-0.6159
TCGA-FG-5962-01B-11D-1892-01	16	54387058	54399883	4	0.1544
TCGA-FG-5962-01B-11D-1892-01	16	54399957	54416294	12	0.6525
TCGA-FG-5962-01B-11D-1892-01	16	54425940	73025194	11288	0.191
TCGA-FG-5962-01B-11D-1892-01	16	73028921	73030717	6	-1.2226
TCGA-FG-5962-01B-11D-1892-01	16	73031343	76929109	3197	0.1886
TCGA-FG-5962-01B-11D-1892-01	16	76929941	76942266	16	-1.84
TCGA-FG-5962-01B-11D-1892-01	16	76942502	82951743	6664	0.185
TCGA-FG-5962-01B-11D-1892-01	16	82953062	82953775	2	-1.0824
TCGA-FG-5962-01B-11D-1892-01	16	82957174	88815036	3965	0.1627
TCGA-FG-5962-01B-11D-1892-01	17	526	41518916	23503	0.1726
TCGA-FG-5962-01B-11D-1892-01	17	41521621	41718140	124	0.9426
TCGA-FG-5962-01B-11D-1892-01	17	41719947	42096609	45	-0.0919
TCGA-FG-5962-01B-11D-1892-01	17	42099188	53042488	7015	0.1851
TCGA-FG-5962-01B-11D-1892-01	17	53043332	53043992	2	-1.5375
TCGA-FG-5962-01B-11D-1892-01	17	53046992	78643088	14604	0.1734
TCGA-FG-5962-01B-11D-1892-01	18	1543	24449765	15110	-0.0285
TCGA-FG-5962-01B-11D-1892-01	18	24449993	24450656	5	-1.2148
TCGA-FG-5962-01B-11D-1892-01	18	24450670	36512703	7709	-0.0101
TCGA-FG-5962-01B-11D-1892-01	18	36512725	36519387	20	0.6035
TCGA-FG-5962-01B-11D-1892-01	18	36522022	49458133	8902	-0.0191
TCGA-FG-5962-01B-11D-1892-01	18	49461207	49464638	5	-0.976
TCGA-FG-5962-01B-11D-1892-01	18	49466146	64894325	10812	-0.01
TCGA-FG-5962-01B-11D-1892-01	18	64897086	64909120	43	-0.4772
TCGA-FG-5962-01B-11D-1892-01	18	64909134	76116029	8167	-0.0125
TCGA-FG-5962-01B-11D-1892-01	19	41910	5457659	1600	0.1855
TCGA-FG-5962-01B-11D-1892-01	19	5461239	5461700	4	-1.6104
TCGA-FG-5962-01B-11D-1892-01	19	5464059	32690406	9681	0.1696
TCGA-FG-5962-01B-11D-1892-01	19	32692678	41450571	5971	-0.5444
TCGA-FG-5962-01B-11D-1892-01	19	41450737	41498315	3	-2.3542
TCGA-FG-5962-01B-11D-1892-01	19	41498355	58169921	8575	-0.5295
TCGA-FG-5962-01B-11D-1892-01	19	58170547	58177558	3	-2.3823
TCGA-FG-5962-01B-11D-1892-01	19	58177626	60992324	1622	-0.5537
TCGA-FG-5962-01B-11D-1892-01	19	60992767	61000962	9	-1.6044
TCGA-FG-5962-01B-11D-1892-01	19	61001477	63789666	1821	-0.5533
TCGA-FG-5962-01B-11D-1892-01	2	2784	20681154	15570	0.0185
TCGA-FG-5962-01B-11D-1892-01	2	20681258	20681293	2	-1.9351
TCGA-FG-5962-01B-11D-1892-01	2	20686700	34544573	8527	0.0233
TCGA-FG-5962-01B-11D-1892-01	2	34552819	34590667	47	0.5992
TCGA-FG-5962-01B-11D-1892-01	2	34591060	35829477	875	0.0639
TCGA-FG-5962-01B-11D-1892-01	2	35831294	35841420	6	0.8948
TCGA-FG-5962-01B-11D-1892-01	2	35841451	36334146	404	0.05
TCGA-FG-5962-01B-11D-1892-01	2	36334261	36335472	3	-1.0831
TCGA-FG-5962-01B-11D-1892-01	2	36335493	52607972	11747	0.036
TCGA-FG-5962-01B-11D-1892-01	2	52607984	52635046	39	0.8166
TCGA-FG-5962-01B-11D-1892-01	2	52641453	63892215	7207	0.0387
TCGA-FG-5962-01B-11D-1892-01	2	63900465	63907066	4	-1.0625
TCGA-FG-5962-01B-11D-1892-01	2	63908281	80186503	10843	0.0288
TCGA-FG-5962-01B-11D-1892-01	2	80188335	80195096	5	-1.241
TCGA-FG-5962-01B-11D-1892-01	2	80197424	86981712	3938	0.0316
TCGA-FG-5962-01B-11D-1892-01	2	86982714	86990896	2	-1.5365
TCGA-FG-5962-01B-11D-1892-01	2	87015364	97236763	2047	0.0364
TCGA-FG-5962-01B-11D-1892-01	2	97237048	97240000	4	-1.193
TCGA-FG-5962-01B-11D-1892-01	2	97240533	97484644	27	-0.0494
TCGA-FG-5962-01B-11D-1892-01	2	97507179	97528142	8	1.2781
TCGA-FG-5962-01B-11D-1892-01	2	97528621	106248065	5584	0.0237
TCGA-FG-5962-01B-11D-1892-01	2	106249661	106251789	8	0.7236
TCGA-FG-5962-01B-11D-1892-01	2	106253687	146578555	23934	0.0299
TCGA-FG-5962-01B-11D-1892-01	2	146580874	146583404	24	-1.6029
TCGA-FG-5962-01B-11D-1892-01	2	146594276	242738129	59103	0.0368
TCGA-FG-5962-01B-11D-1892-01	20	9305	1508999	1204	0.1633
TCGA-FG-5962-01B-11D-1892-01	20	1509580	1509667	2	-1.2196
TCGA-FG-5962-01B-11D-1892-01	20	1515454	1528537	31	-0.3722
TCGA-FG-5962-01B-11D-1892-01	20	1529768	1541893	8	-1.113
TCGA-FG-5962-01B-11D-1892-01	20	1545946	3995537	1706	0.1656
TCGA-FG-5962-01B-11D-1892-01	20	3996637	3996656	2	-1.1621
TCGA-FG-5962-01B-11D-1892-01	20	3996739	14276331	7922	0.1764
TCGA-FG-5962-01B-11D-1892-01	20	14276401	14278041	2	-1.1446
TCGA-FG-5962-01B-11D-1892-01	20	14282362	62426597	31607	0.1567
TCGA-FG-5962-01B-11D-1892-01	21	9758742	22573005	6464	0.2134
TCGA-FG-5962-01B-11D-1892-01	21	22577771	22586529	9	-0.7006
TCGA-FG-5962-01B-11D-1892-01	21	22588870	46921385	17924	0.1926
TCGA-FG-5962-01B-11D-1892-01	22	14432528	22601745	4590	0.178
TCGA-FG-5962-01B-11D-1892-01	22	22613016	22618457	7	-0.7874
TCGA-FG-5962-01B-11D-1892-01	22	22622264	22660218	19	0.025
TCGA-FG-5962-01B-11D-1892-01	22	22660269	22662933	4	-1.7241
TCGA-FG-5962-01B-11D-1892-01	22	22667307	22700430	12	0.3452
TCGA-FG-5962-01B-11D-1892-01	22	22701070	22715546	4	1.1536
TCGA-FG-5962-01B-11D-1892-01	22	22716631	23411338	360	0.1643
TCGA-FG-5962-01B-11D-1892-01	22	23412115	23412534	3	-0.9204
TCGA-FG-5962-01B-11D-1892-01	22	23417674	36072938	9702	0.1662
TCGA-FG-5962-01B-11D-1892-01	22	36078675	36079892	4	-0.8929
TCGA-FG-5962-01B-11D-1892-01	22	36080613	48264135	8216	0.1736
TCGA-FG-5962-01B-11D-1892-01	22	48264352	48271702	3	-1.0979
TCGA-FG-5962-01B-11D-1892-01	22	48274935	49581321	636	0.1525
TCGA-FG-5962-01B-11D-1892-01	3	35345	6621543	5844	0.2295
